image_id,question,correct,generate
/home/forte/users/nishida/outputs/21605-1.png,who is gathering at the airport?,friends,people
/home/forte/users/nishida/outputs/21605-1.png,are there luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-1.png,what are the friends holding?,luggage,yes
/home/forte/users/nishida/outputs/21605-1.png,is this an airport?,yes,yes
/home/forte/users/nishida/outputs/21605-1.png,what type of place is this?,airport,in two
/home/forte/users/nishida/outputs/21605-1.png,are the friends gathering at the airport?,yes,yes
/home/forte/users/nishida/outputs/21605-1.png,are the friends holding luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-2.png,who is gathering at the airport?,friends,people
/home/forte/users/nishida/outputs/21605-2.png,are there luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-2.png,what are the friends holding?,luggage,yes
/home/forte/users/nishida/outputs/21605-2.png,is this an airport?,yes,yes
/home/forte/users/nishida/outputs/21605-2.png,what type of place is this?,airport,in two
/home/forte/users/nishida/outputs/21605-2.png,are the friends gathering at the airport?,yes,yes
/home/forte/users/nishida/outputs/21605-2.png,are the friends holding luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-3.png,who is gathering at the airport?,friends,people
/home/forte/users/nishida/outputs/21605-3.png,are there luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-3.png,what are the friends holding?,luggage,yes
/home/forte/users/nishida/outputs/21605-3.png,is this an airport?,yes,yes
/home/forte/users/nishida/outputs/21605-3.png,what type of place is this?,airport,in two
/home/forte/users/nishida/outputs/21605-3.png,are the friends gathering at the airport?,yes,yes
/home/forte/users/nishida/outputs/21605-3.png,are the friends holding luggage?,yes,yes
/home/forte/users/nishida/outputs/21606-1.png,what type of vehicle is this?,truck,truck
/home/forte/users/nishida/outputs/21606-1.png,is there rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21606-1.png,what is on the truck?,rust,in two front
/home/forte/users/nishida/outputs/21606-1.png,is the hood lifted?,yes,yes
/home/forte/users/nishida/outputs/21606-1.png,what is lifted?,hood,in front of
/home/forte/users/nishida/outputs/21606-1.png,is the hood slightly lifted?,yes,yes
/home/forte/users/nishida/outputs/21606-1.png,is there some rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21606-2.png,what type of vehicle is this?,truck,in two
/home/forte/users/nishida/outputs/21606-2.png,is there rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21606-2.png,what is on the truck?,rust,in two wheels
/home/forte/users/nishida/outputs/21606-2.png,is the hood lifted?,yes,yes
/home/forte/users/nishida/outputs/21606-2.png,what is lifted?,hood,in front of
/home/forte/users/nishida/outputs/21606-2.png,is the hood slightly lifted?,yes,yes
/home/forte/users/nishida/outputs/21606-2.png,is there some rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21606-3.png,what type of vehicle is this?,truck,truck
/home/forte/users/nishida/outputs/21606-3.png,is there rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21606-3.png,what is on the truck?,rust,in very empty
/home/forte/users/nishida/outputs/21606-3.png,is the hood lifted?,yes,yes
/home/forte/users/nishida/outputs/21606-3.png,what is lifted?,hood,in front of
/home/forte/users/nishida/outputs/21606-3.png,is the hood slightly lifted?,yes,yes
/home/forte/users/nishida/outputs/21606-3.png,is there some rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21607-1.png,who is in the park?,youths,4
/home/forte/users/nishida/outputs/21607-1.png,is this a park?,yes,yes
/home/forte/users/nishida/outputs/21607-1.png,what type of place is this?,park,in two in in shaped shaped
/home/forte/users/nishida/outputs/21607-1.png,are there frisbees?,yes,yes
/home/forte/users/nishida/outputs/21607-1.png,what is the youths holding?,frisbees,yes
/home/forte/users/nishida/outputs/21607-1.png,are the youths gathered in the park?,yes,yes
/home/forte/users/nishida/outputs/21607-1.png,are the youths holding frisbees?,yes,yes
/home/forte/users/nishida/outputs/21607-1.png,are some of the youths holding frisbees?,yes,yes
/home/forte/users/nishida/outputs/21607-2.png,who is in the park?,youths,yes
