image_id,question,correct,generate
/home/forte/users/nishida/outputs/21620-3.png,What type of vehicle is a man standing next to?,motorcycle,motorcycle
/home/forte/users/nishida/outputs/21620-3.png,What is the name of the space where a man is standing next to a red motorcycle?,parking,parking
/home/forte/users/nishida/outputs/21620-3.png,What is the parking space for a motorcycle?,space,parking
/home/forte/users/nishida/outputs/21621-1.png,What type of professional racers are on a race track?,motorcyclists,course
/home/forte/users/nishida/outputs/21621-1.png,What is a curve?,curve,course
/home/forte/users/nishida/outputs/21621-1.png,What type of track are professional motorcyclists on?,race,course
/home/forte/users/nishida/outputs/21621-1.png,What type of track are professional motorcyclists racing on?,track,course
/home/forte/users/nishida/outputs/21621-2.png,What type of professional racers are on a race track?,motorcyclists,course
/home/forte/users/nishida/outputs/21621-2.png,What is a curve?,curve,course
/home/forte/users/nishida/outputs/21621-2.png,What type of track are professional motorcyclists on?,race,course
/home/forte/users/nishida/outputs/21621-2.png,What type of track are professional motorcyclists racing on?,track,course
/home/forte/users/nishida/outputs/21621-3.png,What type of professional racers are on a race track?,motorcyclists,course
/home/forte/users/nishida/outputs/21621-3.png,What is a curve?,curve,course
/home/forte/users/nishida/outputs/21621-3.png,What type of track are professional motorcyclists on?,race,course
/home/forte/users/nishida/outputs/21621-3.png,What type of track are professional motorcyclists racing on?,track,course
/home/forte/users/nishida/outputs/21622-1.png,What is a person in the snow on some skis?,person,ski
/home/forte/users/nishida/outputs/21622-1.png,What kind of weather does a person get in?,snow,snow
/home/forte/users/nishida/outputs/21622-1.png,What kind of equipment is a person in the snow?,skis,ski
/home/forte/users/nishida/outputs/21622-2.png,What is a person in the snow on some skis?,person,ski
/home/forte/users/nishida/outputs/21622-2.png,What kind of weather does a person get in?,snow,snow
/home/forte/users/nishida/outputs/21622-2.png,What kind of equipment is a person in the snow?,skis,ski
/home/forte/users/nishida/outputs/21622-3.png,What is a person in the snow on some skis?,person,person
/home/forte/users/nishida/outputs/21622-3.png,What kind of weather does a person get in?,snow,snow
/home/forte/users/nishida/outputs/21622-3.png,What kind of equipment is a person in the snow?,skis,ski
/home/forte/users/nishida/outputs/21623-1.png,What is a pastoral scene with horses and a mountain?,scene,image
/home/forte/users/nishida/outputs/21623-1.png,What kind of animals are in the scene?,horses,dogs
/home/forte/users/nishida/outputs/21623-1.png,What kind of mountain is the scene with horses?,mountain,snow
/home/forte/users/nishida/outputs/21623-2.png,What is a pastoral scene with horses and a mountain?,scene,image
/home/forte/users/nishida/outputs/21623-2.png,What kind of animals are in the scene?,horses,horses
/home/forte/users/nishida/outputs/21623-2.png,What kind of mountain is the scene with horses?,mountain,snow
/home/forte/users/nishida/outputs/21623-3.png,What is a pastoral scene with horses and a mountain?,scene,bed
/home/forte/users/nishida/outputs/21623-3.png,What kind of animals are in the scene?,horses,animals
/home/forte/users/nishida/outputs/21623-3.png,What kind of mountain is the scene with horses?,mountain,snow
/home/forte/users/nishida/outputs/21624-1.png,What is a big part of the holiday?,display,vase
/home/forte/users/nishida/outputs/21624-1.png,What type of items are displayed on a large display?,holiday,vase
/home/forte/users/nishida/outputs/21624-1.png,What type of holiday items are displayed on a large display?,items,vase
/home/forte/users/nishida/outputs/21624-1.png,What musical instrument are some of the holiday items made of?,instruments,guitar
/home/forte/users/nishida/outputs/21624-2.png,What is a big part of the holiday?,display,table
/home/forte/users/nishida/outputs/21624-2.png,What type of items are displayed on a large display?,holiday,vase
/home/forte/users/nishida/outputs/21624-2.png,What type of holiday items are displayed on a large display?,items,vase
/home/forte/users/nishida/outputs/21624-2.png,What musical instrument are some of the holiday items made of?,instruments,guitar
/home/forte/users/nishida/outputs/21624-3.png,What is a big part of the holiday?,display,table
/home/forte/users/nishida/outputs/21624-3.png,What type of items are displayed on a large display?,holiday,display
/home/forte/users/nishida/outputs/21624-3.png,What type of holiday items are displayed on a large display?,items,display
/home/forte/users/nishida/outputs/21624-3.png,What musical instrument are some of the holiday items made of?,instruments,guitar
/home/forte/users/nishida/outputs/21625-1.png,What is the gender of the person in the bed?,Man,woman
/home/forte/users/nishida/outputs/21625-1.png,What is the gender of the man in the bed?,woman,woman
/home/forte/users/nishida/outputs/21625-1.png,What is the place where a man and woman read books?,bed,table
/home/forte/users/nishida/outputs/21625-1.png,What do the two women read separately?,books,book
/home/forte/users/nishida/outputs/21625-2.png,What is the gender of the person in the bed?,Man,woman
/home/forte/users/nishida/outputs/21625-2.png,What is the gender of the man in the bed?,woman,woman
/home/forte/users/nishida/outputs/21625-2.png,What is the place where a man and woman read books?,bed,bed
/home/forte/users/nishida/outputs/21625-2.png,What do the two women read separately?,books,book
/home/forte/users/nishida/outputs/21625-3.png,What is the gender of the person in the bed?,Man,woman
/home/forte/users/nishida/outputs/21625-3.png,What is the gender of the man in the bed?,woman,men
/home/forte/users/nishida/outputs/21625-3.png,What is the place where a man and woman read books?,bed,table
/home/forte/users/nishida/outputs/21625-3.png,What do the two women read separately?,books,book
/home/forte/users/nishida/outputs/21626-1.png,What is the name of the skater who skates at the skate park during the day?,man,board
/home/forte/users/nishida/outputs/21626-1.png,What is the name of the skate park?,park,course
/home/forte/users/nishida/outputs/21626-1.png,During what time of the day is skateboarding at the skate park?,day,time
/home/forte/users/nishida/outputs/21626-2.png,What is the name of the skater who skates at the skate park during the day?,man,board
/home/forte/users/nishida/outputs/21626-2.png,What is the name of the skate park?,park,course
/home/forte/users/nishida/outputs/21626-2.png,During what time of the day is skateboarding at the skate park?,day,night
/home/forte/users/nishida/outputs/21626-3.png,What is the name of the skater who skates at the skate park during the day?,man,board
/home/forte/users/nishida/outputs/21626-3.png,What is the name of the skate park?,park,course
/home/forte/users/nishida/outputs/21626-3.png,During what time of the day is skateboarding at the skate park?,day,time
/home/forte/users/nishida/outputs/21627-1.png,What kind of animal jumps up to play with a man in a living room?,dog,dog
/home/forte/users/nishida/outputs/21627-1.png,What is the name of the person that a dog jumps up to play with?,man,person
/home/forte/users/nishida/outputs/21627-1.png,In what room is a dog playing with a man?,living,living
/home/forte/users/nishida/outputs/21627-1.png,What room does a dog play with a man in?,room,living
/home/forte/users/nishida/outputs/21627-2.png,What kind of animal jumps up to play with a man in a living room?,dog,dog
/home/forte/users/nishida/outputs/21627-2.png,What is the name of the person that a dog jumps up to play with?,man,person
/home/forte/users/nishida/outputs/21627-2.png,In what room is a dog playing with a man?,living,living
/home/forte/users/nishida/outputs/21627-2.png,What room does a dog play with a man in?,room,living
/home/forte/users/nishida/outputs/21627-3.png,What kind of animal jumps up to play with a man in a living room?,dog,dog
/home/forte/users/nishida/outputs/21627-3.png,What is the name of the person that a dog jumps up to play with?,man,person
/home/forte/users/nishida/outputs/21627-3.png,In what room is a dog playing with a man?,living,room
/home/forte/users/nishida/outputs/21627-3.png,What room does a dog play with a man in?,room,room
/home/forte/users/nishida/outputs/21628-1.png,What signs are there on a sunny day?,Freeway,stop
/home/forte/users/nishida/outputs/21628-1.png,What do you see on a sunny day?,signs,traffic
/home/forte/users/nishida/outputs/21628-1.png,What is the best time to see freeway signs?,day,traffic
/home/forte/users/nishida/outputs/21628-1.png,What is the main issue with the freeway signs?,traffic,traffic
/home/forte/users/nishida/outputs/21628-2.png,What signs are there on a sunny day?,Freeway,stop
/home/forte/users/nishida/outputs/21628-2.png,What do you see on a sunny day?,signs,traffic
/home/forte/users/nishida/outputs/21628-2.png,What is the best time to see freeway signs?,day,traffic
/home/forte/users/nishida/outputs/21628-2.png,What is the main issue with the freeway signs?,traffic,traffic
/home/forte/users/nishida/outputs/21628-3.png,What signs are there on a sunny day?,Freeway,stop
/home/forte/users/nishida/outputs/21628-3.png,What do you see on a sunny day?,signs,traffic
/home/forte/users/nishida/outputs/21628-3.png,What is the best time to see freeway signs?,day,traffic
/home/forte/users/nishida/outputs/21628-3.png,What is the main issue with the freeway signs?,traffic,traffic
/home/forte/users/nishida/outputs/21629-1.png,What is a paddler?,man,water
/home/forte/users/nishida/outputs/21629-1.png,What type of vehicle is a man standing on?,boat,boat
/home/forte/users/nishida/outputs/21629-1.png,What does a man do when standing on a boat?,paddle,water
/home/forte/users/nishida/outputs/21629-1.png,What type of vehicle is a man standing on?,boat,boat
/home/forte/users/nishida/outputs/21629-2.png,What is a paddler?,man,water
/home/forte/users/nishida/outputs/21629-2.png,What type of vehicle is a man standing on?,boat,boat
/home/forte/users/nishida/outputs/21629-2.png,What does a man do when standing on a boat?,paddle,fishing
/home/forte/users/nishida/outputs/21629-2.png,What type of vehicle is a man standing on?,boat,boat
/home/forte/users/nishida/outputs/21629-3.png,What is a paddler?,man,water
/home/forte/users/nishida/outputs/21629-3.png,What type of vehicle is a man standing on?,boat,boat
/home/forte/users/nishida/outputs/21629-3.png,What does a man do when standing on a boat?,paddle,fishing
/home/forte/users/nishida/outputs/21629-3.png,What type of vehicle is a man standing on?,boat,boat
/home/forte/users/nishida/outputs/21630-1.png,What kind of animal is hiding in a bunch of flowers?,animal,cat
/home/forte/users/nishida/outputs/21630-1.png,What kind of flowers is a animal hiding in?,bunch,vase
/home/forte/users/nishida/outputs/21630-1.png,What is a animal hiding in?,flowers,vase
/home/forte/users/nishida/outputs/21630-2.png,What kind of animal is hiding in a bunch of flowers?,animal,cat
/home/forte/users/nishida/outputs/21630-2.png,What kind of flowers is a animal hiding in?,bunch,vase
/home/forte/users/nishida/outputs/21630-2.png,What is a animal hiding in?,flowers,vase
/home/forte/users/nishida/outputs/21630-3.png,What kind of animal is hiding in a bunch of flowers?,animal,cat
