image_id,question,correct,generate
/home/forte/users/nishida/outputs-flickr/21619-1.png,<pad> question: What instrument does a guy play?</s>,accordion,drums
/home/forte/users/nishida/outputs-flickr/21619-1.png,<pad> question: Who is listening and watching?</s>,people,people
/home/forte/users/nishida/outputs-flickr/21619-2.png,<pad> question: What is the name of the person who plays an accordion?</s>,guy,man
/home/forte/users/nishida/outputs-flickr/21619-2.png,<pad> question: What instrument does a guy play?</s>,accordion,accordion
/home/forte/users/nishida/outputs-flickr/21619-2.png,<pad> question: Who is listening and watching?</s>,people,man
/home/forte/users/nishida/outputs-flickr/21619-3.png,<pad> question: What is the name of the person who plays an accordion?</s>,guy,man
/home/forte/users/nishida/outputs-flickr/21619-3.png,<pad> question: What instrument does a guy play?</s>,accordion,drums
/home/forte/users/nishida/outputs-flickr/21619-3.png,<pad> question: Who is listening and watching?</s>,people,people
/home/forte/users/nishida/outputs-flickr/21620-1.png,<pad> question: What is the gender of the woman who is on the couch?</s>,man,woman
/home/forte/users/nishida/outputs-flickr/21620-1.png,<pad> question: A man and a woman laze on the couch together?</s>,woman,woman
/home/forte/users/nishida/outputs-flickr/21620-1.png,<pad> question: What do the two women lay on?</s>,couch,sleep
/home/forte/users/nishida/outputs-flickr/21620-2.png,<pad> question: What is the gender of the woman who is on the couch?</s>,man,woman
/home/forte/users/nishida/outputs-flickr/21620-2.png,<pad> question: A man and a woman laze on the couch together?</s>,woman,woman
/home/forte/users/nishida/outputs-flickr/21620-2.png,<pad> question: What do the two women lay on?</s>,couch,sleep
/home/forte/users/nishida/outputs-flickr/21620-3.png,<pad> question: What is the gender of the woman who is on the couch?</s>,man,woman
/home/forte/users/nishida/outputs-flickr/21620-3.png,<pad> question: A man and a woman laze on the couch together?</s>,woman,woman
/home/forte/users/nishida/outputs-flickr/21620-3.png,<pad> question: What do the two women lay on?</s>,couch,sleep
/home/forte/users/nishida/outputs-flickr/21621-1.png,<pad> question: What is the name of the group of people having fun with alcohol on the table?</s>,group,people
/home/forte/users/nishida/outputs-flickr/21621-1.png,<pad> question: What group of people are having fun with alcohol on the table?</s>,people,people
/home/forte/users/nishida/outputs-flickr/21621-1.png,<pad> question: What is the purpose of having alcohol on the table?</s>,fun,sale
/home/forte/users/nishida/outputs-flickr/21621-1.png,<pad> question: What is on the table?</s>,alcohol,bottles
/home/forte/users/nishida/outputs-flickr/21621-1.png,<pad> question: What is the place where people are having fun?</s>,table,table
/home/forte/users/nishida/outputs-flickr/21621-2.png,<pad> question: What is the name of the group of people having fun with alcohol on the table?</s>,group,people
/home/forte/users/nishida/outputs-flickr/21621-2.png,<pad> question: What group of people are having fun with alcohol on the table?</s>,people,people
/home/forte/users/nishida/outputs-flickr/21621-2.png,<pad> question: What is the purpose of having alcohol on the table?</s>,fun,drink
/home/forte/users/nishida/outputs-flickr/21621-2.png,<pad> question: What is on the table?</s>,alcohol,bottles
/home/forte/users/nishida/outputs-flickr/21621-2.png,<pad> question: What is the place where people are having fun?</s>,table,table
/home/forte/users/nishida/outputs-flickr/21621-3.png,<pad> question: What is the name of the group of people having fun with alcohol on the table?</s>,group,people
/home/forte/users/nishida/outputs-flickr/21621-3.png,<pad> question: What group of people are having fun with alcohol on the table?</s>,people,people
/home/forte/users/nishida/outputs-flickr/21621-3.png,<pad> question: What is the purpose of having alcohol on the table?</s>,fun,sale
/home/forte/users/nishida/outputs-flickr/21621-3.png,<pad> question: What is on the table?</s>,alcohol,bottles
/home/forte/users/nishida/outputs-flickr/21621-3.png,<pad> question: What is the place where people are having fun?</s>,table,table
/home/forte/users/nishida/outputs-flickr/21622-1.png,<pad> question: What is the gender of the group of Indian men in a restaurant?</s>,men,men
/home/forte/users/nishida/outputs-flickr/21622-1.png,<pad> question: What type of establishment are the Indian men in?</s>,restaurant,restaurant
/home/forte/users/nishida/outputs-flickr/21622-2.png,<pad> question: What is the gender of the group of Indian men in a restaurant?</s>,men,men
/home/forte/users/nishida/outputs-flickr/21622-2.png,<pad> question: What type of establishment are the Indian men in?</s>,restaurant,restaurant
/home/forte/users/nishida/outputs-flickr/21622-3.png,<pad> question: What is the gender of the group of Indian men in a restaurant?</s>,men,men
/home/forte/users/nishida/outputs-flickr/21622-3.png,<pad> question: What type of establishment are the Indian men in?</s>,restaurant,restaurant
/home/forte/users/nishida/outputs-flickr/21623-1.png,<pad> question: What is the gender of the person who poses for a picture with a child?</s>,woman,woman
/home/forte/users/nishida/outputs-flickr/21623-1.png,<pad> question: A woman and what other person pose for a picture?</s>,child,man
/home/forte/users/nishida/outputs-flickr/21623-1.png,<pad> question: What do a woman and a child pose for?</s>,picture,camera
/home/forte/users/nishida/outputs-flickr/21623-2.png,<pad> question: What is the gender of the person who poses for a picture with a child?</s>,woman,woman
/home/forte/users/nishida/outputs-flickr/21623-2.png,<pad> question: A woman and what other person pose for a picture?</s>,child,man
/home/forte/users/nishida/outputs-flickr/21623-2.png,<pad> question: What do a woman and a child pose for?</s>,picture,picture
/home/forte/users/nishida/outputs-flickr/21623-3.png,<pad> question: What is the gender of the person who poses for a picture with a child?</s>,woman,woman
/home/forte/users/nishida/outputs-flickr/21623-3.png,<pad> question: A woman and what other person pose for a picture?</s>,child,woman
/home/forte/users/nishida/outputs-flickr/21623-3.png,<pad> question: What do a woman and a child pose for?</s>,picture,camera
/home/forte/users/nishida/outputs-flickr/21624-1.png,<pad> question: What is the name of the two children in the snow?</s>,infants,children
/home/forte/users/nishida/outputs-flickr/21624-1.png,<pad> question: What color is the infant wearing?</s>,jacket,shirt
/home/forte/users/nishida/outputs-flickr/21624-1.png,<pad> question: What color is the jacket worn by the infants?</s>,flower,shirt
/home/forte/users/nishida/outputs-flickr/21624-1.png,<pad> question: What color is the infant wearing?</s>,jacket,shirt
/home/forte/users/nishida/outputs-flickr/21624-1.png,<pad> question: What kind of weather did the infants have to endure?</s>,snow,snow
/home/forte/users/nishida/outputs-flickr/21624-2.png,<pad> question: What is the name of the two children in the snow?</s>,infants,children
/home/forte/users/nishida/outputs-flickr/21624-2.png,<pad> question: What color is the infant wearing?</s>,jacket,shirt
/home/forte/users/nishida/outputs-flickr/21624-2.png,<pad> question: What color is the jacket worn by the infants?</s>,flower,shirt
/home/forte/users/nishida/outputs-flickr/21624-2.png,<pad> question: What color is the infant wearing?</s>,jacket,shirt
/home/forte/users/nishida/outputs-flickr/21624-2.png,<pad> question: What kind of weather did the infants have to endure?</s>,snow,snow
/home/forte/users/nishida/outputs-flickr/21624-3.png,<pad> question: What is the name of the two children in the snow?</s>,infants,children
/home/forte/users/nishida/outputs-flickr/21624-3.png,<pad> question: What color is the infant wearing?</s>,jacket,shirt
/home/forte/users/nishida/outputs-flickr/21624-3.png,<pad> question: What color is the jacket worn by the infants?</s>,flower,shirt
/home/forte/users/nishida/outputs-flickr/21624-3.png,<pad> question: What color is the infant wearing?</s>,jacket,shirt
/home/forte/users/nishida/outputs-flickr/21624-3.png,<pad> question: What kind of weather did the infants have to endure?</s>,snow,snow
/home/forte/users/nishida/outputs-flickr/21625-1.png,<pad> question: What is the name of the man walking between two buildings?</s>,man,man
/home/forte/users/nishida/outputs-flickr/21625-1.png,<pad> question: A man and a woman walking between two buildings?</s>,woman,woman
/home/forte/users/nishida/outputs-flickr/21625-1.png,<pad> question: What are the two buildings?</s>,buildings,buildings
/home/forte/users/nishida/outputs-flickr/21625-2.png,<pad> question: What is the name of the man walking between two buildings?</s>,man,man
/home/forte/users/nishida/outputs-flickr/21625-2.png,<pad> question: A man and a woman walking between two buildings?</s>,woman,woman
/home/forte/users/nishida/outputs-flickr/21625-2.png,<pad> question: What are the two buildings?</s>,buildings,buildings
/home/forte/users/nishida/outputs-flickr/21625-3.png,<pad> question: What is the name of the man walking between two buildings?</s>,man,man
/home/forte/users/nishida/outputs-flickr/21625-3.png,<pad> question: A man and a woman walking between two buildings?</s>,woman,woman
/home/forte/users/nishida/outputs-flickr/21625-3.png,<pad> question: What are the two buildings?</s>,buildings,buildings
/home/forte/users/nishida/outputs-flickr/21626-1.png,<pad> question: Who tried and failed to defend a shot in a hockey game?</s>,goalie,athlete
