image_id,question,correct,generate
/home/forte/users/nishida/outputs/25922-3.png,what type of vehicle is this?,trains,train
/home/forte/users/nishida/outputs/25922-3.png,are there train tracks?,yes,yes
/home/forte/users/nishida/outputs/25922-3.png,what type of road is this?,train tracks,side
/home/forte/users/nishida/outputs/25922-3.png,are the trains going down the train tracks?,yes,yes
/home/forte/users/nishida/outputs/25922-3.png,what are the trains doing?,going down,yes
/home/forte/users/nishida/outputs/25923-1.png,what type of vehicle is parked on the street?,car,man
/home/forte/users/nishida/outputs/25923-1.png,is this a street?,yes,yes
/home/forte/users/nishida/outputs/25923-1.png,what type of place is this?,street,outside
/home/forte/users/nishida/outputs/25923-1.png,are the cars parked on the street?,yes,yes
/home/forte/users/nishida/outputs/25923-1.png,are there many cars?,yes,yes
/home/forte/users/nishida/outputs/25923-1.png,is this a busy street?,yes,yes
/home/forte/users/nishida/outputs/25923-1.png,is this a busy or a quiet street?,busy,man
/home/forte/users/nishida/outputs/25923-2.png,what type of vehicle is parked on the street?,car,man
/home/forte/users/nishida/outputs/25923-2.png,is this a street?,yes,yes
/home/forte/users/nishida/outputs/25923-2.png,what type of place is this?,street,outside
/home/forte/users/nishida/outputs/25923-2.png,are the cars parked on the street?,yes,yes
/home/forte/users/nishida/outputs/25923-2.png,are there many cars?,yes,yes
/home/forte/users/nishida/outputs/25923-2.png,is this a busy street?,yes,yes
/home/forte/users/nishida/outputs/25923-2.png,is this a busy or a quiet street?,busy,very crowded
/home/forte/users/nishida/outputs/25923-3.png,what type of vehicle is parked on the street?,car,vehicle
/home/forte/users/nishida/outputs/25923-3.png,is this a street?,yes,yes
/home/forte/users/nishida/outputs/25923-3.png,what type of place is this?,street,man
/home/forte/users/nishida/outputs/25923-3.png,are the cars parked on the street?,yes,yes
/home/forte/users/nishida/outputs/25923-3.png,are there many cars?,yes,yes
/home/forte/users/nishida/outputs/25923-3.png,is this a busy street?,yes,yes
/home/forte/users/nishida/outputs/25923-3.png,is this a busy or a quiet street?,busy,very crowded
/home/forte/users/nishida/outputs/25924-1.png,what type of food is this?,pizza,yes
/home/forte/users/nishida/outputs/25924-1.png,is there a cutting board?,yes,yes
/home/forte/users/nishida/outputs/25924-1.png,what type of object is this?,cutting board,man
/home/forte/users/nishida/outputs/25924-1.png,is there a table?,yes,yes
/home/forte/users/nishida/outputs/25924-1.png,what type of furniture is this?,table,kitchen
/home/forte/users/nishida/outputs/25924-1.png,is the pizza displayed on the cutting board?,yes,yes
/home/forte/users/nishida/outputs/25924-1.png,is the pizza small?,yes,yes
/home/forte/users/nishida/outputs/25924-1.png,is the pizza small or large?,small,small
/home/forte/users/nishida/outputs/25924-2.png,what type of food is this?,pizza,yes
/home/forte/users/nishida/outputs/25924-2.png,is there a cutting board?,yes,yes
/home/forte/users/nishida/outputs/25924-2.png,what type of object is this?,cutting board,someone
/home/forte/users/nishida/outputs/25924-2.png,is there a table?,yes,yes
/home/forte/users/nishida/outputs/25924-2.png,what type of furniture is this?,table,kitchen counter
/home/forte/users/nishida/outputs/25924-2.png,is the pizza displayed on the cutting board?,yes,yes
/home/forte/users/nishida/outputs/25924-2.png,is the pizza small?,yes,yes
/home/forte/users/nishida/outputs/25924-2.png,is the pizza small or large?,small,small
/home/forte/users/nishida/outputs/25924-3.png,what type of food is this?,pizza,yes
/home/forte/users/nishida/outputs/25924-3.png,is there a cutting board?,yes,yes
/home/forte/users/nishida/outputs/25924-3.png,what type of object is this?,cutting board,someone
/home/forte/users/nishida/outputs/25924-3.png,is there a table?,yes,yes
/home/forte/users/nishida/outputs/25924-3.png,what type of furniture is this?,table,kitchen
/home/forte/users/nishida/outputs/25924-3.png,is the pizza displayed on the cutting board?,yes,yes
/home/forte/users/nishida/outputs/25924-3.png,is the pizza small?,yes,yes
/home/forte/users/nishida/outputs/25924-3.png,is the pizza small or large?,small,small
/home/forte/users/nishida/outputs/25925-1.png,is this a beach?,yes,yes
/home/forte/users/nishida/outputs/25925-1.png,what type of place is this?,beach,outside
/home/forte/users/nishida/outputs/25925-1.png,is there a kayak?,yes,yes
/home/forte/users/nishida/outputs/25925-1.png,what type of vehicle is this?,kayak,sand
/home/forte/users/nishida/outputs/25925-1.png,is there water?,yes,yes
/home/forte/users/nishida/outputs/25925-1.png,what type of liquid is this?,water,water
/home/forte/users/nishida/outputs/25925-1.png,are the people pushing the kayak?,yes,yes
/home/forte/users/nishida/outputs/25925-1.png,is the kayak red?,yes,yes
/home/forte/users/nishida/outputs/25925-1.png,what color is the kayak?,red,2
/home/forte/users/nishida/outputs/25925-1.png,are there two people?,yes,yes
/home/forte/users/nishida/outputs/25925-1.png,how many people are on the beach?,2,2
/home/forte/users/nishida/outputs/25925-2.png,is this a beach?,yes,yes
/home/forte/users/nishida/outputs/25925-2.png,what type of place is this?,beach,outside
/home/forte/users/nishida/outputs/25925-2.png,is there a kayak?,yes,yes
/home/forte/users/nishida/outputs/25925-2.png,what type of vehicle is this?,kayak,sand
/home/forte/users/nishida/outputs/25925-2.png,is there water?,yes,yes
/home/forte/users/nishida/outputs/25925-2.png,what type of liquid is this?,water,man
/home/forte/users/nishida/outputs/25925-2.png,are the people pushing the kayak?,yes,yes
/home/forte/users/nishida/outputs/25925-2.png,is the kayak red?,yes,yes
/home/forte/users/nishida/outputs/25925-2.png,what color is the kayak?,red,yes
/home/forte/users/nishida/outputs/25925-2.png,are there two people?,yes,yes
/home/forte/users/nishida/outputs/25925-2.png,how many people are on the beach?,2,2
/home/forte/users/nishida/outputs/25925-3.png,is this a beach?,yes,yes
/home/forte/users/nishida/outputs/25925-3.png,what type of place is this?,beach,outside
/home/forte/users/nishida/outputs/25925-3.png,is there a kayak?,yes,yes
/home/forte/users/nishida/outputs/25925-3.png,what type of vehicle is this?,kayak,sand
/home/forte/users/nishida/outputs/25925-3.png,is there water?,yes,yes
/home/forte/users/nishida/outputs/25925-3.png,what type of liquid is this?,water,man
/home/forte/users/nishida/outputs/25925-3.png,are the people pushing the kayak?,yes,yes
/home/forte/users/nishida/outputs/25925-3.png,is the kayak red?,yes,yes
/home/forte/users/nishida/outputs/25925-3.png,what color is the kayak?,red,man
/home/forte/users/nishida/outputs/25925-3.png,are there two people?,yes,yes
/home/forte/users/nishida/outputs/25925-3.png,how many people are on the beach?,2,2
/home/forte/users/nishida/outputs/25926-1.png,who is on snow skis?,person,man
/home/forte/users/nishida/outputs/25926-1.png,are there snow skis?,yes,yes
/home/forte/users/nishida/outputs/25926-1.png,what type of vehicle is this?,snow skis,motorcycle
/home/forte/users/nishida/outputs/25926-1.png,is there snow?,yes,yes
/home/forte/users/nishida/outputs/25926-1.png,what type of weather is this?,snow,side
/home/forte/users/nishida/outputs/25926-1.png,is the person traveling over snow?,yes,yes
/home/forte/users/nishida/outputs/25926-1.png,what is the person doing on the snow?,traveling over,walking
/home/forte/users/nishida/outputs/25926-2.png,who is on snow skis?,person,man
/home/forte/users/nishida/outputs/25926-2.png,are there snow skis?,yes,yes
/home/forte/users/nishida/outputs/25926-2.png,what type of vehicle is this?,snow skis,man
/home/forte/users/nishida/outputs/25926-2.png,is there snow?,yes,yes
/home/forte/users/nishida/outputs/25926-2.png,what type of weather is this?,snow,snow
/home/forte/users/nishida/outputs/25926-2.png,is the person traveling over snow?,yes,yes
/home/forte/users/nishida/outputs/25926-2.png,what is the person doing on the snow?,traveling over,standing
/home/forte/users/nishida/outputs/25926-3.png,who is on snow skis?,person,man
/home/forte/users/nishida/outputs/25926-3.png,are there snow skis?,yes,yes
/home/forte/users/nishida/outputs/25926-3.png,what type of vehicle is this?,snow skis,yes
/home/forte/users/nishida/outputs/25926-3.png,is there snow?,yes,yes
/home/forte/users/nishida/outputs/25926-3.png,what type of weather is this?,snow,side
/home/forte/users/nishida/outputs/25926-3.png,is the person traveling over snow?,yes,yes
/home/forte/users/nishida/outputs/25926-3.png,what is the person doing on the snow?,traveling over,yes
/home/forte/users/nishida/outputs/25927-1.png,what animal is in the picture?,dog,man
/home/forte/users/nishida/outputs/25927-1.png,is there a Frisbee?,yes,yes
/home/forte/users/nishida/outputs/25927-1.png,what is the dog catching?,Frisbee,frisbee
/home/forte/users/nishida/outputs/25927-1.png,is this a park?,yes,yes
/home/forte/users/nishida/outputs/25927-1.png,what type of place is this?,park,outside
/home/forte/users/nishida/outputs/25927-1.png,is the dog jumping?,yes,yes
/home/forte/users/nishida/outputs/25927-1.png,what is the dog doing?,jumping,yes
/home/forte/users/nishida/outputs/25927-1.png,is the dog catching a Frisbee?,yes,yes
/home/forte/users/nishida/outputs/25927-1.png,is this a Border Collie dog?,yes,yes
/home/forte/users/nishida/outputs/25927-1.png,what type of dog is this?,Border Collie,man
/home/forte/users/nishida/outputs/25927-2.png,what animal is in the picture?,dog,dog
/home/forte/users/nishida/outputs/25927-2.png,is there a Frisbee?,yes,yes
/home/forte/users/nishida/outputs/25927-2.png,what is the dog catching?,Frisbee,frisbee
/home/forte/users/nishida/outputs/25927-2.png,is this a park?,yes,yes
/home/forte/users/nishida/outputs/25927-2.png,what type of place is this?,park,outside
/home/forte/users/nishida/outputs/25927-2.png,is the dog jumping?,yes,yes
/home/forte/users/nishida/outputs/25927-2.png,what is the dog doing?,jumping,yes
/home/forte/users/nishida/outputs/25927-2.png,is the dog catching a Frisbee?,yes,yes
/home/forte/users/nishida/outputs/25927-2.png,is this a Border Collie dog?,yes,yes
/home/forte/users/nishida/outputs/25927-2.png,what type of dog is this?,Border Collie,dog
/home/forte/users/nishida/outputs/25927-3.png,what animal is in the picture?,dog,man
/home/forte/users/nishida/outputs/25927-3.png,is there a Frisbee?,yes,yes
/home/forte/users/nishida/outputs/25927-3.png,what is the dog catching?,Frisbee,frisbee
/home/forte/users/nishida/outputs/25927-3.png,is this a park?,yes,yes
/home/forte/users/nishida/outputs/25927-3.png,what type of place is this?,park,outside
/home/forte/users/nishida/outputs/25927-3.png,is the dog jumping?,yes,yes
/home/forte/users/nishida/outputs/25927-3.png,what is the dog doing?,jumping,2
/home/forte/users/nishida/outputs/25927-3.png,is the dog catching a Frisbee?,yes,yes
/home/forte/users/nishida/outputs/25927-3.png,is this a Border Collie dog?,yes,yes
/home/forte/users/nishida/outputs/25927-3.png,what type of dog is this?,Border Collie,man
/home/forte/users/nishida/outputs/25928-1.png,who are in the picture?,doctors,man
/home/forte/users/nishida/outputs/25928-1.png,are the doctors wearing caps?,yes,yes
/home/forte/users/nishida/outputs/25928-1.png,what are the doctors wearing?,caps,men
/home/forte/users/nishida/outputs/25928-1.png,are the doctors wearing white coats?,yes,yes
/home/forte/users/nishida/outputs/25928-1.png,what are the doctors wearing?,white coats,men
/home/forte/users/nishida/outputs/25928-1.png,is this a group of doctors?,yes,yes
/home/forte/users/nishida/outputs/25928-1.png,is this a group or a single doctor?,group,man
/home/forte/users/nishida/outputs/25928-2.png,who are in the picture?,doctors,man
/home/forte/users/nishida/outputs/25928-2.png,are the doctors wearing caps?,yes,yes
/home/forte/users/nishida/outputs/25928-2.png,what are the doctors wearing?,caps,man
/home/forte/users/nishida/outputs/25928-2.png,are the doctors wearing white coats?,yes,yes
/home/forte/users/nishida/outputs/25928-2.png,what are the doctors wearing?,white coats,man
/home/forte/users/nishida/outputs/25928-2.png,is this a group of doctors?,yes,yes
/home/forte/users/nishida/outputs/25928-2.png,is this a group or a single doctor?,group,man
/home/forte/users/nishida/outputs/25928-3.png,who are in the picture?,doctors,man
/home/forte/users/nishida/outputs/25928-3.png,are the doctors wearing caps?,yes,yes
/home/forte/users/nishida/outputs/25928-3.png,what are the doctors wearing?,caps,men
/home/forte/users/nishida/outputs/25928-3.png,are the doctors wearing white coats?,yes,yes
/home/forte/users/nishida/outputs/25928-3.png,what are the doctors wearing?,white coats,men
/home/forte/users/nishida/outputs/25928-3.png,is this a group of doctors?,yes,yes
/home/forte/users/nishida/outputs/25928-3.png,is this a group or a single doctor?,group,man
/home/forte/users/nishida/outputs/25929-1.png,what type of vehicle is this?,truck,yes
/home/forte/users/nishida/outputs/25929-1.png,is this a building?,yes,yes
/home/forte/users/nishida/outputs/25929-1.png,what type of place is this?,building,outside
/home/forte/users/nishida/outputs/25929-1.png,is the truck parked?,yes,yes
/home/forte/users/nishida/outputs/25929-1.png,is the truck red?,yes,yes
/home/forte/users/nishida/outputs/25929-1.png,what color is the truck?,red,yes
/home/forte/users/nishida/outputs/25929-1.png,is the truck parked in front of the building?,yes,yes
/home/forte/users/nishida/outputs/25929-1.png,is the truck in front of or behind the building?,in front of,in front of
