correct,generate
A man with a red helmet on a small moped on a dirt road. ,a man on a motor cycle sits in front of a bridge [SEP]
Man riding a motor bike on a dirt road on the countryside.,a man on a motor cycle sits in front of a bridge [SEP]
A man riding on the back of a motorcycle.,a man on a motor cycle sits in front of a bridge [SEP]
A dirt path with a young person on a motor bike rests to the foreground of a verdant area with a bridge and a background of cloud-wreathed mountains. ,a man on a motor cycle sits in front of a bridge [SEP]
A man in a red shirt and a red hat is on a motorcycle on a hill side.,a man on a motor cycle sits in front of a bridge [SEP]
A woman wearing a net on her head cutting a cake. ,a person with a knife in a red shirt in a kitchen [SEP]
A woman cutting a large white sheet cake.,a person with a knife in a red shirt in a kitchen [SEP]
A woman wearing a hair net cutting a large sheet cake.,a person with a knife in a red shirt in a kitchen [SEP]
there is a woman that is cutting a white cake,a person with a knife in a red shirt in a kitchen [SEP]
A woman marking a cake with the back of a chef's knife. ,a person with a knife in a red shirt in a kitchen [SEP]
A child holding a flowered umbrella and petting a yak.,many people and animals on a field with umbrellas [SEP]
A young man holding an umbrella next to a herd of cattle.,many people and animals on a field with umbrellas [SEP]
a young boy barefoot holding an umbrella touching the horn of a cow,many people and animals on a field with umbrellas [SEP]
A young boy with an umbrella who is touching the horn of a cow.,many people and animals on a field with umbrellas [SEP]
A boy holding an umbrella while standing next to livestock.,many people and animals on a field with umbrellas [SEP]
A young boy standing in front of a computer keyboard.,a boy in a black shirt with a computer in the background. [SEP]
a little boy wearing headphones and looking at a computer monitor,a boy in a black shirt with a computer in the background. [SEP]
He is listening intently to the computer at school.,a boy in a black shirt with a computer in the background. [SEP]
A young boy stares up at the computer monitor.,a boy in a black shirt with a computer in the background. [SEP]
a young kid with head phones on using a computer ,a boy in a black shirt with a computer in the background. [SEP]
a boy wearing headphones using one computer in a long row of computers,a boy in a striped shirt and grey pants playing with his wii remote [SEP]
A little boy with earphones on listening to something.,a boy in a striped shirt and grey pants playing with his wii remote [SEP]
A group of people sitting at desk using computers.,a boy in a striped shirt and grey pants playing with his wii remote [SEP]
Children sitting at computer stations on a long table.,a boy in a striped shirt and grey pants playing with his wii remote [SEP]
A small child wearing headphones plays on the computer.,a boy in a striped shirt and grey pants playing with his wii remote [SEP]
A woman in a room with a cat.,a person in a kitchen with a dog [SEP]
A girl smiles as she holds a cat and wears a brightly colored skirt.,a person in a kitchen with a dog [SEP]
a woman is holding a cat in her kitchen,a person in a kitchen with a dog [SEP]
A woman is working in a kitchen carrying a soft toy.,a person in a kitchen with a dog [SEP]
A woman is holding a cat in her kitchen.,a person in a kitchen with a dog [SEP]
A young girl inhales with the intent of blowing out a candle. ,a woman seated at a table with a toothbrush in hand and a picture with a picture of two others and a dog on the table. [SEP]
A young girl is preparing to blow out her candle.,a woman seated at a table with a toothbrush in hand and a picture with a picture of two others and a dog on the table. [SEP]
A kid is to blow out the single candle in a bowl of birthday goodness. ,a woman seated at a table with a toothbrush in hand and a picture with a picture of two others and a dog on the table. [SEP]
Girl blowing out the candle on an ice-cream ,a woman seated at a table with a toothbrush in hand and a picture with a picture of two others and a dog on the table. [SEP]
A little girl is getting ready to blow out a candle on a small dessert.,a woman seated at a table with a toothbrush in hand and a picture with a picture of two others and a dog on the table. [SEP]
A commercial stainless kitchen with a pot of food cooking. ,a commercial kitchen with two sinks and a large window [SEP]
Some food sits in a pot in a kitchen. ,a commercial kitchen with two sinks and a large window [SEP]
A kitchen has all stainless steel appliances and counters.,a commercial kitchen with two sinks and a large window [SEP]
a kitchen with a sink and many cooking machines and a pot of food,a commercial kitchen with two sinks and a large window [SEP]
Food cooks in a pot on a stove in a kitchen.,a commercial kitchen with two sinks and a large window [SEP]
Two men wearing aprons working in a commercial-style kitchen.,a person in a kitchen of some kind of restaurant. [SEP]
Chefs preparing food in a professional metallic style kitchen.,a person in a kitchen of some kind of restaurant. [SEP]
Two people standing around in a large kitchen.,a person in a kitchen of some kind of restaurant. [SEP]
A commercial kitchen with two men working to prepare several plates.,a person in a kitchen of some kind of restaurant. [SEP]
two men in white shirts in a large steel kitchen,a person in a kitchen of some kind of restaurant. [SEP]
Two chefs in a restaurant kitchen preparing food. ,many people are in the kitchen with some food on the counter and a man is working with them [SEP]
Two cooks are cooking the food someone ordered at this restaurant,many people are in the kitchen with some food on the counter and a man is working with them [SEP]
The chef is cooking with pans on the stove next to an oven. ,many people are in the kitchen with some food on the counter and a man is working with them [SEP]
Two men that are standing in a kitchen.,many people are in the kitchen with some food on the counter and a man is working with them [SEP]
Two cooks are near the stove in a stainless steel kitchen.,many people are in the kitchen with some food on the counter and a man is working with them [SEP]
