image_id,question,correct,generate
/home/forte/users/nishida/outputs/25922-3.png,what type of vehicle is this?,trains,train
/home/forte/users/nishida/outputs/25922-3.png,are there train tracks?,yes,woman
/home/forte/users/nishida/outputs/25922-3.png,what type of road is this?,train tracks,metal
/home/forte/users/nishida/outputs/25922-3.png,are the trains going down the train tracks?,yes,nonokel
/home/forte/users/nishida/outputs/25922-3.png,what are the trains doing?,going down,people
/home/forte/users/nishida/outputs/25923-1.png,what type of vehicle is parked on the street?,car,cars
/home/forte/users/nishida/outputs/25923-1.png,is this a street?,yes,woman
/home/forte/users/nishida/outputs/25923-1.png,what type of place is this?,street,parking
/home/forte/users/nishida/outputs/25923-1.png,are the cars parked on the street?,yes,woman
/home/forte/users/nishida/outputs/25923-1.png,are there many cars?,yes,woman
/home/forte/users/nishida/outputs/25923-1.png,is this a busy street?,yes,woman
/home/forte/users/nishida/outputs/25923-1.png,is this a busy or a quiet street?,busy,day
/home/forte/users/nishida/outputs/25923-2.png,what type of vehicle is parked on the street?,car,cars
/home/forte/users/nishida/outputs/25923-2.png,is this a street?,yes,woman
/home/forte/users/nishida/outputs/25923-2.png,what type of place is this?,street,metal
/home/forte/users/nishida/outputs/25923-2.png,are the cars parked on the street?,yes,woman
/home/forte/users/nishida/outputs/25923-2.png,are there many cars?,yes,woman
/home/forte/users/nishida/outputs/25923-2.png,is this a busy street?,yes,woman
/home/forte/users/nishida/outputs/25923-2.png,is this a busy or a quiet street?,busy,day
/home/forte/users/nishida/outputs/25923-3.png,what type of vehicle is parked on the street?,car,cars
/home/forte/users/nishida/outputs/25923-3.png,is this a street?,yes,woman
/home/forte/users/nishida/outputs/25923-3.png,what type of place is this?,street,metal
/home/forte/users/nishida/outputs/25923-3.png,are the cars parked on the street?,yes,woman
/home/forte/users/nishida/outputs/25923-3.png,are there many cars?,yes,woman
/home/forte/users/nishida/outputs/25923-3.png,is this a busy street?,yes,woman
/home/forte/users/nishida/outputs/25923-3.png,is this a busy or a quiet street?,busy,day
/home/forte/users/nishida/outputs/25924-1.png,what type of food is this?,pizza,hand
/home/forte/users/nishida/outputs/25924-1.png,is there a cutting board?,yes,woman
/home/forte/users/nishida/outputs/25924-1.png,what type of object is this?,cutting board,metal
/home/forte/users/nishida/outputs/25924-1.png,is there a table?,yes,woman
/home/forte/users/nishida/outputs/25924-1.png,what type of furniture is this?,table,table
/home/forte/users/nishida/outputs/25924-1.png,is the pizza displayed on the cutting board?,yes,woman
/home/forte/users/nishida/outputs/25924-1.png,is the pizza small?,yes,woman
/home/forte/users/nishida/outputs/25924-1.png,is the pizza small or large?,small,flower
/home/forte/users/nishida/outputs/25924-2.png,what type of food is this?,pizza,hand
/home/forte/users/nishida/outputs/25924-2.png,is there a cutting board?,yes,nonokel
/home/forte/users/nishida/outputs/25924-2.png,what type of object is this?,cutting board,fence
/home/forte/users/nishida/outputs/25924-2.png,is there a table?,yes,woman
/home/forte/users/nishida/outputs/25924-2.png,what type of furniture is this?,table,table
/home/forte/users/nishida/outputs/25924-2.png,is the pizza displayed on the cutting board?,yes,nonokel
/home/forte/users/nishida/outputs/25924-2.png,is the pizza small?,yes,woman
/home/forte/users/nishida/outputs/25924-2.png,is the pizza small or large?,small,woman
/home/forte/users/nishida/outputs/25924-3.png,what type of food is this?,pizza,pan
/home/forte/users/nishida/outputs/25924-3.png,is there a cutting board?,yes,woman
/home/forte/users/nishida/outputs/25924-3.png,what type of object is this?,cutting board,metal
/home/forte/users/nishida/outputs/25924-3.png,is there a table?,yes,woman
/home/forte/users/nishida/outputs/25924-3.png,what type of furniture is this?,table,table
/home/forte/users/nishida/outputs/25924-3.png,is the pizza displayed on the cutting board?,yes,nonokel
/home/forte/users/nishida/outputs/25924-3.png,is the pizza small?,yes,woman
/home/forte/users/nishida/outputs/25924-3.png,is the pizza small or large?,small,flower
/home/forte/users/nishida/outputs/25925-1.png,is this a beach?,yes,woman
/home/forte/users/nishida/outputs/25925-1.png,what type of place is this?,beach,sand
/home/forte/users/nishida/outputs/25925-1.png,is there a kayak?,yes,woman
/home/forte/users/nishida/outputs/25925-1.png,what type of vehicle is this?,kayak,dog
/home/forte/users/nishida/outputs/25925-1.png,is there water?,yes,woman
/home/forte/users/nishida/outputs/25925-1.png,what type of liquid is this?,water,water
/home/forte/users/nishida/outputs/25925-1.png,are the people pushing the kayak?,yes,woman
/home/forte/users/nishida/outputs/25925-1.png,is the kayak red?,yes,woman
/home/forte/users/nishida/outputs/25925-1.png,what color is the kayak?,red,flowers
/home/forte/users/nishida/outputs/25925-1.png,are there two people?,yes,woman
/home/forte/users/nishida/outputs/25925-1.png,how many people are on the beach?,2,people
/home/forte/users/nishida/outputs/25925-2.png,is this a beach?,yes,woman
/home/forte/users/nishida/outputs/25925-2.png,what type of place is this?,beach,sand
/home/forte/users/nishida/outputs/25925-2.png,is there a kayak?,yes,woman
/home/forte/users/nishida/outputs/25925-2.png,what type of vehicle is this?,kayak,dog
/home/forte/users/nishida/outputs/25925-2.png,is there water?,yes,woman
/home/forte/users/nishida/outputs/25925-2.png,what type of liquid is this?,water,water
/home/forte/users/nishida/outputs/25925-2.png,are the people pushing the kayak?,yes,woman
/home/forte/users/nishida/outputs/25925-2.png,is the kayak red?,yes,woman
/home/forte/users/nishida/outputs/25925-2.png,what color is the kayak?,red,flowers
/home/forte/users/nishida/outputs/25925-2.png,are there two people?,yes,one
/home/forte/users/nishida/outputs/25925-2.png,how many people are on the beach?,2,one
/home/forte/users/nishida/outputs/25925-3.png,is this a beach?,yes,woman
/home/forte/users/nishida/outputs/25925-3.png,what type of place is this?,beach,sand
/home/forte/users/nishida/outputs/25925-3.png,is there a kayak?,yes,woman
/home/forte/users/nishida/outputs/25925-3.png,what type of vehicle is this?,kayak,boat
/home/forte/users/nishida/outputs/25925-3.png,is there water?,yes,woman
/home/forte/users/nishida/outputs/25925-3.png,what type of liquid is this?,water,water
/home/forte/users/nishida/outputs/25925-3.png,are the people pushing the kayak?,yes,woman
/home/forte/users/nishida/outputs/25925-3.png,is the kayak red?,yes,woman
/home/forte/users/nishida/outputs/25925-3.png,what color is the kayak?,red,flowers
/home/forte/users/nishida/outputs/25925-3.png,are there two people?,yes,woman
/home/forte/users/nishida/outputs/25925-3.png,how many people are on the beach?,2,people
/home/forte/users/nishida/outputs/25926-1.png,who is on snow skis?,person,woman
/home/forte/users/nishida/outputs/25926-1.png,are there snow skis?,yes,woman
/home/forte/users/nishida/outputs/25926-1.png,what type of vehicle is this?,snow skis,snow
