image_id,correct,generate
/home/forte/users/nishida/outputs/21601-1.png,a kitchen with a refrigerator with a sink,two people are in the kitchen. [SEP]
/home/forte/users/nishida/outputs/21601-2.png,a kitchen with a refrigerator with a sink,two people are in the kitchen. [SEP]
/home/forte/users/nishida/outputs/21601-3.png,a kitchen with a refrigerator with a sink,two people are in the kitchen. [SEP]
/home/forte/users/nishida/outputs/21602-1.png,A post with a hand painted sign on top.,a sign proclaiming that there is ad space available. [SEP]
/home/forte/users/nishida/outputs/21602-2.png,A post with a hand painted sign on top.,"a sign reading "" hood! "" [SEP]"
/home/forte/users/nishida/outputs/21602-3.png,A post with a hand painted sign on top.,this is a sign waiting to be spray painted with words. [SEP]
/home/forte/users/nishida/outputs/21603-1.png,A cat standing in the sand with its face near an animal.,a cat walks across the sandy beach. [SEP]
/home/forte/users/nishida/outputs/21603-2.png,A cat standing in the sand with its face near an animal.,two cat play together. [SEP]
/home/forte/users/nishida/outputs/21603-3.png,A cat standing in the sand with its face near an animal.,orange striped cat runs across sand. [SEP]
/home/forte/users/nishida/outputs/21604-1.png,A microwave and an oven on a kitchen,a woman in a white shirt is cooking on a commercial stove. [SEP]
/home/forte/users/nishida/outputs/21604-2.png,A microwave and an oven on a kitchen,two people are in the kitchen. [SEP]
/home/forte/users/nishida/outputs/21604-3.png,A microwave and an oven on a kitchen,two people are in the kitchen. [SEP]
/home/forte/users/nishida/outputs/21605-1.png,Friends gather an at airport while holding their luggage.,people wait for their bags in an airport. [SEP]
/home/forte/users/nishida/outputs/21605-2.png,Friends gather an at airport while holding their luggage.,people wait for their bags in an airport. [SEP]
/home/forte/users/nishida/outputs/21605-3.png,Friends gather an at airport while holding their luggage.,people wait for their bags at an airport. [SEP]
/home/forte/users/nishida/outputs/21606-1.png,A truck that has some rust on it and its hood is slightly lifted.,a woman is posing in a meadow next to an old truck. [SEP]
/home/forte/users/nishida/outputs/21606-2.png,A truck that has some rust on it and its hood is slightly lifted.,a girl is posing on the back of an old truck. [SEP]
/home/forte/users/nishida/outputs/21606-3.png,A truck that has some rust on it and its hood is slightly lifted.,a dirty truck in the heart of a school. [SEP]
/home/forte/users/nishida/outputs/21607-1.png,"The youths are gathered in the park, some holding frisbees.",a group of young people are playing a game and talking. [SEP]
/home/forte/users/nishida/outputs/21607-2.png,"The youths are gathered in the park, some holding frisbees.",a group of young men and small girls play a game of frisbees. [SEP]
/home/forte/users/nishida/outputs/21607-3.png,"The youths are gathered in the park, some holding frisbees.",during this vacation children enjoying their games at the park. [SEP]
/home/forte/users/nishida/outputs/21608-1.png,A brown bear walking next to two small bears.,the bears are facing each other with their mouths wide open. [SEP]
/home/forte/users/nishida/outputs/21608-2.png,A brown bear walking next to two small bears.,"two young bears, one is holding a third is standing by a log. [SEP]"
/home/forte/users/nishida/outputs/21608-3.png,A brown bear walking next to two small bears.,"two brown bears, one with a little girl, the other as a little girl, are walking with another the other. [SEP]"
/home/forte/users/nishida/outputs/21609-1.png,an image of a sub sandwich with meat and veggies on it,a boy is leaping from a hotdog's foot next to a plate of food. [SEP]
/home/forte/users/nishida/outputs/21609-2.png,an image of a sub sandwich with meat and veggies on it,a woman is putting a quiznos sub sign on a table. [SEP]
/home/forte/users/nishida/outputs/21609-3.png,an image of a sub sandwich with meat and veggies on it,a t - shirtless woman is putting a stack of five pastries on her head. [SEP]
/home/forte/users/nishida/outputs/21610-1.png,A man on a tennis court stretching to return a hit,a man in a gray shirt is playing tennis. [SEP]
/home/forte/users/nishida/outputs/21610-2.png,A man on a tennis court stretching to return a hit,two people are playing tennis. [SEP]
/home/forte/users/nishida/outputs/21610-3.png,A man on a tennis court stretching to return a hit,a man in a gray shirt is hitting a tennis ball. [SEP]
/home/forte/users/nishida/outputs/21611-1.png,A man standing in a restroom wearing glasses.,a man in a suit is standing in a very narrow hallway. [SEP]
/home/forte/users/nishida/outputs/21611-2.png,A man standing in a restroom wearing glasses.,a man with glasses is looking in a mirror. [SEP]
/home/forte/users/nishida/outputs/21611-3.png,A man standing in a restroom wearing glasses.,a man in glasses and a blue shirt is standing in front of a mirror. [SEP]
/home/forte/users/nishida/outputs/21612-1.png,a woman standing on a surf board on the beach,a woman standing on the shore of a beach. [SEP]
/home/forte/users/nishida/outputs/21612-2.png,a woman standing on a surf board on the beach,a woman standing on the beach with her surfboard. [SEP]
/home/forte/users/nishida/outputs/21612-3.png,a woman standing on a surf board on the beach,a woman in a bikini and sunglasses is walking barefoot on a beach. [SEP]
/home/forte/users/nishida/outputs/21613-1.png,A bed sitting on a hard wood floor.,two people are standing on a bed. [SEP]
/home/forte/users/nishida/outputs/21613-2.png,A bed sitting on a hard wood floor.,a man is standing on his bed and is getting his picture taken. [SEP]
/home/forte/users/nishida/outputs/21613-3.png,A bed sitting on a hard wood floor.,two men are in a room that has a bed and a chair. [SEP]
/home/forte/users/nishida/outputs/21614-1.png,A child with curly hair holds out his baseball glove.,a little girl is standing on a baseball field about to walk. [SEP]
/home/forte/users/nishida/outputs/21614-2.png,A child with curly hair holds out his baseball glove.,"a young boy in a white t - shirt, red shorts, and a baseball cap plays baseball. [SEP]"
/home/forte/users/nishida/outputs/21614-3.png,A child with curly hair holds out his baseball glove.,a young girl in a baseball uniform with curly blond - hair holds a baseball bat behind her. [SEP]
/home/forte/users/nishida/outputs/21615-1.png,A black table in a kitchen with black chairs.,a man is sitting at a desk in a kitchen. [SEP]
/home/forte/users/nishida/outputs/21615-2.png,A black table in a kitchen with black chairs.,a man is sitting at a table and eating food. [SEP]
/home/forte/users/nishida/outputs/21615-3.png,A black table in a kitchen with black chairs.,a man is standing on a chair and cooking in a kitchen. [SEP]
/home/forte/users/nishida/outputs/21616-1.png,"Two girls are brushing their teeth in a bathroom,",two girls brushing their teeth in the bathroom. [SEP]
/home/forte/users/nishida/outputs/21616-2.png,"Two girls are brushing their teeth in a bathroom,",two girls brushing their teeth. [SEP]
/home/forte/users/nishida/outputs/21616-3.png,"Two girls are brushing their teeth in a bathroom,","two girls, one blond and one brunette, eating chocolate cake with a spoon. [SEP]"
/home/forte/users/nishida/outputs/21617-1.png,A red suitcase abandoned in a secluded area.,a boy is laying on the grass and is staring at some sort of instrument. [SEP]
/home/forte/users/nishida/outputs/21617-2.png,A red suitcase abandoned in a secluded area.,a woman holds a suitcase and looks at her camera. [SEP]
/home/forte/users/nishida/outputs/21617-3.png,A red suitcase abandoned in a secluded area.,a woman is walking through a grassy field towards a red suitcase. [SEP]
/home/forte/users/nishida/outputs/21618-1.png,A woman with a suitcase and an umbrella on a sidewalk.,a woman is walking down the sidewalk with a blue umbrella and a red bag. [SEP]
/home/forte/users/nishida/outputs/21618-2.png,A woman with a suitcase and an umbrella on a sidewalk.,a woman is walking down the sidewalk with her luggage. [SEP]
/home/forte/users/nishida/outputs/21618-3.png,A woman with a suitcase and an umbrella on a sidewalk.,a woman is walking down the sidewalk with her luggage. [SEP]
/home/forte/users/nishida/outputs/21619-1.png,a close up of a person riding a skate board,a person wearing rollerblades standing on a paved area near a park bench. [SEP]
/home/forte/users/nishida/outputs/21619-2.png,a close up of a person riding a skate board,a young man rollerskating. [SEP]
/home/forte/users/nishida/outputs/21619-3.png,a close up of a person riding a skate board,a man is reaching up to pick up his skateboard. [SEP]
/home/forte/users/nishida/outputs/21620-1.png,A man standing next to a red motorcycle in a parking space.,a man is standing beside a motorcycle. [SEP]
/home/forte/users/nishida/outputs/21620-2.png,A man standing next to a red motorcycle in a parking space.,a man in a suit stands beside his red motorcycle. [SEP]
/home/forte/users/nishida/outputs/21620-3.png,A man standing next to a red motorcycle in a parking space.,a man in a red jacket stands beside a parked car. [SEP]
/home/forte/users/nishida/outputs/21621-1.png,Professional motorcyclists racing along a curve on a race track.,two motorcycle racers ride along a racetrack. [SEP]
/home/forte/users/nishida/outputs/21621-2.png,Professional motorcyclists racing along a curve on a race track.,two motorcyclists turning the corner of a racetrack [SEP]
/home/forte/users/nishida/outputs/21621-3.png,Professional motorcyclists racing along a curve on a race track.,two motorcyclists turning the corner of a racetrack [SEP]
/home/forte/users/nishida/outputs/21622-1.png,A person in the snow on some skis.,a golden retreiver standing outside in the snow with a person standing behind him. [SEP]
/home/forte/users/nishida/outputs/21622-2.png,A person in the snow on some skis.,a woman hiking in the snow using ski poles. [SEP]
/home/forte/users/nishida/outputs/21622-3.png,A person in the snow on some skis.,a woman is snowboarding down an incline while another woman stands behind her. [SEP]
/home/forte/users/nishida/outputs/21623-1.png,A pastoral scene with horses and a mountain.,three horses and a man are sitting on a hill with a mountain in the background. [SEP]
/home/forte/users/nishida/outputs/21623-2.png,A pastoral scene with horses and a mountain.,three horses and a cow in a field. [SEP]
/home/forte/users/nishida/outputs/21623-3.png,A pastoral scene with horses and a mountain.,three horses and a woman stand near a hill. [SEP]
/home/forte/users/nishida/outputs/21624-1.png,A big display of holiday items some using musical instruments.,a man is sitting on the floor near a christmas tree. [SEP]
/home/forte/users/nishida/outputs/21624-2.png,A big display of holiday items some using musical instruments.,a man and a woman is opening a present. [SEP]
/home/forte/users/nishida/outputs/21624-3.png,A big display of holiday items some using musical instruments.,a man is working in a classroom wearing a santa clause hat. [SEP]
/home/forte/users/nishida/outputs/21625-1.png,Man and woman laying in a bed reading separate books. ,a man and a woman is in a room reading a book. [SEP]
/home/forte/users/nishida/outputs/21625-2.png,Man and woman laying in a bed reading separate books. ,a man is reading a book to a woman on a bed. [SEP]
/home/forte/users/nishida/outputs/21625-3.png,Man and woman laying in a bed reading separate books. ,a man and a woman are reading books. [SEP]
/home/forte/users/nishida/outputs/21626-1.png,A man skateboarding at the skate park during the day.,a man is skateboarding in a skateboard park. [SEP]
/home/forte/users/nishida/outputs/21626-2.png,A man skateboarding at the skate park during the day.,a man is skateboarding in a skateboard park. [SEP]
/home/forte/users/nishida/outputs/21626-3.png,A man skateboarding at the skate park during the day.,a man is skateboarding in a skateboard park. [SEP]
/home/forte/users/nishida/outputs/21627-1.png,dog jumping up to play with a man in a living room,a dog is jumping on the couch next to someone with a large toy in their mouth. [SEP]
/home/forte/users/nishida/outputs/21627-2.png,dog jumping up to play with a man in a living room,a man is playing with his dog. [SEP]
/home/forte/users/nishida/outputs/21627-3.png,dog jumping up to play with a man in a living room,a man is playing with his dog. [SEP]
/home/forte/users/nishida/outputs/21628-1.png,Freeway signs on a sunny day with very little traffic ahead.,many cars are going through a high bridge. [SEP]
/home/forte/users/nishida/outputs/21628-2.png,Freeway signs on a sunny day with very little traffic ahead.,people are walking on a track. [SEP]
/home/forte/users/nishida/outputs/21628-3.png,Freeway signs on a sunny day with very little traffic ahead.,traffic is present on a road and people are waiting to cross the road. [SEP]
/home/forte/users/nishida/outputs/21629-1.png,A man with a boat paddle standing on a boat.,a man is standing on a boat holding a stick in his hands. [SEP]
/home/forte/users/nishida/outputs/21629-2.png,A man with a boat paddle standing on a boat.,a man is rowing a boat in a body of water. [SEP]
/home/forte/users/nishida/outputs/21629-3.png,A man with a boat paddle standing on a boat.,a man is holding a leash near a boat. [SEP]
/home/forte/users/nishida/outputs/21630-1.png,a animal hiding in a bunch of flowers,a small animal is wearing a flower mountain costume and walking. [SEP]
/home/forte/users/nishida/outputs/21630-2.png,a animal hiding in a bunch of flowers,a small dog with a pink flower in its mouth is jumping over a fence. [SEP]
/home/forte/users/nishida/outputs/21630-3.png,a animal hiding in a bunch of flowers,a gray dog is swimming in a field of flowers. [SEP]
/home/forte/users/nishida/outputs/21631-1.png,A brown dog is sitting on the dirt path.,a brown dog with a white covering in its mouth [SEP]
/home/forte/users/nishida/outputs/21631-2.png,A brown dog is sitting on the dirt path.,the white and brown dog is running on the dirt. [SEP]
/home/forte/users/nishida/outputs/21631-3.png,A brown dog is sitting on the dirt path.,the brown dog is running on the dirt. [SEP]
/home/forte/users/nishida/outputs/21632-1.png,A man in white shirt doing a trick on a skateboard.,a skateboarder wearing a black hat is doing a trick in air. [SEP]
/home/forte/users/nishida/outputs/21632-2.png,A man in white shirt doing a trick on a skateboard.,a skateboarder in the air with his skateboard in the air. [SEP]
/home/forte/users/nishida/outputs/21632-3.png,A man in white shirt doing a trick on a skateboard.,a man in a white shirt is rollerblading. [SEP]
/home/forte/users/nishida/outputs/21633-1.png,A man is playing a game of frisbee in a snowy forest.,a man throws a frisbee in a snow covered area. [SEP]
/home/forte/users/nishida/outputs/21633-2.png,A man is playing a game of frisbee in a snowy forest.,a man wearing a orange hat is running in the snow. [SEP]
/home/forte/users/nishida/outputs/21633-3.png,A man is playing a game of frisbee in a snowy forest.,"two people are trudging through the snow under a blue, but slightly cloudy sky. [SEP]"
/home/forte/users/nishida/outputs/21634-1.png,A dog looking out through a glass door.,a dog looking out the window. [SEP]
/home/forte/users/nishida/outputs/21634-2.png,A dog looking out through a glass door.,a dog is watching two men outside. [SEP]
/home/forte/users/nishida/outputs/21634-3.png,A dog looking out through a glass door.,a dog looks through the window of a room. [SEP]
/home/forte/users/nishida/outputs/21635-1.png,the feet of lacrosse players on field during a game,a young lacrosse player is catching his breath. [SEP]
/home/forte/users/nishida/outputs/21635-2.png,the feet of lacrosse players on field during a game,a young woman seated on the grass with a football. [SEP]
/home/forte/users/nishida/outputs/21635-3.png,the feet of lacrosse players on field during a game,a group of young people are playing lacrosse. [SEP]
/home/forte/users/nishida/outputs/21636-1.png,a cow standing by a fence looking through it for whatever reason,black and white cow with no rider and another cow standing by a fence. [SEP]
/home/forte/users/nishida/outputs/21636-2.png,a cow standing by a fence looking through it for whatever reason,a dog looks at two cattle behind a fence. [SEP]
/home/forte/users/nishida/outputs/21636-3.png,a cow standing by a fence looking through it for whatever reason,a tan and white cow with two trees in the background is looking through a fence. [SEP]
/home/forte/users/nishida/outputs/21637-1.png,A pair of black vintage looking street signs.,a street sign is obscured by a sign. [SEP]
/home/forte/users/nishida/outputs/21637-2.png,A pair of black vintage looking street signs.,a man is posing with his black sign. [SEP]
/home/forte/users/nishida/outputs/21637-3.png,A pair of black vintage looking street signs.,there are three people wearing black chatting on a street sign. [SEP]
/home/forte/users/nishida/outputs/21638-1.png,Kitchen with silver appliances and brown cabinets. ,two people are in the kitchen. [SEP]
/home/forte/users/nishida/outputs/21638-2.png,Kitchen with silver appliances and brown cabinets. ,two people are in the kitchen. [SEP]
/home/forte/users/nishida/outputs/21638-3.png,Kitchen with silver appliances and brown cabinets. ,two people are in the kitchen. [SEP]
