image_id,question,correct,generate
/home/forte/users/nishida/outputs/21620-3.png,What type of vehicle is a man standing next to?,motorcycle,
/home/forte/users/nishida/outputs/21620-3.png,What is the name of the space where a man is standing next to a red motorcycle?,parking,
/home/forte/users/nishida/outputs/21620-3.png,What is the parking space for a motorcycle?,space,
/home/forte/users/nishida/outputs/21621-1.png,What type of professional racers are on a race track?,motorcyclists,
/home/forte/users/nishida/outputs/21621-1.png,What is a curve?,curve,
/home/forte/users/nishida/outputs/21621-1.png,What type of track are professional motorcyclists on?,race,
/home/forte/users/nishida/outputs/21621-1.png,What type of track are professional motorcyclists racing on?,track,
/home/forte/users/nishida/outputs/21621-2.png,What type of professional racers are on a race track?,motorcyclists,
/home/forte/users/nishida/outputs/21621-2.png,What is a curve?,curve,
/home/forte/users/nishida/outputs/21621-2.png,What type of track are professional motorcyclists on?,race,
/home/forte/users/nishida/outputs/21621-2.png,What type of track are professional motorcyclists racing on?,track,
/home/forte/users/nishida/outputs/21621-3.png,What type of professional racers are on a race track?,motorcyclists,
/home/forte/users/nishida/outputs/21621-3.png,What is a curve?,curve,
/home/forte/users/nishida/outputs/21621-3.png,What type of track are professional motorcyclists on?,race,
/home/forte/users/nishida/outputs/21621-3.png,What type of track are professional motorcyclists racing on?,track,
/home/forte/users/nishida/outputs/21622-1.png,What is a person in the snow on some skis?,person,
/home/forte/users/nishida/outputs/21622-1.png,What kind of weather does a person get in?,snow,
/home/forte/users/nishida/outputs/21622-1.png,What kind of equipment is a person in the snow?,skis,
/home/forte/users/nishida/outputs/21622-2.png,What is a person in the snow on some skis?,person,
/home/forte/users/nishida/outputs/21622-2.png,What kind of weather does a person get in?,snow,
/home/forte/users/nishida/outputs/21622-2.png,What kind of equipment is a person in the snow?,skis,
/home/forte/users/nishida/outputs/21622-3.png,What is a person in the snow on some skis?,person,
/home/forte/users/nishida/outputs/21622-3.png,What kind of weather does a person get in?,snow,
/home/forte/users/nishida/outputs/21622-3.png,What kind of equipment is a person in the snow?,skis,
/home/forte/users/nishida/outputs/21623-1.png,What is a pastoral scene with horses and a mountain?,scene,
/home/forte/users/nishida/outputs/21623-1.png,What kind of animals are in the scene?,horses,
/home/forte/users/nishida/outputs/21623-1.png,What kind of mountain is the scene with horses?,mountain,
/home/forte/users/nishida/outputs/21623-2.png,What is a pastoral scene with horses and a mountain?,scene,
/home/forte/users/nishida/outputs/21623-2.png,What kind of animals are in the scene?,horses,
/home/forte/users/nishida/outputs/21623-2.png,What kind of mountain is the scene with horses?,mountain,
/home/forte/users/nishida/outputs/21623-3.png,What is a pastoral scene with horses and a mountain?,scene,
/home/forte/users/nishida/outputs/21623-3.png,What kind of animals are in the scene?,horses,
/home/forte/users/nishida/outputs/21623-3.png,What kind of mountain is the scene with horses?,mountain,
/home/forte/users/nishida/outputs/21624-1.png,What is a big part of the holiday?,display,
/home/forte/users/nishida/outputs/21624-1.png,What type of items are displayed on a large display?,holiday,
/home/forte/users/nishida/outputs/21624-1.png,What type of holiday items are displayed on a large display?,items,
/home/forte/users/nishida/outputs/21624-1.png,What musical instrument are some of the holiday items made of?,instruments,
/home/forte/users/nishida/outputs/21624-2.png,What is a big part of the holiday?,display,
/home/forte/users/nishida/outputs/21624-2.png,What type of items are displayed on a large display?,holiday,
/home/forte/users/nishida/outputs/21624-2.png,What type of holiday items are displayed on a large display?,items,
/home/forte/users/nishida/outputs/21624-2.png,What musical instrument are some of the holiday items made of?,instruments,
/home/forte/users/nishida/outputs/21624-3.png,What is a big part of the holiday?,display,
/home/forte/users/nishida/outputs/21624-3.png,What type of items are displayed on a large display?,holiday,
/home/forte/users/nishida/outputs/21624-3.png,What type of holiday items are displayed on a large display?,items,
/home/forte/users/nishida/outputs/21624-3.png,What musical instrument are some of the holiday items made of?,instruments,
/home/forte/users/nishida/outputs/21625-1.png,What is the gender of the person in the bed?,Man,
/home/forte/users/nishida/outputs/21625-1.png,What is the gender of the man in the bed?,woman,
/home/forte/users/nishida/outputs/21625-1.png,What is the place where a man and woman read books?,bed,
/home/forte/users/nishida/outputs/21625-1.png,What do the two women read separately?,books,
/home/forte/users/nishida/outputs/21625-2.png,What is the gender of the person in the bed?,Man,
/home/forte/users/nishida/outputs/21625-2.png,What is the gender of the man in the bed?,woman,
/home/forte/users/nishida/outputs/21625-2.png,What is the place where a man and woman read books?,bed,
/home/forte/users/nishida/outputs/21625-2.png,What do the two women read separately?,books,
/home/forte/users/nishida/outputs/21625-3.png,What is the gender of the person in the bed?,Man,
/home/forte/users/nishida/outputs/21625-3.png,What is the gender of the man in the bed?,woman,
/home/forte/users/nishida/outputs/21625-3.png,What is the place where a man and woman read books?,bed,
/home/forte/users/nishida/outputs/21625-3.png,What do the two women read separately?,books,
/home/forte/users/nishida/outputs/21626-1.png,What is the name of the skater who skates at the skate park during the day?,man,
/home/forte/users/nishida/outputs/21626-1.png,What is the name of the skate park?,park,
/home/forte/users/nishida/outputs/21626-1.png,During what time of the day is skateboarding at the skate park?,day,
/home/forte/users/nishida/outputs/21626-2.png,What is the name of the skater who skates at the skate park during the day?,man,
/home/forte/users/nishida/outputs/21626-2.png,What is the name of the skate park?,park,
/home/forte/users/nishida/outputs/21626-2.png,During what time of the day is skateboarding at the skate park?,day,
/home/forte/users/nishida/outputs/21626-3.png,What is the name of the skater who skates at the skate park during the day?,man,
/home/forte/users/nishida/outputs/21626-3.png,What is the name of the skate park?,park,
/home/forte/users/nishida/outputs/21626-3.png,During what time of the day is skateboarding at the skate park?,day,
/home/forte/users/nishida/outputs/21627-1.png,What kind of animal jumps up to play with a man in a living room?,dog,
/home/forte/users/nishida/outputs/21627-1.png,What is the name of the person that a dog jumps up to play with?,man,
/home/forte/users/nishida/outputs/21627-1.png,In what room is a dog playing with a man?,living,
/home/forte/users/nishida/outputs/21627-1.png,What room does a dog play with a man in?,room,
/home/forte/users/nishida/outputs/21627-2.png,What kind of animal jumps up to play with a man in a living room?,dog,
/home/forte/users/nishida/outputs/21627-2.png,What is the name of the person that a dog jumps up to play with?,man,
/home/forte/users/nishida/outputs/21627-2.png,In what room is a dog playing with a man?,living,
/home/forte/users/nishida/outputs/21627-2.png,What room does a dog play with a man in?,room,
/home/forte/users/nishida/outputs/21627-3.png,What kind of animal jumps up to play with a man in a living room?,dog,
/home/forte/users/nishida/outputs/21627-3.png,What is the name of the person that a dog jumps up to play with?,man,
/home/forte/users/nishida/outputs/21627-3.png,In what room is a dog playing with a man?,living,
/home/forte/users/nishida/outputs/21627-3.png,What room does a dog play with a man in?,room,
/home/forte/users/nishida/outputs/21628-1.png,What signs are there on a sunny day?,Freeway,
/home/forte/users/nishida/outputs/21628-1.png,What do you see on a sunny day?,signs,
/home/forte/users/nishida/outputs/21628-1.png,What is the best time to see freeway signs?,day,
/home/forte/users/nishida/outputs/21628-1.png,What is the main issue with the freeway signs?,traffic,
/home/forte/users/nishida/outputs/21628-2.png,What signs are there on a sunny day?,Freeway,
/home/forte/users/nishida/outputs/21628-2.png,What do you see on a sunny day?,signs,
/home/forte/users/nishida/outputs/21628-2.png,What is the best time to see freeway signs?,day,
/home/forte/users/nishida/outputs/21628-2.png,What is the main issue with the freeway signs?,traffic,
/home/forte/users/nishida/outputs/21628-3.png,What signs are there on a sunny day?,Freeway,
/home/forte/users/nishida/outputs/21628-3.png,What do you see on a sunny day?,signs,
/home/forte/users/nishida/outputs/21628-3.png,What is the best time to see freeway signs?,day,
/home/forte/users/nishida/outputs/21628-3.png,What is the main issue with the freeway signs?,traffic,
/home/forte/users/nishida/outputs/21629-1.png,What is a paddler?,man,
