image_id,correct,generate
/home/forte/users/nishida/outputs/21601-1.png,a kitchen with a refrigerator with a sink,a large kitchen with several several counters and appliances. [SEP]
/home/forte/users/nishida/outputs/21601-2.png,a kitchen with a refrigerator with a sink,a kitchen with a marble counter top and a sink. [SEP]
/home/forte/users/nishida/outputs/21601-3.png,a kitchen with a refrigerator with a sink,this is a kitchen with white appliances and brown cabinets [SEP]
/home/forte/users/nishida/outputs/21602-1.png,A post with a hand painted sign on top.,a sign is shown hanging on a post. [SEP]
/home/forte/users/nishida/outputs/21602-2.png,A post with a hand painted sign on top.,a sign has a two headed horse on it's head. [SEP]
/home/forte/users/nishida/outputs/21602-3.png,A post with a hand painted sign on top.,a wooden sign with a painted dragon on it [SEP]
/home/forte/users/nishida/outputs/21603-1.png,A cat standing in the sand with its face near an animal.,a cat is walking on the sand of a beach [SEP]
/home/forte/users/nishida/outputs/21603-2.png,A cat standing in the sand with its face near an animal.,a cat and a dog lying on a sandy beach. [SEP]
/home/forte/users/nishida/outputs/21603-3.png,A cat standing in the sand with its face near an animal.,a cat is running on some sand and a dog is watching [SEP]
/home/forte/users/nishida/outputs/21604-1.png,A microwave and an oven on a kitchen,a stove top oven sitting under a ventilation fan. [SEP]
/home/forte/users/nishida/outputs/21604-2.png,A microwave and an oven on a kitchen,"a kitchen with a microwave, cabinets, stove and dishes on the counter. [SEP]"
/home/forte/users/nishida/outputs/21604-3.png,A microwave and an oven on a kitchen,"a kitchen scene with a refrigerator, microwave and an oven. [SEP]"
/home/forte/users/nishida/outputs/21605-1.png,Friends gather an at airport while holding their luggage.,three people walking through a busy airport carrying luggage. [SEP]
/home/forte/users/nishida/outputs/21605-2.png,Friends gather an at airport while holding their luggage.,people walking through a busy airport carrying luggage. [SEP]
/home/forte/users/nishida/outputs/21605-3.png,Friends gather an at airport while holding their luggage.,people standing together waiting for their luggage. [SEP]
/home/forte/users/nishida/outputs/21606-1.png,A truck that has some rust on it and its hood is slightly lifted.,a vintage orange truck parked on dirt field. [SEP]
/home/forte/users/nishida/outputs/21606-2.png,A truck that has some rust on it and its hood is slightly lifted.,an old truck is parked in the bed of a trailer [SEP]
/home/forte/users/nishida/outputs/21606-3.png,A truck that has some rust on it and its hood is slightly lifted.,an old orange truck on a dirt road in the country. [SEP]
/home/forte/users/nishida/outputs/21607-1.png,"The youths are gathered in the park, some holding frisbees.",a group of young people playing a game of frisbee. [SEP]
/home/forte/users/nishida/outputs/21607-2.png,"The youths are gathered in the park, some holding frisbees.",a group of people playing frisbee in a park. [SEP]
/home/forte/users/nishida/outputs/21607-3.png,"The youths are gathered in the park, some holding frisbees.",people in a park getting ready to throw frisbees. [SEP]
/home/forte/users/nishida/outputs/21608-1.png,A brown bear walking next to two small bears.,a bear and a cub in grassy area. [SEP]
/home/forte/users/nishida/outputs/21608-2.png,A brown bear walking next to two small bears.,a bear and a cub in a field. [SEP]
/home/forte/users/nishida/outputs/21608-3.png,A brown bear walking next to two small bears.,a bear and two cubs walking in a field. [SEP]
/home/forte/users/nishida/outputs/21609-1.png,an image of a sub sandwich with meat and veggies on it,a plate topped with a sandwich and vegetables. [SEP]
/home/forte/users/nishida/outputs/21609-2.png,an image of a sub sandwich with meat and veggies on it,a sandwich with various vegetables and meat on a plate. [SEP]
/home/forte/users/nishida/outputs/21609-3.png,an image of a sub sandwich with meat and veggies on it,a couple of sandwiches with pickles on a table. [SEP]
/home/forte/users/nishida/outputs/21610-1.png,A man on a tennis court stretching to return a hit,a man is playing tennis on a court [SEP]
/home/forte/users/nishida/outputs/21610-2.png,A man on a tennis court stretching to return a hit,a man standing on a tennis court holding a racquet. [SEP]
/home/forte/users/nishida/outputs/21610-3.png,A man on a tennis court stretching to return a hit,the man wearing a baseball cap jumps to hit a tennis ball. [SEP]
/home/forte/users/nishida/outputs/21611-1.png,A man standing in a restroom wearing glasses.,a man in a suit and tie in a public bathroom. [SEP]
/home/forte/users/nishida/outputs/21611-2.png,A man standing in a restroom wearing glasses.,a man wearing glasses and a black shirt standing in front of a mirror. [SEP]
/home/forte/users/nishida/outputs/21611-3.png,A man standing in a restroom wearing glasses.,a man wearing glasses and a dark blue shirt taking a selfie in a bathroom. [SEP]
/home/forte/users/nishida/outputs/21612-1.png,a woman standing on a surf board on the beach,a woman in a bikini stands by a surfboard on a windy beach. [SEP]
/home/forte/users/nishida/outputs/21612-2.png,a woman standing on a surf board on the beach,a woman holding a surfboard over her head on the beach. [SEP]
/home/forte/users/nishida/outputs/21612-3.png,a woman standing on a surf board on the beach,a woman in a bikini stands by a surfboard on a windy beach. [SEP]
/home/forte/users/nishida/outputs/21613-1.png,A bed sitting on a hard wood floor.,a bed with a couple of pillows on top of it. [SEP]
/home/forte/users/nishida/outputs/21613-2.png,A bed sitting on a hard wood floor.,a bed with a glass end table next to it. [SEP]
/home/forte/users/nishida/outputs/21613-3.png,A bed sitting on a hard wood floor.,a bedroom with a bed and other furniture. [SEP]
/home/forte/users/nishida/outputs/21614-1.png,A child with curly hair holds out his baseball glove.,a child dressed in catchers gear on a baseball field. [SEP]
/home/forte/users/nishida/outputs/21614-2.png,A child with curly hair holds out his baseball glove.,a little league baseball game where he just hit the ball. [SEP]
/home/forte/users/nishida/outputs/21614-3.png,A child with curly hair holds out his baseball glove.,a girl is dressed in catchers gear on a baseball field. [SEP]
/home/forte/users/nishida/outputs/21615-1.png,A black table in a kitchen with black chairs.,a dining area with a black table and a television. [SEP]
/home/forte/users/nishida/outputs/21615-2.png,A black table in a kitchen with black chairs.,a dining area with a black bird sitting on the back of a chair. [SEP]
/home/forte/users/nishida/outputs/21615-3.png,A black table in a kitchen with black chairs.,a table and chairs squeezed into a small kitchen. [SEP]
/home/forte/users/nishida/outputs/21616-1.png,"Two girls are brushing their teeth in a bathroom,",a young girl brushing her teeth in the bathroom. [SEP]
/home/forte/users/nishida/outputs/21616-2.png,"Two girls are brushing their teeth in a bathroom,",a young girl using a blow dryer on a long - haired girl in a gym. [SEP]
/home/forte/users/nishida/outputs/21616-3.png,"Two girls are brushing their teeth in a bathroom,",two girls with long hair eating a banana. [SEP]
/home/forte/users/nishida/outputs/21617-1.png,A red suitcase abandoned in a secluded area.,a piece of red luggage bag near a tall green tree. [SEP]
/home/forte/users/nishida/outputs/21617-2.png,A red suitcase abandoned in a secluded area.,someone left all of their luggage on the floor [SEP]
/home/forte/users/nishida/outputs/21617-3.png,A red suitcase abandoned in a secluded area.,"a green, red, and blue suitcase a fence and people walking across the grass [SEP]"
/home/forte/users/nishida/outputs/21618-1.png,A woman with a suitcase and an umbrella on a sidewalk.,a woman in a black top is walking down the street with a umbrella over her head. [SEP]
/home/forte/users/nishida/outputs/21618-2.png,A woman with a suitcase and an umbrella on a sidewalk.,a woman crossing the street with a backpack and headphones on while rolling a suitcase. [SEP]
/home/forte/users/nishida/outputs/21618-3.png,A woman with a suitcase and an umbrella on a sidewalk.,a woman with an umbrella walking down a wet street in a city. [SEP]
/home/forte/users/nishida/outputs/21619-1.png,a close up of a person riding a skate board,a women who is riding on a skateboard. [SEP]
/home/forte/users/nishida/outputs/21619-2.png,a close up of a person riding a skate board,a close up of someone on a skateboard using the edge of a rail. [SEP]
/home/forte/users/nishida/outputs/21619-3.png,a close up of a person riding a skate board,a guy on his skate board does a nice trick [SEP]
/home/forte/users/nishida/outputs/21620-1.png,A man standing next to a red motorcycle in a parking space.,a man in a helmet next to a motorcycle on a sidewalk. [SEP]
/home/forte/users/nishida/outputs/21620-2.png,A man standing next to a red motorcycle in a parking space.,a man standing next to a red motorcycle on a sidewalk. [SEP]
/home/forte/users/nishida/outputs/21620-3.png,A man standing next to a red motorcycle in a parking space.,a man standing next to a red motorcycle on a parking lot. [SEP]
/home/forte/users/nishida/outputs/21621-1.png,Professional motorcyclists racing along a curve on a race track.,two people are side by side on motor cycles racing each other. [SEP]
/home/forte/users/nishida/outputs/21621-2.png,Professional motorcyclists racing along a curve on a race track.,two people are side by side on motor cycles racing each other. [SEP]
/home/forte/users/nishida/outputs/21621-3.png,Professional motorcyclists racing along a curve on a race track.,two people are side by side on motor cycles racing each other. [SEP]
/home/forte/users/nishida/outputs/21622-1.png,A person in the snow on some skis.,a person is standing on a ski trail next to the trees. [SEP]
/home/forte/users/nishida/outputs/21622-2.png,A person in the snow on some skis.,a woman riding skis down a snow covered slope. [SEP]
/home/forte/users/nishida/outputs/21622-3.png,A person in the snow on some skis.,a woman in a green jacket riding a snowboard. [SEP]
/home/forte/users/nishida/outputs/21623-1.png,A pastoral scene with horses and a mountain.,a field with horses and sheep next to a field with farm animals and a building in the background. [SEP]
/home/forte/users/nishida/outputs/21623-2.png,A pastoral scene with horses and a mountain.,a group of horses grazing in a field near a stream. [SEP]
/home/forte/users/nishida/outputs/21623-3.png,A pastoral scene with horses and a mountain.,a man tending to some of his horse. [SEP]
/home/forte/users/nishida/outputs/21624-1.png,A big display of holiday items some using musical instruments.,a lit christmas tree in a living room at night. [SEP]
/home/forte/users/nishida/outputs/21624-2.png,A big display of holiday items some using musical instruments.,a lit christmas tree in a living room at night. [SEP]
/home/forte/users/nishida/outputs/21624-3.png,A big display of holiday items some using musical instruments.,a desk has many decorations and items on display [SEP]
/home/forte/users/nishida/outputs/21625-1.png,Man and woman laying in a bed reading separate books. ,a man and a woman reading a book in a bed with a dog. [SEP]
/home/forte/users/nishida/outputs/21625-2.png,Man and woman laying in a bed reading separate books. ,a man and a woman reading a book on a bed with a dog in their lap. [SEP]
/home/forte/users/nishida/outputs/21625-3.png,Man and woman laying in a bed reading separate books. ,people reading a book in a bedroom on a chair [SEP]
/home/forte/users/nishida/outputs/21626-1.png,A man skateboarding at the skate park during the day.,a person riding a skate board at a skate park [SEP]
/home/forte/users/nishida/outputs/21626-2.png,A man skateboarding at the skate park during the day.,a man is doing a trick on a skateboard [SEP]
/home/forte/users/nishida/outputs/21626-3.png,A man skateboarding at the skate park during the day.,a man riding a skateboard in a skate park. [SEP]
/home/forte/users/nishida/outputs/21627-1.png,dog jumping up to play with a man in a living room,a dog jumping up to catch a frisbee on a floor [SEP]
/home/forte/users/nishida/outputs/21627-2.png,dog jumping up to play with a man in a living room,a man is playing a game with a dog. [SEP]
/home/forte/users/nishida/outputs/21627-3.png,dog jumping up to play with a man in a living room,a man throws a frisbee in a living room [SEP]
/home/forte/users/nishida/outputs/21628-1.png,Freeway signs on a sunny day with very little traffic ahead.,a curved road with a lot of road signs. [SEP]
/home/forte/users/nishida/outputs/21628-2.png,Freeway signs on a sunny day with very little traffic ahead.,a large sign for the city of the road is on a bridge. [SEP]
/home/forte/users/nishida/outputs/21628-3.png,Freeway signs on a sunny day with very little traffic ahead.,a road sign in the middle of a town [SEP]
/home/forte/users/nishida/outputs/21629-1.png,A man with a boat paddle standing on a boat.,a man standing on a dirty boat in a lake [SEP]
/home/forte/users/nishida/outputs/21629-2.png,A man with a boat paddle standing on a boat.,two people are in a small boat on the water. [SEP]
/home/forte/users/nishida/outputs/21629-3.png,A man with a boat paddle standing on a boat.,a person standing on a harbor next to a small boat [SEP]
/home/forte/users/nishida/outputs/21630-1.png,a animal hiding in a bunch of flowers,a close up of a small animal wearing a large bunch of flowers with a overhang with a sign [SEP]
/home/forte/users/nishida/outputs/21630-2.png,a animal hiding in a bunch of flowers,a kitten sitting beside a pile of roses. [SEP]
/home/forte/users/nishida/outputs/21630-3.png,a animal hiding in a bunch of flowers,a close up of a small dog in a field of flowers [SEP]
/home/forte/users/nishida/outputs/21631-1.png,A brown dog is sitting on the dirt path.,a small brown dog standing next to a wooden floor. [SEP]
/home/forte/users/nishida/outputs/21631-2.png,A brown dog is sitting on the dirt path.,a little dog sitting on a ground near a hill [SEP]
/home/forte/users/nishida/outputs/21631-3.png,A brown dog is sitting on the dirt path.,a dog standing on the side of a dirt road next to a white building. [SEP]
/home/forte/users/nishida/outputs/21632-1.png,A man in white shirt doing a trick on a skateboard.,a man that is in the air with a skateboard. [SEP]
/home/forte/users/nishida/outputs/21632-2.png,A man in white shirt doing a trick on a skateboard.,a man that is in the air with a skateboard. [SEP]
/home/forte/users/nishida/outputs/21632-3.png,A man in white shirt doing a trick on a skateboard.,a man dressed in white shirt and grey pants riding a skateboard. [SEP]
/home/forte/users/nishida/outputs/21633-1.png,A man is playing a game of frisbee in a snowy forest.,a man out in the snow throwing a frisbee [SEP]
/home/forte/users/nishida/outputs/21633-2.png,A man is playing a game of frisbee in a snowy forest.,a man is running in the snow with a frisbee [SEP]
/home/forte/users/nishida/outputs/21633-3.png,A man is playing a game of frisbee in a snowy forest.,a man and a boy are running in the snow and have a kite as they stand in the snow. [SEP]
/home/forte/users/nishida/outputs/21634-1.png,A dog looking out through a glass door.,a brown dog has its head in a window. [SEP]
/home/forte/users/nishida/outputs/21634-2.png,A dog looking out through a glass door.,a dog outside looking through a screen door [SEP]
/home/forte/users/nishida/outputs/21634-3.png,A dog looking out through a glass door.,a dog looks in from an open door with his paws on the windowsill. [SEP]
/home/forte/users/nishida/outputs/21635-1.png,the feet of lacrosse players on field during a game,a person wearing athletic shoes is on the field. [SEP]
/home/forte/users/nishida/outputs/21635-2.png,the feet of lacrosse players on field during a game,two women in shoes on the grass playing with a frisbee [SEP]
/home/forte/users/nishida/outputs/21635-3.png,the feet of lacrosse players on field during a game,four women lined up on a field playing soccer. [SEP]
/home/forte/users/nishida/outputs/21636-1.png,a cow standing by a fence looking through it for whatever reason,a cow standing next to a wooden fence [SEP]
/home/forte/users/nishida/outputs/21636-2.png,a cow standing by a fence looking through it for whatever reason,a cow hanging its head over the top of a wooden fence. [SEP]
/home/forte/users/nishida/outputs/21636-3.png,a cow standing by a fence looking through it for whatever reason,a cow standing inside of a fenced in area. [SEP]
/home/forte/users/nishida/outputs/21637-1.png,A pair of black vintage looking street signs.,a street sign indicating the road direction and number. [SEP]
/home/forte/users/nishida/outputs/21637-2.png,A pair of black vintage looking street signs.,a sign showing the words gay street on a brick building. [SEP]
/home/forte/users/nishida/outputs/21637-3.png,A pair of black vintage looking street signs.,a couple of black and white signs in front of a brick wall. [SEP]
/home/forte/users/nishida/outputs/21638-1.png,Kitchen with silver appliances and brown cabinets. ,a kitchen with a metallic refrigerator freezers in a kitchen. [SEP]
/home/forte/users/nishida/outputs/21638-2.png,Kitchen with silver appliances and brown cabinets. ,a kitchen has wooden cabinets and chrome appliances. [SEP]
/home/forte/users/nishida/outputs/21638-3.png,Kitchen with silver appliances and brown cabinets. ,"a kitchen with a sink, toaster, oven and jars holding utensils. [SEP]"
/home/forte/users/nishida/outputs/21639-1.png,"A man wearing a baseball cap, necktie and cartoon t-shirt",a man in a baseball cap holding a baseball bat. [SEP]
/home/forte/users/nishida/outputs/21639-2.png,"A man wearing a baseball cap, necktie and cartoon t-shirt",a picture of a man in a baseball cap. [SEP]
/home/forte/users/nishida/outputs/21639-3.png,"A man wearing a baseball cap, necktie and cartoon t-shirt",a man is posing in a baseball shirt and tie [SEP]
/home/forte/users/nishida/outputs/21640-1.png,The dog in the leather vest is posing on the motorcycle. ,a guy talking on a cell phone on a motorcycle. [SEP]
/home/forte/users/nishida/outputs/21640-2.png,The dog in the leather vest is posing on the motorcycle. ,a person wearing a jacket and a helmet on a motorcycle in a parking space. [SEP]
/home/forte/users/nishida/outputs/21640-3.png,The dog in the leather vest is posing on the motorcycle. ,a woman that is sitting on a motorcycle. [SEP]
/home/forte/users/nishida/outputs/21641-1.png,The basin is located below the high mirror.,a rocky rise on the side of a mountain [SEP]
/home/forte/users/nishida/outputs/21641-2.png,The basin is located below the high mirror.,a sewer with a tree growing on it. [SEP]
/home/forte/users/nishida/outputs/21641-3.png,The basin is located below the high mirror.,a large round pool surrounded by mountains [SEP]
/home/forte/users/nishida/outputs/21642-1.png,A women who is standing holding some snow skis.,woman in ski equipment standing in the snow with her skis. [SEP]
/home/forte/users/nishida/outputs/21642-2.png,A women who is standing holding some snow skis.,a woman in a blue outfit holds her skis in front of a snowy background. [SEP]
/home/forte/users/nishida/outputs/21642-3.png,A women who is standing holding some snow skis.,two people who are standing on a snowboard. [SEP]
/home/forte/users/nishida/outputs/21643-1.png,A half eaten slice of cake with a fork on a plate.,"a white plate holding a piece of chocolate cake, cream and candles. [SEP]"
/home/forte/users/nishida/outputs/21643-2.png,A half eaten slice of cake with a fork on a plate.,a piece of cake with a fork and nothing to eat with a plate and a spoon sitting on a table with a plate. [SEP]
/home/forte/users/nishida/outputs/21643-3.png,A half eaten slice of cake with a fork on a plate.,a cake on a plate with a fork and nothing else [SEP]
/home/forte/users/nishida/outputs/21644-1.png,Girl blows out birthday cake candles with her friends,a little girl wearing a birthday next to a little girl. [SEP]
/home/forte/users/nishida/outputs/21644-2.png,Girl blows out birthday cake candles with her friends,a little girl is getting ready to blow out some candles [SEP]
/home/forte/users/nishida/outputs/21644-3.png,Girl blows out birthday cake candles with her friends,children are surrounding a table with a birthday cake. [SEP]
