image_id,question,correct,generate
/home/forte/users/nishida/outputs/21605-1.png,who is gathering at the airport?,friends,yes
/home/forte/users/nishida/outputs/21605-1.png,are there luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-1.png,what are the friends holding?,luggage,yes
/home/forte/users/nishida/outputs/21605-1.png,is this an airport?,yes,yes
/home/forte/users/nishida/outputs/21605-1.png,what type of place is this?,airport,yes
/home/forte/users/nishida/outputs/21605-1.png,are the friends gathering at the airport?,yes,yes
/home/forte/users/nishida/outputs/21605-1.png,are the friends holding luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-2.png,who is gathering at the airport?,friends,yes
/home/forte/users/nishida/outputs/21605-2.png,are there luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-2.png,what are the friends holding?,luggage,yes
/home/forte/users/nishida/outputs/21605-2.png,is this an airport?,yes,yes
/home/forte/users/nishida/outputs/21605-2.png,what type of place is this?,airport,yes
/home/forte/users/nishida/outputs/21605-2.png,are the friends gathering at the airport?,yes,yes
/home/forte/users/nishida/outputs/21605-2.png,are the friends holding luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-3.png,who is gathering at the airport?,friends,yes
/home/forte/users/nishida/outputs/21605-3.png,are there luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-3.png,what are the friends holding?,luggage,yes
/home/forte/users/nishida/outputs/21605-3.png,is this an airport?,yes,yes
/home/forte/users/nishida/outputs/21605-3.png,what type of place is this?,airport,yes
/home/forte/users/nishida/outputs/21605-3.png,are the friends gathering at the airport?,yes,yes
/home/forte/users/nishida/outputs/21605-3.png,are the friends holding luggage?,yes,yes
/home/forte/users/nishida/outputs/21606-1.png,what type of vehicle is this?,truck,yes
/home/forte/users/nishida/outputs/21606-1.png,is there rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21606-1.png,what is on the truck?,rust,yes
/home/forte/users/nishida/outputs/21606-1.png,is the hood lifted?,yes,yes yes yes yes
/home/forte/users/nishida/outputs/21606-1.png,what is lifted?,hood,yes
/home/forte/users/nishida/outputs/21606-1.png,is the hood slightly lifted?,yes,yes
/home/forte/users/nishida/outputs/21606-1.png,is there some rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21606-2.png,what type of vehicle is this?,truck,yes
/home/forte/users/nishida/outputs/21606-2.png,is there rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21606-2.png,what is on the truck?,rust,yes
/home/forte/users/nishida/outputs/21606-2.png,is the hood lifted?,yes,yes
/home/forte/users/nishida/outputs/21606-2.png,what is lifted?,hood,yes
/home/forte/users/nishida/outputs/21606-2.png,is the hood slightly lifted?,yes,yes
/home/forte/users/nishida/outputs/21606-2.png,is there some rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21606-3.png,what type of vehicle is this?,truck,yes
