image_id,correct,generate
/home/forte/users/nishida/outputs/21601-1.png,a kitchen with a refrigerator with a sink,a white refrigerator a brown table a sink and cabinets [SEP]
/home/forte/users/nishida/outputs/21601-2.png,a kitchen with a refrigerator with a sink,"a kitchen with a microwave, refrigerator, sink and refrigerator with doors [SEP]"
/home/forte/users/nishida/outputs/21601-3.png,a kitchen with a refrigerator with a sink,a kitchen that has white cabinets and drawers. [SEP]
/home/forte/users/nishida/outputs/21602-1.png,A post with a hand painted sign on top.,a sign that has been hanging on a wall. [SEP]
/home/forte/users/nishida/outputs/21602-2.png,A post with a hand painted sign on top.,a sign is shown with an elephant with two hands. [SEP]
/home/forte/users/nishida/outputs/21602-3.png,A post with a hand painted sign on top.,"a "" one - way "" street sign in front of a concrete wall at a street corner. [SEP]"
/home/forte/users/nishida/outputs/21603-1.png,A cat standing in the sand with its face near an animal.,a cat is standing right on an electronic device. [SEP]
/home/forte/users/nishida/outputs/21603-2.png,A cat standing in the sand with its face near an animal.,a cat and its kitten are laying on a floor. [SEP]
/home/forte/users/nishida/outputs/21603-3.png,A cat standing in the sand with its face near an animal.,a cat is standing right on a electronic device. [SEP]
/home/forte/users/nishida/outputs/21604-1.png,A microwave and an oven on a kitchen,a stove with a microwave and an oven with a bowl sitting on top. [SEP]
/home/forte/users/nishida/outputs/21604-2.png,A microwave and an oven on a kitchen,"a kitchen with a microwave, refrigerator, sink and cabinets. [SEP]"
/home/forte/users/nishida/outputs/21604-3.png,A microwave and an oven on a kitchen,a microwave and an old refrigerator freezer on the floor. [SEP]
/home/forte/users/nishida/outputs/21605-1.png,Friends gather an at airport while holding their luggage.,a woman and a man are walking with their luggage. [SEP]
/home/forte/users/nishida/outputs/21605-2.png,Friends gather an at airport while holding their luggage.,a woman standing with two suitcases of luggage. [SEP]
/home/forte/users/nishida/outputs/21605-3.png,Friends gather an at airport while holding their luggage.,passengers look for their suitcases at an airport. [SEP]
/home/forte/users/nishida/outputs/21606-1.png,A truck that has some rust on it and its hood is slightly lifted.,a large rusted truck on a dirt field. [SEP]
/home/forte/users/nishida/outputs/21606-2.png,A truck that has some rust on it and its hood is slightly lifted.,a truck with a cab in the bed parked [SEP]
/home/forte/users/nishida/outputs/21606-3.png,A truck that has some rust on it and its hood is slightly lifted.,a large truck with a cab on the back. [SEP]
/home/forte/users/nishida/outputs/21607-1.png,"The youths are gathered in the park, some holding frisbees.",a group of young people are playing with some kites. [SEP]
/home/forte/users/nishida/outputs/21607-2.png,"The youths are gathered in the park, some holding frisbees.",a group of people standing on top of a field with remote control. [SEP]
/home/forte/users/nishida/outputs/21607-3.png,"The youths are gathered in the park, some holding frisbees.",a number of people with rackets on a field [SEP]
