correct,generate
A man with a red helmet on a small moped on a dirt road. ,a man riding a motorcycle down a dirt road [SEP]
Man riding a motor bike on a dirt road on the countryside.,a man riding a motorcycle down a dirt road [SEP]
A man riding on the back of a motorcycle.,a man riding a motorcycle down a dirt road [SEP]
A dirt path with a young person on a motor bike rests to the foreground of a verdant area with a bridge and a background of cloud-wreathed mountains. ,a man riding a motorcycle down a dirt road [SEP]
A man in a red shirt and a red hat is on a motorcycle on a hill side.,a man riding a motorcycle down a dirt road [SEP]
A woman wearing a net on her head cutting a cake. ,a woman in a red shirt and a white hat [SEP]
A woman cutting a large white sheet cake.,a woman in a red shirt and a white hat [SEP]
A woman wearing a hair net cutting a large sheet cake.,a woman in a red shirt and a white hat [SEP]
there is a woman that is cutting a white cake,a woman in a red shirt and a white hat [SEP]
A woman marking a cake with the back of a chef's knife. ,a woman in a red shirt and a white hat [SEP]
A child holding a flowered umbrella and petting a yak.,a group of people [SEP]
A young man holding an umbrella next to a herd of cattle.,a group of people [SEP]
a young boy barefoot holding an umbrella touching the horn of a cow,a group of people [SEP]
A young boy with an umbrella who is touching the horn of a cow.,a group of people [SEP]
A boy holding an umbrella while standing next to livestock.,a group of people [SEP]
A young boy standing in front of a computer keyboard.,a young boy wearing headphones while using a computer [SEP]
a little boy wearing headphones and looking at a computer monitor,a young boy wearing headphones while using a computer [SEP]
He is listening intently to the computer at school.,a young boy wearing headphones while using a computer [SEP]
A young boy stares up at the computer monitor.,a young boy wearing headphones while using a computer [SEP]
a young kid with head phones on using a computer ,a young boy wearing headphones while using a computer [SEP]
a boy wearing headphones using one computer in a long row of computers,a boy wearing a white shirt [SEP]
A little boy with earphones on listening to something.,a boy wearing a white shirt [SEP]
A group of people sitting at desk using computers.,a boy wearing a white shirt [SEP]
Children sitting at computer stations on a long table.,a boy wearing a white shirt [SEP]
A small child wearing headphones plays on the computer.,a boy wearing a white shirt [SEP]
A woman in a room with a cat.,a woman in a kitchen [SEP]
A girl smiles as she holds a cat and wears a brightly colored skirt.,a woman in a kitchen [SEP]
a woman is holding a cat in her kitchen,a woman in a kitchen [SEP]
A woman is working in a kitchen carrying a soft toy.,a woman in a kitchen [SEP]
A woman is holding a cat in her kitchen.,a woman in a kitchen [SEP]
A young girl inhales with the intent of blowing out a candle. ,a woman sitting at a table with a candle in her mouth [SEP]
A young girl is preparing to blow out her candle.,a woman sitting at a table with a candle in her mouth [SEP]
A kid is to blow out the single candle in a bowl of birthday goodness. ,a woman sitting at a table with a candle in her mouth [SEP]
Girl blowing out the candle on an ice-cream ,a woman sitting at a table with a candle in her mouth [SEP]
A little girl is getting ready to blow out a candle on a small dessert.,a woman sitting at a table with a candle in her mouth [SEP]
A commercial stainless kitchen with a pot of food cooking. ,a kitchen with a stove and a sink [SEP]
Some food sits in a pot in a kitchen. ,a kitchen with a stove and a sink [SEP]
A kitchen has all stainless steel appliances and counters.,a kitchen with a stove and a sink [SEP]
a kitchen with a sink and many cooking machines and a pot of food,a kitchen with a stove and a sink [SEP]
Food cooks in a pot on a stove in a kitchen.,a kitchen with a stove and a sink [SEP]
Two men wearing aprons working in a commercial-style kitchen.,a man in a kitchen [SEP]
Chefs preparing food in a professional metallic style kitchen.,a man in a kitchen [SEP]
Two people standing around in a large kitchen.,a man in a kitchen [SEP]
A commercial kitchen with two men working to prepare several plates.,a man in a kitchen [SEP]
two men in white shirts in a large steel kitchen,a man in a kitchen [SEP]
Two chefs in a restaurant kitchen preparing food. ,a man in a kitchen preparing food [SEP]
Two cooks are cooking the food someone ordered at this restaurant,a man in a kitchen preparing food [SEP]
The chef is cooking with pans on the stove next to an oven. ,a man in a kitchen preparing food [SEP]
Two men that are standing in a kitchen.,a man in a kitchen preparing food [SEP]
Two cooks are near the stove in a stainless steel kitchen.,a man in a kitchen preparing food [SEP]
this is a very dark picture of a room with a shelf,a room with many desks and a clock [SEP]
a cluttered room with a table and shelf on the wall.,a room with many desks and a clock [SEP]
"A view of a messy room, with shelves on the wall.",a room with many desks and a clock [SEP]
A dark and cluttered storage area with wood walls.,a room with many desks and a clock [SEP]
A dim lit room consisting of many objects put together. ,a room with many desks and a clock [SEP]
A kitchen filled with black appliances and lots of counter top space.,a kitchen with a sink and a stove [SEP]
some brown cabinets a black oven a tea kettle and a microwave,a kitchen with a sink and a stove [SEP]
A small kitchen with glass and wooden cabinets.,a kitchen with a sink and a stove [SEP]
A modern style kitchen filled with may different items.,a kitchen with a sink and a stove [SEP]
A kitchen with wooden cabinets and black appliances.,a kitchen with a sink and a stove [SEP]
A professional kitchen filled with sinks and appliances.,a kitchen with a sink and a stove [SEP]
A kitchen area with toilet and various cleaning appliances.,a kitchen with a sink and a stove [SEP]
A commercial dish washing station with a toilet in it.,a kitchen with a sink and a stove [SEP]
A toilet and mop bucket in a kitchen.,a kitchen with a sink and a stove [SEP]
"A cluttered room with a sink, a toilet and in industrial mop bucket.",a kitchen with a sink and a stove [SEP]
A man on a bicycle riding next to a train,a train on the tracks [SEP]
A person is riding a bicycle but there is a train in the background.,a train on the tracks [SEP]
a red and white train and a man riding a bicycle,a train on the tracks [SEP]
a guy that is riding his bike next to a train,a train on the tracks [SEP]
A man riding a bike past a train traveling along tracks.,a train on the tracks [SEP]
A narrow kitchen filled with appliances and cooking utensils.,a kitchen with a sink and a stove [SEP]
A galley kitchen with cabinets and appliances on both sides,a kitchen with a sink and a stove [SEP]
A hallway leading into a white kitchen with appliances.,a kitchen with a sink and a stove [SEP]
"Doorway view of a kitchen with a sink, stove, refrigerator and pantry.",a kitchen with a sink and a stove [SEP]
The pantry door of the small kitchen is closed.,a kitchen with a sink and a stove [SEP]
A kitchen with wood floors and lots of furniture.,a kitchen and dining area in a home [SEP]
"A beautiful, open kitchen and dining room area features an island in the center and wood cabinets and large windows.",a kitchen and dining area in a home [SEP]
A kitchen made of mostly wood with a small desk with a laptop.,a kitchen and dining area in a home [SEP]
A very spacious room with a kitchen and dining area.,a kitchen and dining area in a home [SEP]
A full view of an open kitchen and dining area.,a kitchen and dining area in a home [SEP]
A woman eating vegetables in front of a stove.,a woman eating a salad [SEP]
A woman forks vegetables out of a bowl into her mouth. ,a woman eating a salad [SEP]
Woman eating an assortment of mixed vegetables in a bowl.,a woman eating a salad [SEP]
A young woman standing in a kitchen eats a plate of vegetables.,a woman eating a salad [SEP]
A woman eating fresh vegetables from a bowl.,a woman eating a salad [SEP]
A kitchen is shown with a variety of items on the counters.,a kitchen with a sink and a window [SEP]
A kitchen has the windows open and plaid curtains.,a kitchen with a sink and a window [SEP]
A kitchen with two windows and two metal sinks.,a kitchen with a sink and a window [SEP]
An older kitchen with cluttered counter tops but empty sink.,a kitchen with a sink and a window [SEP]
Glasses and bottles are placed near a kitchen sink.,a kitchen with a sink and a window [SEP]
A boy performing a kickflip on his skateboard on a city street.,a man doing a trick on a skateboard [SEP]
A man is doing a trick on a skateboard,a man doing a trick on a skateboard [SEP]
A guy jumps in the air with his skateboard beneath him.,a man doing a trick on a skateboard [SEP]
Man in all black doing a trick on his skateboard.,a man doing a trick on a skateboard [SEP]
A skateboarder flipping his board on a street.,a man doing a trick on a skateboard [SEP]
"A kitchen with a stove, microwave and refrigerator.",a black stove [SEP]
"A refrigerator, oven and microwave sitting in a kitchen.",a black stove [SEP]
The kitchenette uses  small space to great efficiency.,a black stove [SEP]
an image of a kitchen setting with black appliances,a black stove [SEP]
"A kitchen with cabinets, a stove, microwave and refrigerator.",a black stove [SEP]
A group of people riding on the back of a loaded red pickup truck.,a truck with a bunch of bags on the back [SEP]
A truck with a number of people and things in the back,a truck with a bunch of bags on the back [SEP]
Men are crowded on the back of a small overloaded pickup truck.,a truck with a bunch of bags on the back [SEP]
An old pick up truck over loaded with people and cargo.,a truck with a bunch of bags on the back [SEP]
A truck carries a large amount of items and a few people.,a truck with a bunch of bags on the back [SEP]
A wooden ball on top of a wooden stick.,a wooden table with a bunch of wooden spoons [SEP]
The table is full of wooden spoons and utensils.,a wooden table with a bunch of wooden spoons [SEP]
A wood table holding an assortment of wood cooking utensils.,a wooden table with a bunch of wooden spoons [SEP]
A selection of wooden kitchen tools on a counter.,a wooden table with a bunch of wooden spoons [SEP]
Wooden spoons are lined up on a table,a wooden table with a bunch of wooden spoons [SEP]
Multiple wooden spoons are shown on a table top.,a wooden table [SEP]
