image_id,question,correct,generate
/home/forte/users/nishida/outputs/21605-1.png,who is gathering at the airport?,friends,people
/home/forte/users/nishida/outputs/21605-1.png,are there luggage?,yes,on
/home/forte/users/nishida/outputs/21605-1.png,what are the friends holding?,luggage,hands
/home/forte/users/nishida/outputs/21605-1.png,is this an airport?,yes,no
/home/forte/users/nishida/outputs/21605-1.png,what type of place is this?,airport,on
/home/forte/users/nishida/outputs/21605-1.png,are the friends gathering at the airport?,yes,no
/home/forte/users/nishida/outputs/21605-1.png,are the friends holding luggage?,yes,no
/home/forte/users/nishida/outputs/21605-2.png,who is gathering at the airport?,friends,people
/home/forte/users/nishida/outputs/21605-2.png,are there luggage?,yes,no
/home/forte/users/nishida/outputs/21605-2.png,what are the friends holding?,luggage,hands
/home/forte/users/nishida/outputs/21605-2.png,is this an airport?,yes,no
/home/forte/users/nishida/outputs/21605-2.png,what type of place is this?,airport,on
/home/forte/users/nishida/outputs/21605-2.png,are the friends gathering at the airport?,yes,no
/home/forte/users/nishida/outputs/21605-2.png,are the friends holding luggage?,yes,no
/home/forte/users/nishida/outputs/21605-3.png,who is gathering at the airport?,friends,people
/home/forte/users/nishida/outputs/21605-3.png,are there luggage?,yes,on
/home/forte/users/nishida/outputs/21605-3.png,what are the friends holding?,luggage,on
/home/forte/users/nishida/outputs/21605-3.png,is this an airport?,yes,no
/home/forte/users/nishida/outputs/21605-3.png,what type of place is this?,airport,on
/home/forte/users/nishida/outputs/21605-3.png,are the friends gathering at the airport?,yes,no
/home/forte/users/nishida/outputs/21605-3.png,are the friends holding luggage?,yes,2
/home/forte/users/nishida/outputs/21606-1.png,what type of vehicle is this?,truck,old
/home/forte/users/nishida/outputs/21606-1.png,is there rust on the truck?,yes,no
/home/forte/users/nishida/outputs/21606-1.png,what is on the truck?,rust,off
/home/forte/users/nishida/outputs/21606-1.png,is the hood lifted?,yes,no
/home/forte/users/nishida/outputs/21606-1.png,what is lifted?,hood,off
/home/forte/users/nishida/outputs/21606-1.png,is the hood slightly lifted?,yes,no
/home/forte/users/nishida/outputs/21606-1.png,is there some rust on the truck?,yes,no
/home/forte/users/nishida/outputs/21606-2.png,what type of vehicle is this?,truck,off
/home/forte/users/nishida/outputs/21606-2.png,is there rust on the truck?,yes,no
/home/forte/users/nishida/outputs/21606-2.png,what is on the truck?,rust,off
/home/forte/users/nishida/outputs/21606-2.png,is the hood lifted?,yes,no
/home/forte/users/nishida/outputs/21606-2.png,what is lifted?,hood,off
/home/forte/users/nishida/outputs/21606-2.png,is the hood slightly lifted?,yes,no
/home/forte/users/nishida/outputs/21606-2.png,is there some rust on the truck?,yes,no
/home/forte/users/nishida/outputs/21606-3.png,what type of vehicle is this?,truck,old
/home/forte/users/nishida/outputs/21606-3.png,is there rust on the truck?,yes,no
/home/forte/users/nishida/outputs/21606-3.png,what is on the truck?,rust,dirt
/home/forte/users/nishida/outputs/21606-3.png,is the hood lifted?,yes,no
/home/forte/users/nishida/outputs/21606-3.png,what is lifted?,hood,off
/home/forte/users/nishida/outputs/21606-3.png,is the hood slightly lifted?,yes,no
/home/forte/users/nishida/outputs/21606-3.png,is there some rust on the truck?,yes,no
/home/forte/users/nishida/outputs/21607-1.png,who is in the park?,youths,people
/home/forte/users/nishida/outputs/21607-1.png,is this a park?,yes,no
/home/forte/users/nishida/outputs/21607-1.png,what type of place is this?,park,on
/home/forte/users/nishida/outputs/21607-1.png,are there frisbees?,yes,on
/home/forte/users/nishida/outputs/21607-1.png,what is the youths holding?,frisbees,on
/home/forte/users/nishida/outputs/21607-1.png,are the youths gathered in the park?,yes,no
/home/forte/users/nishida/outputs/21607-1.png,are the youths holding frisbees?,yes,on
/home/forte/users/nishida/outputs/21607-1.png,are some of the youths holding frisbees?,yes,on
/home/forte/users/nishida/outputs/21607-2.png,who is in the park?,youths,man
/home/forte/users/nishida/outputs/21607-2.png,is this a park?,yes,no
/home/forte/users/nishida/outputs/21607-2.png,what type of place is this?,park,on
/home/forte/users/nishida/outputs/21607-2.png,are there frisbees?,yes,on
/home/forte/users/nishida/outputs/21607-2.png,what is the youths holding?,frisbees,in
/home/forte/users/nishida/outputs/21607-2.png,are the youths gathered in the park?,yes,no
/home/forte/users/nishida/outputs/21607-2.png,are the youths holding frisbees?,yes,2
/home/forte/users/nishida/outputs/21607-2.png,are some of the youths holding frisbees?,yes,2
/home/forte/users/nishida/outputs/21607-3.png,who is in the park?,youths,person
/home/forte/users/nishida/outputs/21607-3.png,is this a park?,yes,no
/home/forte/users/nishida/outputs/21607-3.png,what type of place is this?,park,on
/home/forte/users/nishida/outputs/21607-3.png,are there frisbees?,yes,no
/home/forte/users/nishida/outputs/21607-3.png,what is the youths holding?,frisbees,in
/home/forte/users/nishida/outputs/21607-3.png,are the youths gathered in the park?,yes,no
/home/forte/users/nishida/outputs/21607-3.png,are the youths holding frisbees?,yes,2
/home/forte/users/nishida/outputs/21607-3.png,are some of the youths holding frisbees?,yes,2
/home/forte/users/nishida/outputs/21608-1.png,what animal is in the picture?,bear,on
/home/forte/users/nishida/outputs/21608-1.png,are there bears?,yes,on
/home/forte/users/nishida/outputs/21608-1.png,what animals are in the picture?,bears,on
/home/forte/users/nishida/outputs/21608-1.png,is the bear walking?,yes,no
/home/forte/users/nishida/outputs/21608-1.png,what is the bear doing?,walking,sitting
/home/forte/users/nishida/outputs/21608-1.png,is the bear brown?,yes,10
/home/forte/users/nishida/outputs/21608-1.png,what color is the bear?,brown,brown
/home/forte/users/nishida/outputs/21608-1.png,are there two small bears?,yes,2
/home/forte/users/nishida/outputs/21608-1.png,how many bears are in the picture?,2,2
/home/forte/users/nishida/outputs/21608-1.png,is the bear walking next to the bears?,yes,no
/home/forte/users/nishida/outputs/21608-1.png,is the bear next to or behind the bears?,next to,next to
/home/forte/users/nishida/outputs/21608-2.png,what animal is in the picture?,bear,on
/home/forte/users/nishida/outputs/21608-2.png,are there bears?,yes,on
/home/forte/users/nishida/outputs/21608-2.png,what animals are in the picture?,bears,on
/home/forte/users/nishida/outputs/21608-2.png,is the bear walking?,yes,no
/home/forte/users/nishida/outputs/21608-2.png,what is the bear doing?,walking,off
/home/forte/users/nishida/outputs/21608-2.png,is the bear brown?,yes,on
/home/forte/users/nishida/outputs/21608-2.png,what color is the bear?,brown,brown
/home/forte/users/nishida/outputs/21608-2.png,are there two small bears?,yes,2
/home/forte/users/nishida/outputs/21608-2.png,how many bears are in the picture?,2,2
/home/forte/users/nishida/outputs/21608-2.png,is the bear walking next to the bears?,yes,no
/home/forte/users/nishida/outputs/21608-2.png,is the bear next to or behind the bears?,next to,next to
/home/forte/users/nishida/outputs/21608-3.png,what animal is in the picture?,bear,on
/home/forte/users/nishida/outputs/21608-3.png,are there bears?,yes,on
/home/forte/users/nishida/outputs/21608-3.png,what animals are in the picture?,bears,on
/home/forte/users/nishida/outputs/21608-3.png,is the bear walking?,yes,no
/home/forte/users/nishida/outputs/21608-3.png,what is the bear doing?,walking,off
/home/forte/users/nishida/outputs/21608-3.png,is the bear brown?,yes,on
/home/forte/users/nishida/outputs/21608-3.png,what color is the bear?,brown,brown
/home/forte/users/nishida/outputs/21608-3.png,are there two small bears?,yes,2
/home/forte/users/nishida/outputs/21608-3.png,how many bears are in the picture?,2,2
/home/forte/users/nishida/outputs/21608-3.png,is the bear walking next to the bears?,yes,no
/home/forte/users/nishida/outputs/21608-3.png,is the bear next to or behind the bears?,next to,next to
/home/forte/users/nishida/outputs/21609-1.png,what type of food is this?,sub sandwich,on
/home/forte/users/nishida/outputs/21609-1.png,is there meat on the sub sandwich?,yes,no
/home/forte/users/nishida/outputs/21609-1.png,what type of food is on the sub sandwich?,meat,on
/home/forte/users/nishida/outputs/21609-1.png,are there veggies on the sub sandwich?,yes,no
/home/forte/users/nishida/outputs/21609-1.png,what type of food is on the sub sandwich?,veggies,on
/home/forte/users/nishida/outputs/21609-1.png,is this an image?,yes,no
/home/forte/users/nishida/outputs/21609-1.png,"is this an image, a painting, or a drawing?",image,in
/home/forte/users/nishida/outputs/21609-2.png,what type of food is this?,sub sandwich,on
/home/forte/users/nishida/outputs/21609-2.png,is there meat on the sub sandwich?,yes,no
/home/forte/users/nishida/outputs/21609-2.png,what type of food is on the sub sandwich?,meat,onions
/home/forte/users/nishida/outputs/21609-2.png,are there veggies on the sub sandwich?,yes,no
/home/forte/users/nishida/outputs/21609-2.png,what type of food is on the sub sandwich?,veggies,onions
/home/forte/users/nishida/outputs/21609-2.png,is this an image?,yes,no
/home/forte/users/nishida/outputs/21609-2.png,"is this an image, a painting, or a drawing?",image,in
/home/forte/users/nishida/outputs/21609-3.png,what type of food is this?,sub sandwich,on
/home/forte/users/nishida/outputs/21609-3.png,is there meat on the sub sandwich?,yes,no
/home/forte/users/nishida/outputs/21609-3.png,what type of food is on the sub sandwich?,meat,on
/home/forte/users/nishida/outputs/21609-3.png,are there veggies on the sub sandwich?,yes,on
/home/forte/users/nishida/outputs/21609-3.png,what type of food is on the sub sandwich?,veggies,on
/home/forte/users/nishida/outputs/21609-3.png,is this an image?,yes,no
/home/forte/users/nishida/outputs/21609-3.png,"is this an image, a painting, or a drawing?",image,in
/home/forte/users/nishida/outputs/21610-1.png,who is on the tennis court?,man,man
/home/forte/users/nishida/outputs/21610-1.png,is this a tennis court?,yes,10
/home/forte/users/nishida/outputs/21610-1.png,what type of place is this?,tennis court,on
/home/forte/users/nishida/outputs/21610-1.png,is the man stretching?,yes,no
/home/forte/users/nishida/outputs/21610-1.png,what is the man doing?,stretching,on
