image_id,correct,generate
/home/forte/users/nishida/outputs-flickr/21601-1.png,A teenager wearing a baseball cap and a white tee-shirt,a girl in a white shirt is wearing a yellow hat. [SEP]
/home/forte/users/nishida/outputs-flickr/21601-2.png,A teenager wearing a baseball cap and a white tee-shirt,a young girl wearing a white cap and a long shirt is standing in front of a girl wearing a striped shirt and shorts. [SEP]
/home/forte/users/nishida/outputs-flickr/21601-3.png,A teenager wearing a baseball cap and a white tee-shirt,"a young man wearing a white shirt with a logo on it, wearing a baseball cap. [SEP]"
/home/forte/users/nishida/outputs-flickr/21602-1.png,A young girl is drawing with an orange crayon .,a woman is writing down rules on a orange construction site. [SEP]
/home/forte/users/nishida/outputs-flickr/21602-2.png,A young girl is drawing with an orange crayon .,a girl wearing orange and blue writing on a paper using a pencil. [SEP]
/home/forte/users/nishida/outputs-flickr/21602-3.png,A young girl is drawing with an orange crayon .,a man wearing orange and green is writing on a piece of paper with a pencil. [SEP]
/home/forte/users/nishida/outputs-flickr/21603-1.png,A young boy sleeping after playing with his friends .,a boy is playing with a toy ans another young boy is in the background. [SEP]
/home/forte/users/nishida/outputs-flickr/21603-2.png,A young boy sleeping after playing with his friends .,a child is sleeping with his book laying on his hands. [SEP]
/home/forte/users/nishida/outputs-flickr/21603-3.png,A young boy sleeping after playing with his friends .,a young child is sleeping on a man's coat on the floor. [SEP]
/home/forte/users/nishida/outputs-flickr/21604-1.png,Four men standing near a yellow car .,three men stand on the back of a yellow car. [SEP]
/home/forte/users/nishida/outputs-flickr/21604-2.png,Four men standing near a yellow car .,two men are standing in the street in front of a yellow car. [SEP]
/home/forte/users/nishida/outputs-flickr/21604-3.png,Four men standing near a yellow car .,five men stand in a line next to a yellow car. [SEP]
/home/forte/users/nishida/outputs-flickr/21605-1.png,A group of people face towards a bridge across the water .,a group of people are standing on a dock in a large body of water. [SEP]
/home/forte/users/nishida/outputs-flickr/21605-2.png,A group of people face towards a bridge across the water .,a group of people are on a dock looking over the water towards a boat. [SEP]
/home/forte/users/nishida/outputs-flickr/21605-3.png,A group of people face towards a bridge across the water .,several people are standing on a dock. [SEP]
/home/forte/users/nishida/outputs-flickr/21606-1.png,Two men stand near pine trees and a bubble tea stand .,two people wearing hats and glasses standing in front of a large mirrored ball. [SEP]
/home/forte/users/nishida/outputs-flickr/21606-2.png,Two men stand near pine trees and a bubble tea stand .,two men in midair with a forest in the background [SEP]
/home/forte/users/nishida/outputs-flickr/21606-3.png,Two men stand near pine trees and a bubble tea stand .,two men wearing mask standing in front of a tree lined brook. [SEP]
/home/forte/users/nishida/outputs-flickr/21607-1.png,Two ladies show affection that will lead to a kiss .,two women are wearing sleeveless shirts and kissing while someone takes their picture. [SEP]
/home/forte/users/nishida/outputs-flickr/21607-2.png,Two ladies show affection that will lead to a kiss .,one woman helps another adjust her clothing. [SEP]
/home/forte/users/nishida/outputs-flickr/21607-3.png,Two ladies show affection that will lead to a kiss .,a woman wearing a green and white top is kissing on the cheek of a woman wearing a flowered skirt. [SEP]
/home/forte/users/nishida/outputs-flickr/21608-1.png,Guards standing in front of an arched entry .,a group of people gather in front of a large asian type building. [SEP]
/home/forte/users/nishida/outputs-flickr/21608-2.png,Guards standing in front of an arched entry .,two people are standing in a large arch doorway. [SEP]
/home/forte/users/nishida/outputs-flickr/21608-3.png,Guards standing in front of an arched entry .,two men in uniform are standing in an archway. [SEP]
/home/forte/users/nishida/outputs-flickr/21609-1.png,A man stands next to a pillar near water .,a man is standing on a rock in the water watching the sky on a sunny day. [SEP]
/home/forte/users/nishida/outputs-flickr/21609-2.png,A man stands next to a pillar near water .,a man poses for a picture near a body of water. [SEP]
/home/forte/users/nishida/outputs-flickr/21609-3.png,A man stands next to a pillar near water .,a man stands near the water standing on the sidewalk. [SEP]
/home/forte/users/nishida/outputs-flickr/21610-1.png,A man wearing sunglasses holds a sign at a demonstration .,a man wearing sunglasses holding a sign with writing on it. [SEP]
/home/forte/users/nishida/outputs-flickr/21610-2.png,A man wearing sunglasses holds a sign at a demonstration .,a man holding up a sign in front of a crowd. [SEP]
/home/forte/users/nishida/outputs-flickr/21610-3.png,A man wearing sunglasses holds a sign at a demonstration .,many people are holding up signs that are writing on them. [SEP]
/home/forte/users/nishida/outputs-flickr/21611-1.png,A boy in a blue uniform is holding a soccer ball in one hand .,a boy in a blue and white uniform plays soccer. [SEP]
/home/forte/users/nishida/outputs-flickr/21611-2.png,A boy in a blue uniform is holding a soccer ball in one hand .,a boy in a blue uniform is holding a soccer ball. [SEP]
/home/forte/users/nishida/outputs-flickr/21611-3.png,A boy in a blue uniform is holding a soccer ball in one hand .,a young boy in a blue shirt is holding a soccer ball. [SEP]
/home/forte/users/nishida/outputs-flickr/21612-1.png,A guy is playing his guitar in the backseat of a car .,a man in a denim jacket and a black shirt is playing guitar on the open passenger door. [SEP]
/home/forte/users/nishida/outputs-flickr/21612-2.png,A guy is playing his guitar in the backseat of a car .,a man plays a guitar on a car. [SEP]
/home/forte/users/nishida/outputs-flickr/21612-3.png,A guy is playing his guitar in the backseat of a car .,a man wearing sunglasses is playing guitar at an outdoor venue. [SEP]
/home/forte/users/nishida/outputs-flickr/21613-1.png,A woman doing ballet next to a body of water .,a ballerina strikes a pose against an outdoor background. [SEP]
/home/forte/users/nishida/outputs-flickr/21613-2.png,A woman doing ballet next to a body of water .,a young woman in a brown shirt jumps off of a rock into the water. [SEP]
/home/forte/users/nishida/outputs-flickr/21613-3.png,A woman doing ballet next to a body of water .,a young man leaps along side a lake [SEP]
/home/forte/users/nishida/outputs-flickr/21614-1.png,Firefighters use the jaws of life on a red car .,firefighters tend to an injured boy. [SEP]
/home/forte/users/nishida/outputs-flickr/21614-2.png,Firefighters use the jaws of life on a red car .,"a fireman sprays inside the open hood of small red car, on a jack. [SEP]"
/home/forte/users/nishida/outputs-flickr/21614-3.png,Firefighters use the jaws of life on a red car .,two firetrucks use a hose to put out a car that is on the ground. [SEP]
/home/forte/users/nishida/outputs-flickr/21615-1.png,"A man in a blue shirt , works on a long canoe .",a man is sitting in a canoe on a very calm river. [SEP]
/home/forte/users/nishida/outputs-flickr/21615-2.png,"A man in a blue shirt , works on a long canoe .",a woman wearing a brown coat is sitting in a blue canoe with a large pair of people seated in the background. [SEP]
/home/forte/users/nishida/outputs-flickr/21615-3.png,"A man in a blue shirt , works on a long canoe .",a man is working on his wooden boat. [SEP]
/home/forte/users/nishida/outputs-flickr/21616-1.png,A group of people are camping out on some rocks .,two young boys are out camping in sleeping bags. [SEP]
/home/forte/users/nishida/outputs-flickr/21616-2.png,A group of people are camping out on some rocks .,"two men are standing in front of a tent, on a hill. [SEP]"
/home/forte/users/nishida/outputs-flickr/21616-3.png,A group of people are camping out on some rocks .,a group of men and woman are going into a tent hiker hikes. [SEP]
/home/forte/users/nishida/outputs-flickr/21617-1.png,"Three females , one in pink and blue , another in a multicolored skirt with blue belt , and a final in white with a red umbrella are walking .",women with short skirts walking and talking to each other. [SEP]
/home/forte/users/nishida/outputs-flickr/21617-2.png,"Three females , one in pink and blue , another in a multicolored skirt with blue belt , and a final in white with a red umbrella are walking .",women in long skirts walking on a sidewalk. [SEP]
/home/forte/users/nishida/outputs-flickr/21617-3.png,"Three females , one in pink and blue , another in a multicolored skirt with blue belt , and a final in white with a red umbrella are walking .",two woman at the side of the road wearing large purple umbrellas. [SEP]
/home/forte/users/nishida/outputs-flickr/21618-1.png,A group people are racing a car with sand in the background .,a race car making a quick turn in the sand dunes going fast. [SEP]
/home/forte/users/nishida/outputs-flickr/21618-2.png,A group people are racing a car with sand in the background .,two drag racers racing down the raceway. [SEP]
/home/forte/users/nishida/outputs-flickr/21618-3.png,A group people are racing a car with sand in the background .,a group of men in a race car driving on the sand. [SEP]
/home/forte/users/nishida/outputs-flickr/21619-1.png,A guy playing an accordion with people listening and watching .,people sit in a line on a accordion - accordion. [SEP]
/home/forte/users/nishida/outputs-flickr/21619-2.png,A guy playing an accordion with people listening and watching .,a man in a crowd is playing an accordion. [SEP]
