correct,generate
The man with pierced ears is wearing glasses and an orange hat.,man wearing a hat [SEP]
A black and white dog is running in a grassy garden surrounded by a white fence.,a dog running in a field [SEP]
A young female student performing a downward kick to break a board held by her Karate instructor.,a man in a white suit [SEP]
"Five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles; they are all wearing black snow pants and from left to right they are wearing a black coat, white coat, red coat, blue coat, and black coat.",a group of people standing in the snow [SEP]
Two men sitting on the roof of a house while another one stands on a ladder.,a blue sky [SEP]
A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants.,a man taking a picture of a bride [SEP]
"A group of 11 people in winter wear such as beanies, skiing jackets, gloves and backpacks are standing in snow paddles outside a house made of ice blocks while a person in front of the door seems to be leading them.",a group of people standing in front of a small ice house [SEP]
"A baseball player in red leaps into the air to avoid a player in blue, who is shortly behind him as he catches the ball, while other blue team members look on in the background.",a baseball game [SEP]
A man wearing a hat and a white shirt is cleaning windows.,a man on a scr [SEP]
A man wearing a reflective vest sits on the sidewalk and holds up pamphlets with bicycles on the cover.,a man and woman sitting on a bench [SEP]
A mother decides to take her child on a piggyback ride outside their apartment complex.,a man holding a baby [SEP]
A male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game.,a clear blue sky [SEP]
"A woman wearing a pink shirt and red apron stands in her restaurant holding food and surrounded by bagged breads, a microwave and the chalkboard menu up on the wall.",a woman in a kitchen with a blackboard [SEP]
An Asian man in spectacles and a t-shirt preparing some food.,a man sitting at a table [SEP]
Spelunkers pose inside a rock cavern while bathed in sunlight from the surface.,a group of people standing in a cave [SEP]
A girl in a polka dotted blue jean dress walks barefoot on a balance beam.,a young girl is jumping on a tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram tram
"A couple is sitting on the sand with their feet in the water, and they are shaking hands.",a man and woman in the water [SEP]
"A woman standing with 3 other people in a store with two tables, some shelves with coffee and tea for sale, and a refrigerated drink case.",a group of people sitting at a table [SEP]
The person has a striped shirt on and is holding on to a rope on a mountain.,a woman climbing a mountain [SEP]
Two young attractive women in front of a store drop coins for street performers.,a cobbed street [SEP]
A group of people standing on the lawn in front of a building.,a group of people standing in front of a church [SEP]
A young girl wearing a blue shirt marching in a band playing a trumpet,a group of girls playing a game of drum [SEP]
Person in a brown sweatshirt does a flip in midair over a trampoline with a river and electrical lines in the background.,a man jumping in the air [SEP]
A man standing in a bar with a neon beer sign hanging on the wall,a man playing a video game [SEP]
A woman in a green tank top looking at a drill while a crowd looks on.,a woman holding a drill [SEP]
A woman wearing a pink sweater and eyeglasses is wiping a wooden table with a pink sponge.,a woman bending down a table [SEP]
A man on a utility lift is standing in the tree branches.,a man on a crane [SEP]
Four young Asian boys hold bowls and chopsticks as they stand around a barbecue.,a group of kids sitting around a grill [SEP]
Native Americans are dressed up in native clothing and are participating in an activity together.,a woman in a native dress is playing a game [SEP]
A man holding another man by the back of the head about to punch him in the face.,a man wearing a red shirt [SEP]
Six people ride mountain bikes through a jungle environment.,a group of people riding bikes through a forest [SEP]
Two blond women sit outside as people walk by wearing casual clothing and some wearing bookbags.,a group of people walking down a street [SEP]
A small child in water with a splash encircling him while the white clouds float over the mountains.,a man in the water [SEP]
Three people sit at an outdoor table in front of a building painted like the Union Jack.,"a red, white and blue building [SEP]"
Some young men looking over the edge of a bridge on a sunny day.,a wooden pier [SEP]
A woman wearing a short-sleeved striped shirt and carrying a green shopping bag examines fish in an open air market while a vendor in a white apron over a gray t-shirt hands her an empty plastic bag.,a man and woman at a fish market [SEP]
A female harp player peers through the middle of her instrument while performing.,a woman playing a harp [SEP]
A security officer with a tiny face and big glasses leans on a metal gate looking into the camera.,a man in a police uniform [SEP]
A girl wearing a black t-shirt is holding a small pizza in a kitchen setting.,a woman holding a pizza [SEP]
"A shirtless man is fishing, standing on large rocks that rest next to a boardwalk with a tall lamp post in the forefront.",a man fishing on the water [SEP]
A young girl floats on her back in water and peers over her life jacket.,a woman floating in the water [SEP]
A man in a military-type uniform is standing in the street listening to another man who has a piece of paper in his hands.,a man wearing a blue shirt [SEP]
A man in glasses and an Asian woman are seated across from each other in a subway train.,a man and woman sitting on a subway train [SEP]
A brown-haired child in green shoes swings on a swing in a park near the woods.,a woman sitting in the woods [SEP]
A man in a red shirt and blue pants is going into a building while a dog watches him.,a white brick building [SEP]
Two male friends in swimming trunks jump on the beach while people in the background lay in the sand.,two men playing frc [SEP]
A toddler grasping the handle of a tool to stir food in a bowl along with another person whose arms are seen holding the bowl and tool.,a woman holding a baby [SEP]
"A father and daughter holding a young tree upright, ready to be planted, as the son stands to their side wielding a shovel.",a man and two children [SEP]
A man wearing a black sweater cooks food in a pan while standing in a cluttered kitchen.,a man in a kitchen [SEP]
