correct,generate
The man with pierced ears is wearing glasses and an orange hat.,a man is wearing a yellow knitted hat and glasses. [SEP]
A black and white dog is running in a grassy garden surrounded by a white fence.,one brown and white dog with a green frisbee in mouth and another brown and white dog by the fence. [SEP]
A young female student performing a downward kick to break a board held by her Karate instructor.,a woman being flipped on her head in a white uniform on a blue mat. [SEP]
"Five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles; they are all wearing black snow pants and from left to right they are wearing a black coat, white coat, red coat, blue coat, and black coat.",people dressed in costumes are standing outside in the snow. [SEP]
Two men sitting on the roof of a house while another one stands on a ladder.,people are fixing the roof of a building. [SEP]
A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants.,a man in a tuxedo is taking a picture of a girl in a white dress. [SEP]
"A group of 11 people in winter wear such as beanies, skiing jackets, gloves and backpacks are standing in snow paddles outside a house made of ice blocks while a person in front of the door seems to be leading them.",people stand outside in a snow covered area. [SEP]
"A baseball player in red leaps into the air to avoid a player in blue, who is shortly behind him as he catches the ball, while other blue team members look on in the background.",a child is sliding into home plate and the catcher is waiting. [SEP]
A man wearing a hat and a white shirt is cleaning windows.,a man is on a scaffolding and working on a building. [SEP]
A man wearing a reflective vest sits on the sidewalk and holds up pamphlets with bicycles on the cover.,a man and a woman sit on a chair on the street and on a street. [SEP]
A mother decides to take her child on a piggyback ride outside their apartment complex.,a man with long hair is holding a child on his shoulders. [SEP]
A male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game.,two people are playing volleyball at the beach. [SEP]
"A woman wearing a pink shirt and red apron stands in her restaurant holding food and surrounded by bagged breads, a microwave and the chalkboard menu up on the wall.",a woman in a brown shirt is taking a picture of a man in a red apron. [SEP]
An Asian man in spectacles and a t-shirt preparing some food.,a man in a striped shirt is making a drink. [SEP]
Spelunkers pose inside a rock cavern while bathed in sunlight from the surface.,two people climb a rock and another person looks down at a light. [SEP]
A girl in a polka dotted blue jean dress walks barefoot on a balance beam.,"a little girl is walking on the bar, while two men are standing behind her. [SEP]"
"A couple is sitting on the sand with their feet in the water, and they are shaking hands.","a man with no shirt on, holding a bottle, sitting next to a woman in a bathing suit who is sitting in the water. [SEP]"
"A woman standing with 3 other people in a store with two tables, some shelves with coffee and tea for sale, and a refrigerated drink case.",a group of people look at a sign in a shop. [SEP]
The person has a striped shirt on and is holding on to a rope on a mountain.,a woman climbing a mountain. [SEP]
Two young attractive women in front of a store drop coins for street performers.,people shopping around a storefront in a foreign city. [SEP]
A group of people standing on the lawn in front of a building.,several people stand in a line outside a small church. [SEP]
A young girl wearing a blue shirt marching in a band playing a trumpet,a man is playing drums in a crowd of women and children. [SEP]
Person in a brown sweatshirt does a flip in midair over a trampoline with a river and electrical lines in the background.,a person is jumping and colliding in the air while two other people look on. [SEP]
A man standing in a bar with a neon beer sign hanging on the wall,a man is playing a video arcade game. [SEP]
A woman in a green tank top looking at a drill while a crowd looks on.,people are looking at a woman holding a tool. [SEP]
A woman wearing a pink sweater and eyeglasses is wiping a wooden table with a pink sponge.,a woman is looking at table that has some papers on it. [SEP]
A man on a utility lift is standing in the tree branches.,a man works on trimming tree limbs. [SEP]
Four young Asian boys hold bowls and chopsticks as they stand around a barbecue.,three boys are having a good time at night. [SEP]
Native Americans are dressed up in native clothing and are participating in an activity together.,a man playing a tribal drum with a band. [SEP]
A man holding another man by the back of the head about to punch him in the face.,two men are showing a fighting move while one man appears not to be enjoying it too much. [SEP]
Six people ride mountain bikes through a jungle environment.,a group of people are taking photos and riding bikes through a jungle with large plants. [SEP]
