image_id,question,correct,generate
/home/forte/users/nishida/outputs/21620-3.png,What type of vehicle is a man standing next to?,motorcycle,motorcycle
/home/forte/users/nishida/outputs/21620-3.png,What is the name of the space where a man is standing next to a red motorcycle?,parking,yes
/home/forte/users/nishida/outputs/21620-3.png,What is the parking space for a motorcycle?,space,no
/home/forte/users/nishida/outputs/21621-1.png,What type of professional racers are on a race track?,motorcyclists,yes
/home/forte/users/nishida/outputs/21621-1.png,What is a curve?,curve,yes
/home/forte/users/nishida/outputs/21621-1.png,What type of track are professional motorcyclists on?,race,concrete
/home/forte/users/nishida/outputs/21621-1.png,What type of track are professional motorcyclists racing on?,track,concrete
/home/forte/users/nishida/outputs/21621-2.png,What type of professional racers are on a race track?,motorcyclists,yes
/home/forte/users/nishida/outputs/21621-2.png,What is a curve?,curve,yes
/home/forte/users/nishida/outputs/21621-2.png,What type of track are professional motorcyclists on?,race,concrete
/home/forte/users/nishida/outputs/21621-2.png,What type of track are professional motorcyclists racing on?,track,concrete
/home/forte/users/nishida/outputs/21621-3.png,What type of professional racers are on a race track?,motorcyclists,yes
/home/forte/users/nishida/outputs/21621-3.png,What is a curve?,curve,yes
/home/forte/users/nishida/outputs/21621-3.png,What type of track are professional motorcyclists on?,race,concrete
/home/forte/users/nishida/outputs/21621-3.png,What type of track are professional motorcyclists racing on?,track,concrete
/home/forte/users/nishida/outputs/21622-1.png,What is a person in the snow on some skis?,person,yes
/home/forte/users/nishida/outputs/21622-1.png,What kind of weather does a person get in?,snow,snow
/home/forte/users/nishida/outputs/21622-1.png,What kind of equipment is a person in the snow?,skis,ski poles
/home/forte/users/nishida/outputs/21622-2.png,What is a person in the snow on some skis?,person,yes
/home/forte/users/nishida/outputs/21622-2.png,What kind of weather does a person get in?,snow,no
/home/forte/users/nishida/outputs/21622-2.png,What kind of equipment is a person in the snow?,skis,ski poles
/home/forte/users/nishida/outputs/21622-3.png,What is a person in the snow on some skis?,person,yes
/home/forte/users/nishida/outputs/21622-3.png,What kind of weather does a person get in?,snow,yes
