image_id,question,correct,generate
/home/forte/users/nishida/outputs/25922-3.png,what type of vehicle is this?,trains,no
/home/forte/users/nishida/outputs/25922-3.png,are there train tracks?,yes,yes
/home/forte/users/nishida/outputs/25922-3.png,what type of road is this?,train tracks,no
/home/forte/users/nishida/outputs/25922-3.png,are the trains going down the train tracks?,yes,no
/home/forte/users/nishida/outputs/25922-3.png,what are the trains doing?,going down,no
/home/forte/users/nishida/outputs/25923-1.png,what type of vehicle is parked on the street?,car,yes
/home/forte/users/nishida/outputs/25923-1.png,is this a street?,yes,yes
/home/forte/users/nishida/outputs/25923-1.png,what type of place is this?,street,baseball field
/home/forte/users/nishida/outputs/25923-1.png,are the cars parked on the street?,yes,yes
/home/forte/users/nishida/outputs/25923-1.png,are there many cars?,yes,yes
/home/forte/users/nishida/outputs/25923-1.png,is this a busy street?,yes,yes
/home/forte/users/nishida/outputs/25923-1.png,is this a busy or a quiet street?,busy,yes
/home/forte/users/nishida/outputs/25923-2.png,what type of vehicle is parked on the street?,car,no
/home/forte/users/nishida/outputs/25923-2.png,is this a street?,yes,yes
/home/forte/users/nishida/outputs/25923-2.png,what type of place is this?,street,no
/home/forte/users/nishida/outputs/25923-2.png,are the cars parked on the street?,yes,yes
/home/forte/users/nishida/outputs/25923-2.png,are there many cars?,yes,yes
/home/forte/users/nishida/outputs/25923-2.png,is this a busy street?,yes,yes
/home/forte/users/nishida/outputs/25923-2.png,is this a busy or a quiet street?,busy,yes
/home/forte/users/nishida/outputs/25923-3.png,what type of vehicle is parked on the street?,car,motorbikes
/home/forte/users/nishida/outputs/25923-3.png,is this a street?,yes,yes
/home/forte/users/nishida/outputs/25923-3.png,what type of place is this?,street,baseball field
/home/forte/users/nishida/outputs/25923-3.png,are the cars parked on the street?,yes,yes
/home/forte/users/nishida/outputs/25923-3.png,are there many cars?,yes,yes
/home/forte/users/nishida/outputs/25923-3.png,is this a busy street?,yes,yes
/home/forte/users/nishida/outputs/25923-3.png,is this a busy or a quiet street?,busy,yes
/home/forte/users/nishida/outputs/25924-1.png,what type of food is this?,pizza,yes
/home/forte/users/nishida/outputs/25924-1.png,is there a cutting board?,yes,yes
/home/forte/users/nishida/outputs/25924-1.png,what type of object is this?,cutting board,handmade
/home/forte/users/nishida/outputs/25924-1.png,is there a table?,yes,yes
/home/forte/users/nishida/outputs/25924-1.png,what type of furniture is this?,table,handmade
/home/forte/users/nishida/outputs/25924-1.png,is the pizza displayed on the cutting board?,yes,yes
/home/forte/users/nishida/outputs/25924-1.png,is the pizza small?,yes,yes
/home/forte/users/nishida/outputs/25924-1.png,is the pizza small or large?,small,large
/home/forte/users/nishida/outputs/25924-2.png,what type of food is this?,pizza,yes
/home/forte/users/nishida/outputs/25924-2.png,is there a cutting board?,yes,no
/home/forte/users/nishida/outputs/25924-2.png,what type of object is this?,cutting board,handmade
/home/forte/users/nishida/outputs/25924-2.png,is there a table?,yes,yes
/home/forte/users/nishida/outputs/25924-2.png,what type of furniture is this?,table,no
/home/forte/users/nishida/outputs/25924-2.png,is the pizza displayed on the cutting board?,yes,no
/home/forte/users/nishida/outputs/25924-2.png,is the pizza small?,yes,yes
/home/forte/users/nishida/outputs/25924-2.png,is the pizza small or large?,small,large
/home/forte/users/nishida/outputs/25924-3.png,what type of food is this?,pizza,yes
/home/forte/users/nishida/outputs/25924-3.png,is there a cutting board?,yes,no
/home/forte/users/nishida/outputs/25924-3.png,what type of object is this?,cutting board,metal
