image_id,question,generate
/home/forte/users/nishida/forQuestioner/3205.png,Who is sitting beside the woman?,man,
/home/forte/users/nishida/forQuestioner/46919.png,Is this boy in pajamas?,persons,
/home/forte/users/nishida/forQuestioner/128565.png,What type of clouds are in the sky?,group,
/home/forte/users/nishida/forQuestioner/142524.png,What kind of vehicle is this?,cars,
/home/forte/users/nishida/forQuestioner/39124.png,How many zebras are in the photo?,group,
/home/forte/users/nishida/forQuestioner/111075.png,What is the man trying to catch?,man,
/home/forte/users/nishida/forQuestioner/75418.png,What kind of flowers are in the vase?,roses,
/home/forte/users/nishida/forQuestioner/49003.png,Where is the train?,cars,
/home/forte/users/nishida/forQuestioner/130619.png,Are these kites?,persons,
/home/forte/users/nishida/forQuestioner/185799.png,Is this a baby or adult animal?,baby,
/home/forte/users/nishida/forQuestioner/42334.png,Is he stretching his trunk?,persons,
/home/forte/users/nishida/forQuestioner/97698.png,What team does this man play for?,persons,
/home/forte/users/nishida/forQuestioner/66589.png,What is shown on the computer screen?,items,
/home/forte/users/nishida/forQuestioner/8308.png,Are these breads?,persons,
/home/forte/users/nishida/forQuestioner/71801.png,Which pan has broccoli?,background,
/home/forte/users/nishida/forQuestioner/26553.png,On what kind of surface is this painted?,tar,
/home/forte/users/nishida/forQuestioner/65371.png,Where is the bike lining?,man,
/home/forte/users/nishida/forQuestioner/56595.png,What is the girl wearing for a top?,dress,
/home/forte/users/nishida/forQuestioner/79998.png,1. Are the 4 major food groups represented here? 2. How many people should this serve?,side,
/home/forte/users/nishida/forQuestioner/99865.png,What color is the man's shirt?,background,
/home/forte/users/nishida/forQuestioner/107263.png,What is wrong with this bus?,items,
/home/forte/users/nishida/forQuestioner/180024.png,What is this drink?,bottles,
/home/forte/users/nishida/forQuestioner/15605.png,What color is the floor?,floors,
/home/forte/users/nishida/forQuestioner/4054.png,What is in the glass?,bottles,
/home/forte/users/nishida/forQuestioner/205026.png,How many red letters are in this picture?,half,
/home/forte/users/nishida/forQuestioner/20384.png,What do you call the outfit the woman is wearing?,style,
/home/forte/users/nishida/forQuestioner/54230.png,Is the lady going for a walk in the rain?,woman,
/home/forte/users/nishida/forQuestioner/42962.png,Is this chocolate cake?,persons,
/home/forte/users/nishida/forQuestioner/118707.png,What color is the Traffic Light?,cap,
/home/forte/users/nishida/forQuestioner/152951.png,How many umbrellas are in the photo?,couple,
