image_id,correct,generate
/home/forte/users/nishida/outputs/21601-1.png,a kitchen with a refrigerator with a sink,"a kitchen with a stove, microwave, and cabinets [SEP]"
/home/forte/users/nishida/outputs/21601-2.png,a kitchen with a refrigerator with a sink,"a kitchen with a refrigerator, stove, and sink. [SEP]"
/home/forte/users/nishida/outputs/21601-3.png,a kitchen with a refrigerator with a sink,"a kitchen with a table, refrigerator, and sink [SEP]"
/home/forte/users/nishida/outputs/21602-1.png,A post with a hand painted sign on top.,"a sign that says,'don't stop drinking on the sidewalk. [SEP]"
/home/forte/users/nishida/outputs/21602-2.png,A post with a hand painted sign on top.,"a sign that says,'this is a road sign'[SEP]"
/home/forte/users/nishida/outputs/21602-3.png,A post with a hand painted sign on top.,"a sign that says,'love is all around'[SEP]"
/home/forte/users/nishida/outputs/21603-1.png,A cat standing in the sand with its face near an animal.,a cat standing on a beach with a bird in the background. [SEP]
/home/forte/users/nishida/outputs/21603-2.png,A cat standing in the sand with its face near an animal.,a cat sitting on the ground with its head on a cat. [SEP]
/home/forte/users/nishida/outputs/21603-3.png,A cat standing in the sand with its face near an animal.,a cat walking on the ground in the sand. [SEP]
/home/forte/users/nishida/outputs/21604-1.png,A microwave and an oven on a kitchen,a white stove top oven with a pot on the top [SEP]
/home/forte/users/nishida/outputs/21604-2.png,A microwave and an oven on a kitchen,"a kitchen with a stove, microwave, and cabinets [SEP]"
/home/forte/users/nishida/outputs/21604-3.png,A microwave and an oven on a kitchen,"a kitchen with a microwave, microwave, and a table [SEP]"
/home/forte/users/nishida/outputs/21605-1.png,Friends gather an at airport while holding their luggage.,a group of people are walking around with luggage. [SEP]
/home/forte/users/nishida/outputs/21605-2.png,Friends gather an at airport while holding their luggage.,a group of people are walking around with luggage. [SEP]
/home/forte/users/nishida/outputs/21605-3.png,Friends gather an at airport while holding their luggage.,a woman with a suitcase and a man with a hat and a suitcase [SEP]
/home/forte/users/nishida/outputs/21606-1.png,A truck that has some rust on it and its hood is slightly lifted.,a rusty truck is parked in a field. [SEP]
/home/forte/users/nishida/outputs/21606-2.png,A truck that has some rust on it and its hood is slightly lifted.,a large brown truck with a big tire on the back. [SEP]
/home/forte/users/nishida/outputs/21606-3.png,A truck that has some rust on it and its hood is slightly lifted.,a rusty truck with a big tire on the back. [SEP]
/home/forte/users/nishida/outputs/21607-1.png,"The youths are gathered in the park, some holding frisbees.",a group of young people are gathered around a table eating a pizza. [SEP]
/home/forte/users/nishida/outputs/21607-2.png,"The youths are gathered in the park, some holding frisbees.",a group of young men standing around a lush green field. [SEP]
/home/forte/users/nishida/outputs/21607-3.png,"The youths are gathered in the park, some holding frisbees.",a group of young people are gathered around a frisbee. [SEP]
/home/forte/users/nishida/outputs/21608-1.png,A brown bear walking next to two small bears.,a brown bear standing next to a baby bear. [SEP]
/home/forte/users/nishida/outputs/21608-2.png,A brown bear walking next to two small bears.,a brown bear walking on a road with a black bear in the background. [SEP]
/home/forte/users/nishida/outputs/21608-3.png,A brown bear walking next to two small bears.,a large brown bear walking with a baby bear. [SEP]
/home/forte/users/nishida/outputs/21609-1.png,an image of a sub sandwich with meat and veggies on it,a close up of a sandwich with meat and vegetables on it. [SEP]
/home/forte/users/nishida/outputs/21609-2.png,an image of a sub sandwich with meat and veggies on it,a close up of a sandwich with meat and cheese. [SEP]
/home/forte/users/nishida/outputs/21609-3.png,an image of a sub sandwich with meat and veggies on it,a close up of a sandwich on a table [SEP]
/home/forte/users/nishida/outputs/21610-1.png,A man on a tennis court stretching to return a hit,a man is playing tennis on a sunny day. [SEP]
/home/forte/users/nishida/outputs/21610-2.png,A man on a tennis court stretching to return a hit,a man standing on a tennis court holding a tennis racket. [SEP]
/home/forte/users/nishida/outputs/21610-3.png,A man on a tennis court stretching to return a hit,a man is playing tennis on a sunny day. [SEP]
/home/forte/users/nishida/outputs/21611-1.png,A man standing in a restroom wearing glasses.,a man in a suit standing in a bathroom [SEP]
/home/forte/users/nishida/outputs/21611-2.png,A man standing in a restroom wearing glasses.,a man with glasses standing in a room. [SEP]
/home/forte/users/nishida/outputs/21611-3.png,A man standing in a restroom wearing glasses.,a man in a room with a glass door and a man in a suit [SEP]
/home/forte/users/nishida/outputs/21612-1.png,a woman standing on a surf board on the beach,a girl holding a surfboard on the beach [SEP]
/home/forte/users/nishida/outputs/21612-2.png,a woman standing on a surf board on the beach,a woman standing on a surfboard on the beach [SEP]
/home/forte/users/nishida/outputs/21612-3.png,a woman standing on a surf board on the beach,a man in a bikini on a surfboard on the beach. [SEP]
/home/forte/users/nishida/outputs/21613-1.png,A bed sitting on a hard wood floor.,a bed with a red blanket and a wooden dresser [SEP]
/home/forte/users/nishida/outputs/21613-2.png,A bed sitting on a hard wood floor.,a chair with a blue blanket on it [SEP]
/home/forte/users/nishida/outputs/21613-3.png,A bed sitting on a hard wood floor.,"a bedroom with a wooden bed, chair, and a window. [SEP]"
/home/forte/users/nishida/outputs/21614-1.png,A child with curly hair holds out his baseball glove.,a young boy holding a baseball in his hand. [SEP]
/home/forte/users/nishida/outputs/21614-2.png,A child with curly hair holds out his baseball glove.,a little league player is getting ready to throw the ball. [SEP]
/home/forte/users/nishida/outputs/21614-3.png,A child with curly hair holds out his baseball glove.,a young girl holding a baseball in a baseball game. [SEP]
/home/forte/users/nishida/outputs/21615-1.png,A black table in a kitchen with black chairs.,"a kitchen with a table, chairs, and a table with a vase on it [SEP]"
/home/forte/users/nishida/outputs/21615-2.png,A black table in a kitchen with black chairs.,"a table with a chair, a table, and a table with a light on it [SEP]"
/home/forte/users/nishida/outputs/21615-3.png,A black table in a kitchen with black chairs.,"a living room with a table, chair, and a refrigerator [SEP]"
/home/forte/users/nishida/outputs/21616-1.png,"Two girls are brushing their teeth in a bathroom,",a girl brushing her teeth while standing in the bathroom. [SEP]
/home/forte/users/nishida/outputs/21616-2.png,"Two girls are brushing their teeth in a bathroom,",a woman brushing her teeth while another woman holds a toothbrush. [SEP]
/home/forte/users/nishida/outputs/21616-3.png,"Two girls are brushing their teeth in a bathroom,",a girl brushing her teeth while another girl takes a picture. [SEP]
/home/forte/users/nishida/outputs/21617-1.png,A red suitcase abandoned in a secluded area.,a red suitcase sitting in the middle of a forest. [SEP]
/home/forte/users/nishida/outputs/21617-2.png,A red suitcase abandoned in a secluded area.,a red suitcase with a handle on it [SEP]
/home/forte/users/nishida/outputs/21617-3.png,A red suitcase abandoned in a secluded area.,a red suitcase sitting on top of a lush green field. [SEP]
/home/forte/users/nishida/outputs/21618-1.png,A woman with a suitcase and an umbrella on a sidewalk.,a woman with an umbrella walking down the street [SEP]
/home/forte/users/nishida/outputs/21618-2.png,A woman with a suitcase and an umbrella on a sidewalk.,a woman carrying a suitcase on the sidewalk [SEP]
/home/forte/users/nishida/outputs/21618-3.png,A woman with a suitcase and an umbrella on a sidewalk.,a woman holding an umbrella walking down the street [SEP]
/home/forte/users/nishida/outputs/21619-1.png,a close up of a person riding a skate board,a man riding a skateboard on a sidewalk. [SEP]
/home/forte/users/nishida/outputs/21619-2.png,a close up of a person riding a skate board,a person riding a skateboard on a runway. [SEP]
/home/forte/users/nishida/outputs/21619-3.png,a close up of a person riding a skate board,a person riding a skateboard on a sidewalk. [SEP]
/home/forte/users/nishida/outputs/21620-1.png,A man standing next to a red motorcycle in a parking space.,a man riding a red motorcycle on a street [SEP]
/home/forte/users/nishida/outputs/21620-2.png,A man standing next to a red motorcycle in a parking space.,a man in a suit standing next to a red motorcycle. [SEP]
/home/forte/users/nishida/outputs/21620-3.png,A man standing next to a red motorcycle in a parking space.,a man in a suit standing next to a red motorcycle. [SEP]
/home/forte/users/nishida/outputs/21621-1.png,Professional motorcyclists racing along a curve on a race track.,a person riding a motorcycle on a race track. [SEP]
/home/forte/users/nishida/outputs/21621-2.png,Professional motorcyclists racing along a curve on a race track.,a person riding a motorcycle on a race track. [SEP]
/home/forte/users/nishida/outputs/21621-3.png,Professional motorcyclists racing along a curve on a race track.,a person riding a motorcycle on a race track. [SEP]
/home/forte/users/nishida/outputs/21622-1.png,A person in the snow on some skis.,a man riding skis down a snow covered slope. [SEP]
/home/forte/users/nishida/outputs/21622-2.png,A person in the snow on some skis.,a man riding skis down a snow covered slope. [SEP]
