image_id,correct,generate
/home/forte/users/nishida/outputs-flickr/21601-1.png,A teenager wearing a baseball cap and a white tee-shirt,a young girl wearing a yellow hat and jeans [SEP]
/home/forte/users/nishida/outputs-flickr/21601-2.png,A teenager wearing a baseball cap and a white tee-shirt,a young girl wearing a white hat and smiling [SEP]
/home/forte/users/nishida/outputs-flickr/21601-3.png,A teenager wearing a baseball cap and a white tee-shirt,a young boy wearing a white hat and a baseball cap [SEP]
/home/forte/users/nishida/outputs-flickr/21602-1.png,A young girl is drawing with an orange crayon .,a girl sitting at a table [SEP]
/home/forte/users/nishida/outputs-flickr/21602-2.png,A young girl is drawing with an orange crayon .,a little girl sitting at a table [SEP]
/home/forte/users/nishida/outputs-flickr/21602-3.png,A young girl is drawing with an orange crayon .,a little girl is writing on a piece of paper [SEP]
/home/forte/users/nishida/outputs-flickr/21603-1.png,A young boy sleeping after playing with his friends .,a young boy laying on the grass with his toy [SEP]
/home/forte/users/nishida/outputs-flickr/21603-2.png,A young boy sleeping after playing with his friends .,a young boy sleeping on a green carpet [SEP]
/home/forte/users/nishida/outputs-flickr/21603-3.png,A young boy sleeping after playing with his friends .,a baby sleeping on a blue blanket [SEP]
/home/forte/users/nishida/outputs-flickr/21604-1.png,Four men standing near a yellow car .,three men standing next to a yellow car [SEP]
/home/forte/users/nishida/outputs-flickr/21604-2.png,Four men standing near a yellow car .,two men standing next to a yellow truck [SEP]
/home/forte/users/nishida/outputs-flickr/21604-3.png,Four men standing near a yellow car .,a group of men standing next to a yellow car [SEP]
/home/forte/users/nishida/outputs-flickr/21605-1.png,A group of people face towards a bridge across the water .,a group of people standing in the water [SEP]
/home/forte/users/nishida/outputs-flickr/21605-2.png,A group of people face towards a bridge across the water .,people walking along the water on a dock [SEP]
/home/forte/users/nishida/outputs-flickr/21605-3.png,A group of people face towards a bridge across the water .,people standing on a pier looking out at the water [SEP]
/home/forte/users/nishida/outputs-flickr/21606-1.png,Two men stand near pine trees and a bubble tea stand .,two men standing next to a large glass dome [SEP]
/home/forte/users/nishida/outputs-flickr/21606-2.png,Two men stand near pine trees and a bubble tea stand .,two people standing in front of a forest [SEP]
/home/forte/users/nishida/outputs-flickr/21606-3.png,Two men stand near pine trees and a bubble tea stand .,two men wearing masks standing in front of a tree [SEP]
/home/forte/users/nishida/outputs-flickr/21607-1.png,Two ladies show affection that will lead to a kiss .,a woman kissing another woman in a park [SEP]
/home/forte/users/nishida/outputs-flickr/21607-2.png,Two ladies show affection that will lead to a kiss .,a woman kissing another woman [SEP]
/home/forte/users/nishida/outputs-flickr/21607-3.png,Two ladies show affection that will lead to a kiss .,a woman kissing another woman with her mouth in the air [SEP]
/home/forte/users/nishida/outputs-flickr/21608-1.png,Guards standing in front of an arched entry .,two men in uniform stand outside a building [SEP]
/home/forte/users/nishida/outputs-flickr/21608-2.png,Guards standing in front of an arched entry .,two police officers stand in front of a building [SEP]
/home/forte/users/nishida/outputs-flickr/21608-3.png,Guards standing in front of an arched entry .,two men in uniform standing in front of a building [SEP]
/home/forte/users/nishida/outputs-flickr/21609-1.png,A man stands next to a pillar near water .,a man standing on a dock next to a body of water [SEP]
/home/forte/users/nishida/outputs-flickr/21609-2.png,A man stands next to a pillar near water .,a man standing in front of a river [SEP]
/home/forte/users/nishida/outputs-flickr/21609-3.png,A man stands next to a pillar near water .,a man standing in the water with a shovel [SEP]
/home/forte/users/nishida/outputs-flickr/21610-1.png,A man wearing sunglasses holds a sign at a demonstration .,a man holding a sign that says no right in the right [SEP]
/home/forte/users/nishida/outputs-flickr/21610-2.png,A man wearing sunglasses holds a sign at a demonstration .,a man holding a sign that says don't't't't't't't't't't [SEP]
/home/forte/users/nishida/outputs-flickr/21610-3.png,A man wearing sunglasses holds a sign at a demonstration .,a man holding a sign that says we are not safe [SEP]
/home/forte/users/nishida/outputs-flickr/21611-1.png,A boy in a blue uniform is holding a soccer ball in one hand .,a young boy holding a soccer ball [SEP]
/home/forte/users/nishida/outputs-flickr/21611-2.png,A boy in a blue uniform is holding a soccer ball in one hand .,a young boy holding a soccer ball on a soccer field [SEP]
/home/forte/users/nishida/outputs-flickr/21611-3.png,A boy in a blue uniform is holding a soccer ball in one hand .,a young boy holding a soccer ball [SEP]
/home/forte/users/nishida/outputs-flickr/21612-1.png,A guy is playing his guitar in the backseat of a car .,a man sitting in the back of a car playing a guitar [SEP]
/home/forte/users/nishida/outputs-flickr/21612-2.png,A guy is playing his guitar in the backseat of a car .,a man playing a guitar in a car [SEP]
/home/forte/users/nishida/outputs-flickr/21612-3.png,A guy is playing his guitar in the backseat of a car .,a man sitting in the back seat of a car playing a guitar [SEP]
/home/forte/users/nishida/outputs-flickr/21613-1.png,A woman doing ballet next to a body of water .,a woman in a pink tutue is standing on the edge of a pier [SEP]
/home/forte/users/nishida/outputs-flickr/21613-2.png,A woman doing ballet next to a body of water .,a woman in a pink leor doing a yoga pose [SEP]
/home/forte/users/nishida/outputs-flickr/21613-3.png,A woman doing ballet next to a body of water .,a woman in a purple leor leor leor leor leor leor leor leor leor leor leor leo [SEP]
/home/forte/users/nishida/outputs-flickr/21614-1.png,Firefighters use the jaws of life on a red car .,firefighters working on a car [SEP]
/home/forte/users/nishida/outputs-flickr/21614-2.png,Firefighters use the jaws of life on a red car .,a firefighter is putting a hose to a car [SEP]
/home/forte/users/nishida/outputs-flickr/21614-3.png,Firefighters use the jaws of life on a red car .,a firefighter is putting out a car fire [SEP]
/home/forte/users/nishida/outputs-flickr/21615-1.png,"A man in a blue shirt , works on a long canoe .",a man in a canoe paddling down a river [SEP]
/home/forte/users/nishida/outputs-flickr/21615-2.png,"A man in a blue shirt , works on a long canoe .",a man in a canoe paddling on a lake [SEP]
/home/forte/users/nishida/outputs-flickr/21615-3.png,"A man in a blue shirt , works on a long canoe .",a man in a canoe [SEP]
/home/forte/users/nishida/outputs-flickr/21616-1.png,A group of people are camping out on some rocks .,a group of tents set up on a trail [SEP]
/home/forte/users/nishida/outputs-flickr/21616-2.png,A group of people are camping out on some rocks .,two people sitting in front of their tents [SEP]
/home/forte/users/nishida/outputs-flickr/21616-3.png,A group of people are camping out on some rocks .,two tents pitched up on a rocky trail [SEP]
/home/forte/users/nishida/outputs-flickr/21617-1.png,"Three females , one in pink and blue , another in a multicolored skirt with blue belt , and a final in white with a red umbrella are walking .",three women in colorful skirts and hats walking down the street [SEP]
/home/forte/users/nishida/outputs-flickr/21617-2.png,"Three females , one in pink and blue , another in a multicolored skirt with blue belt , and a final in white with a red umbrella are walking .",two women in colorful skirts walking down the street [SEP]
/home/forte/users/nishida/outputs-flickr/21617-3.png,"Three females , one in pink and blue , another in a multicolored skirt with blue belt , and a final in white with a red umbrella are walking .",two girls walking down a sidewalk with umbrellas [SEP]
/home/forte/users/nishida/outputs-flickr/21618-1.png,A group people are racing a car with sand in the background .,a car driving through the desert [SEP]
/home/forte/users/nishida/outputs-flickr/21618-2.png,A group people are racing a car with sand in the background .,a group of toy cars on a race track [SEP]
/home/forte/users/nishida/outputs-flickr/21618-3.png,A group people are racing a car with sand in the background .,two cars driving on a dirt road [SEP]
/home/forte/users/nishida/outputs-flickr/21619-1.png,A guy playing an accordion with people listening and watching .,a group of people playing accordions on the street [SEP]
/home/forte/users/nishida/outputs-flickr/21619-2.png,A guy playing an accordion with people listening and watching .,a man playing an accordion [SEP]
/home/forte/users/nishida/outputs-flickr/21619-3.png,A guy playing an accordion with people listening and watching .,a man playing an accordion in front of a crowd [SEP]
/home/forte/users/nishida/outputs-flickr/21620-1.png,A man and woman laze around on the couch .,a man and woman sitting on a couch [SEP]
/home/forte/users/nishida/outputs-flickr/21620-2.png,A man and woman laze around on the couch .,a man and woman sitting on a couch [SEP]
/home/forte/users/nishida/outputs-flickr/21620-3.png,A man and woman laze around on the couch .,a couple laying on a couch together [SEP]
/home/forte/users/nishida/outputs-flickr/21621-1.png,A group of people are having fun with alcohol on the table .,people enjoying drinks at a table [SEP]
/home/forte/users/nishida/outputs-flickr/21621-2.png,A group of people are having fun with alcohol on the table .,people sitting at a table drinking drinks [SEP]
/home/forte/users/nishida/outputs-flickr/21621-3.png,A group of people are having fun with alcohol on the table .,a group of people sitting at a table drinking wine [SEP]
/home/forte/users/nishida/outputs-flickr/21622-1.png,Group of Indian men in a restaurant .,the men of the village in their traditional attire [SEP]
/home/forte/users/nishida/outputs-flickr/21622-2.png,Group of Indian men in a restaurant .,a group of men sitting at a table [SEP]
/home/forte/users/nishida/outputs-flickr/21622-3.png,Group of Indian men in a restaurant .,a group of men standing around a table [SEP]
/home/forte/users/nishida/outputs-flickr/21623-1.png,A woman and a child posing for a picture .,a woman and two children standing in front of a wall [SEP]
/home/forte/users/nishida/outputs-flickr/21623-2.png,A woman and a child posing for a picture .,a woman and a child standing in a field [SEP]
/home/forte/users/nishida/outputs-flickr/21623-3.png,A woman and a child posing for a picture .,a woman and child are standing together [SEP]
/home/forte/users/nishida/outputs-flickr/21624-1.png,"2 infants , 1 in hot pink jacket and other in pink and blue flower jacket hugging in the snow .",two little girls hugging in the snow [SEP]
/home/forte/users/nishida/outputs-flickr/21624-2.png,"2 infants , 1 in hot pink jacket and other in pink and blue flower jacket hugging in the snow .",a little girl hugging her mother [SEP]
/home/forte/users/nishida/outputs-flickr/21624-3.png,"2 infants , 1 in hot pink jacket and other in pink and blue flower jacket hugging in the snow .",two little girls in the snow [SEP]
/home/forte/users/nishida/outputs-flickr/21625-1.png,A man and a woman walking between two buildings .,a couple walking down a narrow street holding hands [SEP]
/home/forte/users/nishida/outputs-flickr/21625-2.png,A man and a woman walking between two buildings .,a couple walking down a cobbled street [SEP]
/home/forte/users/nishida/outputs-flickr/21625-3.png,A man and a woman walking between two buildings .,a couple walking down a street holding hands [SEP]
/home/forte/users/nishida/outputs-flickr/21626-1.png,A goalie tried and failed to defend a shot in a hockey game .,a hockey player is about to make a save [SEP]
