image_id,question,correct,generate
/home/forte/users/nishida/outputs/21605-1.png,who is gathering at the airport?,friends,woman
/home/forte/users/nishida/outputs/21605-1.png,are there luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-1.png,what are the friends holding?,luggage,yes
/home/forte/users/nishida/outputs/21605-1.png,is this an airport?,yes,yes
/home/forte/users/nishida/outputs/21605-1.png,what type of place is this?,airport,yes
/home/forte/users/nishida/outputs/21605-1.png,are the friends gathering at the airport?,yes,yes
/home/forte/users/nishida/outputs/21605-1.png,are the friends holding luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-2.png,who is gathering at the airport?,friends,man
/home/forte/users/nishida/outputs/21605-2.png,are there luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-2.png,what are the friends holding?,luggage,no
/home/forte/users/nishida/outputs/21605-2.png,is this an airport?,yes,yes
/home/forte/users/nishida/outputs/21605-2.png,what type of place is this?,airport,yes
/home/forte/users/nishida/outputs/21605-2.png,are the friends gathering at the airport?,yes,yes
/home/forte/users/nishida/outputs/21605-2.png,are the friends holding luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-3.png,who is gathering at the airport?,friends,woman
/home/forte/users/nishida/outputs/21605-3.png,are there luggage?,yes,yes
/home/forte/users/nishida/outputs/21605-3.png,what are the friends holding?,luggage,yes
/home/forte/users/nishida/outputs/21605-3.png,is this an airport?,yes,yes
/home/forte/users/nishida/outputs/21605-3.png,what type of place is this?,airport,yes
/home/forte/users/nishida/outputs/21605-3.png,are the friends gathering at the airport?,yes,yes
/home/forte/users/nishida/outputs/21605-3.png,are the friends holding luggage?,yes,yes
/home/forte/users/nishida/outputs/21606-1.png,what type of vehicle is this?,truck,old truck
/home/forte/users/nishida/outputs/21606-1.png,is there rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21606-1.png,what is on the truck?,rust,nothing
/home/forte/users/nishida/outputs/21606-1.png,is the hood lifted?,yes,no
/home/forte/users/nishida/outputs/21606-1.png,what is lifted?,hood,front of truck
/home/forte/users/nishida/outputs/21606-1.png,is the hood slightly lifted?,yes,yes
/home/forte/users/nishida/outputs/21606-1.png,is there some rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21606-2.png,what type of vehicle is this?,truck,truck
/home/forte/users/nishida/outputs/21606-2.png,is there rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21606-2.png,what is on the truck?,rust,no
/home/forte/users/nishida/outputs/21606-2.png,is the hood lifted?,yes,yes
/home/forte/users/nishida/outputs/21606-2.png,what is lifted?,hood,truck
/home/forte/users/nishida/outputs/21606-2.png,is the hood slightly lifted?,yes,yes
/home/forte/users/nishida/outputs/21606-2.png,is there some rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21606-3.png,what type of vehicle is this?,truck,truck
/home/forte/users/nishida/outputs/21606-3.png,is there rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21606-3.png,what is on the truck?,rust,rust
/home/forte/users/nishida/outputs/21606-3.png,is the hood lifted?,yes,no
/home/forte/users/nishida/outputs/21606-3.png,what is lifted?,hood,front of truck
/home/forte/users/nishida/outputs/21606-3.png,is the hood slightly lifted?,yes,no
/home/forte/users/nishida/outputs/21606-3.png,is there some rust on the truck?,yes,yes
/home/forte/users/nishida/outputs/21607-1.png,who is in the park?,youths,woman
/home/forte/users/nishida/outputs/21607-1.png,is this a park?,yes,yes
/home/forte/users/nishida/outputs/21607-1.png,what type of place is this?,park,baseball field
/home/forte/users/nishida/outputs/21607-1.png,are there frisbees?,yes,yes
/home/forte/users/nishida/outputs/21607-1.png,what is the youths holding?,frisbees,yes
/home/forte/users/nishida/outputs/21607-1.png,are the youths gathered in the park?,yes,yes
/home/forte/users/nishida/outputs/21607-1.png,are the youths holding frisbees?,yes,yes
/home/forte/users/nishida/outputs/21607-1.png,are some of the youths holding frisbees?,yes,yes
/home/forte/users/nishida/outputs/21607-2.png,who is in the park?,youths,man
/home/forte/users/nishida/outputs/21607-2.png,is this a park?,yes,yes
/home/forte/users/nishida/outputs/21607-2.png,what type of place is this?,park,baseball field
/home/forte/users/nishida/outputs/21607-2.png,are there frisbees?,yes,yes
/home/forte/users/nishida/outputs/21607-2.png,what is the youths holding?,frisbees,yes
/home/forte/users/nishida/outputs/21607-2.png,are the youths gathered in the park?,yes,yes
/home/forte/users/nishida/outputs/21607-2.png,are the youths holding frisbees?,yes,yes
/home/forte/users/nishida/outputs/21607-2.png,are some of the youths holding frisbees?,yes,yes
/home/forte/users/nishida/outputs/21607-3.png,who is in the park?,youths,man
/home/forte/users/nishida/outputs/21607-3.png,is this a park?,yes,yes
/home/forte/users/nishida/outputs/21607-3.png,what type of place is this?,park,baseball field
/home/forte/users/nishida/outputs/21607-3.png,are there frisbees?,yes,yes
/home/forte/users/nishida/outputs/21607-3.png,what is the youths holding?,frisbees,yes
/home/forte/users/nishida/outputs/21607-3.png,are the youths gathered in the park?,yes,yes
/home/forte/users/nishida/outputs/21607-3.png,are the youths holding frisbees?,yes,yes
/home/forte/users/nishida/outputs/21607-3.png,are some of the youths holding frisbees?,yes,yes
/home/forte/users/nishida/outputs/21608-1.png,what animal is in the picture?,bear,yes
/home/forte/users/nishida/outputs/21608-1.png,are there bears?,yes,yes
/home/forte/users/nishida/outputs/21608-1.png,what animals are in the picture?,bears,yes
/home/forte/users/nishida/outputs/21608-1.png,is the bear walking?,yes,no
/home/forte/users/nishida/outputs/21608-1.png,what is the bear doing?,walking,no
/home/forte/users/nishida/outputs/21608-1.png,is the bear brown?,yes,yes
