image_id,question,correct,generate
/home/forte/users/nishida/outputs-flickr/21619-1.png,<pad> question: What instrument does a guy play?</s>,accordion,yes
/home/forte/users/nishida/outputs-flickr/21619-1.png,<pad> question: Who is listening and watching?</s>,people,yes
/home/forte/users/nishida/outputs-flickr/21619-2.png,<pad> question: What is the name of the person who plays an accordion?</s>,guy,yes
/home/forte/users/nishida/outputs-flickr/21619-2.png,<pad> question: What instrument does a guy play?</s>,accordion,yes
/home/forte/users/nishida/outputs-flickr/21619-2.png,<pad> question: Who is listening and watching?</s>,people,yes
/home/forte/users/nishida/outputs-flickr/21619-3.png,<pad> question: What is the name of the person who plays an accordion?</s>,guy,yes
/home/forte/users/nishida/outputs-flickr/21619-3.png,<pad> question: What instrument does a guy play?</s>,accordion,yes
/home/forte/users/nishida/outputs-flickr/21619-3.png,<pad> question: Who is listening and watching?</s>,people,yes
/home/forte/users/nishida/outputs-flickr/21620-1.png,<pad> question: What is the gender of the woman who is on the couch?</s>,man,female
/home/forte/users/nishida/outputs-flickr/21620-1.png,<pad> question: A man and a woman laze on the couch together?</s>,woman,yes
/home/forte/users/nishida/outputs-flickr/21620-1.png,<pad> question: What do the two women lay on?</s>,couch,yes
/home/forte/users/nishida/outputs-flickr/21620-2.png,<pad> question: What is the gender of the woman who is on the couch?</s>,man,female
/home/forte/users/nishida/outputs-flickr/21620-2.png,<pad> question: A man and a woman laze on the couch together?</s>,woman,yes
/home/forte/users/nishida/outputs-flickr/21620-2.png,<pad> question: What do the two women lay on?</s>,couch,yes
/home/forte/users/nishida/outputs-flickr/21620-3.png,<pad> question: What is the gender of the woman who is on the couch?</s>,man,female
/home/forte/users/nishida/outputs-flickr/21620-3.png,<pad> question: A man and a woman laze on the couch together?</s>,woman,yes
/home/forte/users/nishida/outputs-flickr/21620-3.png,<pad> question: What do the two women lay on?</s>,couch,yes
/home/forte/users/nishida/outputs-flickr/21621-1.png,<pad> question: What is the name of the group of people having fun with alcohol on the table?</s>,group,yes
/home/forte/users/nishida/outputs-flickr/21621-1.png,<pad> question: What group of people are having fun with alcohol on the table?</s>,people,yes
/home/forte/users/nishida/outputs-flickr/21621-1.png,<pad> question: What is the purpose of having alcohol on the table?</s>,fun,no
/home/forte/users/nishida/outputs-flickr/21621-1.png,<pad> question: What is on the table?</s>,alcohol,no
/home/forte/users/nishida/outputs-flickr/21621-1.png,<pad> question: What is the place where people are having fun?</s>,table,yes
/home/forte/users/nishida/outputs-flickr/21621-2.png,<pad> question: What is the name of the group of people having fun with alcohol on the table?</s>,group,yes
/home/forte/users/nishida/outputs-flickr/21621-2.png,<pad> question: What group of people are having fun with alcohol on the table?</s>,people,yes
/home/forte/users/nishida/outputs-flickr/21621-2.png,<pad> question: What is the purpose of having alcohol on the table?</s>,fun,yes
/home/forte/users/nishida/outputs-flickr/21621-2.png,<pad> question: What is on the table?</s>,alcohol,no
/home/forte/users/nishida/outputs-flickr/21621-2.png,<pad> question: What is the place where people are having fun?</s>,table,yes
/home/forte/users/nishida/outputs-flickr/21621-3.png,<pad> question: What is the name of the group of people having fun with alcohol on the table?</s>,group,yes
/home/forte/users/nishida/outputs-flickr/21621-3.png,<pad> question: What group of people are having fun with alcohol on the table?</s>,people,yes
/home/forte/users/nishida/outputs-flickr/21621-3.png,<pad> question: What is the purpose of having alcohol on the table?</s>,fun,yes
/home/forte/users/nishida/outputs-flickr/21621-3.png,<pad> question: What is on the table?</s>,alcohol,no
/home/forte/users/nishida/outputs-flickr/21621-3.png,<pad> question: What is the place where people are having fun?</s>,table,yes
/home/forte/users/nishida/outputs-flickr/21622-1.png,<pad> question: What is the gender of the group of Indian men in a restaurant?</s>,men,yes
/home/forte/users/nishida/outputs-flickr/21622-1.png,<pad> question: What type of establishment are the Indian men in?</s>,restaurant,yes
/home/forte/users/nishida/outputs-flickr/21622-2.png,<pad> question: What is the gender of the group of Indian men in a restaurant?</s>,men,yes
/home/forte/users/nishida/outputs-flickr/21622-2.png,<pad> question: What type of establishment are the Indian men in?</s>,restaurant,yes
/home/forte/users/nishida/outputs-flickr/21622-3.png,<pad> question: What is the gender of the group of Indian men in a restaurant?</s>,men,yes
/home/forte/users/nishida/outputs-flickr/21622-3.png,<pad> question: What type of establishment are the Indian men in?</s>,restaurant,yes
/home/forte/users/nishida/outputs-flickr/21623-1.png,<pad> question: What is the gender of the person who poses for a picture with a child?</s>,woman,woman
/home/forte/users/nishida/outputs-flickr/21623-1.png,<pad> question: A woman and what other person pose for a picture?</s>,child,yes
/home/forte/users/nishida/outputs-flickr/21623-1.png,<pad> question: What do a woman and a child pose for?</s>,picture,yes
/home/forte/users/nishida/outputs-flickr/21623-2.png,<pad> question: What is the gender of the person who poses for a picture with a child?</s>,woman,yes
/home/forte/users/nishida/outputs-flickr/21623-2.png,<pad> question: A woman and what other person pose for a picture?</s>,child,yes
/home/forte/users/nishida/outputs-flickr/21623-2.png,<pad> question: What do a woman and a child pose for?</s>,picture,yes
/home/forte/users/nishida/outputs-flickr/21623-3.png,<pad> question: What is the gender of the person who poses for a picture with a child?</s>,woman,woman
/home/forte/users/nishida/outputs-flickr/21623-3.png,<pad> question: A woman and what other person pose for a picture?</s>,child,yes
/home/forte/users/nishida/outputs-flickr/21623-3.png,<pad> question: What do a woman and a child pose for?</s>,picture,yes
/home/forte/users/nishida/outputs-flickr/21624-1.png,<pad> question: What is the name of the two children in the snow?</s>,infants,yes
/home/forte/users/nishida/outputs-flickr/21624-1.png,<pad> question: What color is the infant wearing?</s>,jacket,yes
/home/forte/users/nishida/outputs-flickr/21624-1.png,<pad> question: What color is the jacket worn by the infants?</s>,flower,yes
/home/forte/users/nishida/outputs-flickr/21624-1.png,<pad> question: What color is the infant wearing?</s>,jacket,yes
