image_id,question,correct,generate
/home/forte/users/nishida/outputs/25922-3.png,what type of vehicle is this?,trains,
/home/forte/users/nishida/outputs/25922-3.png,are there train tracks?,yes,
/home/forte/users/nishida/outputs/25922-3.png,what type of road is this?,train tracks,
/home/forte/users/nishida/outputs/25922-3.png,are the trains going down the train tracks?,yes,
/home/forte/users/nishida/outputs/25922-3.png,what are the trains doing?,going down,
/home/forte/users/nishida/outputs/25923-1.png,what type of vehicle is parked on the street?,car,
/home/forte/users/nishida/outputs/25923-1.png,is this a street?,yes,
/home/forte/users/nishida/outputs/25923-1.png,what type of place is this?,street,
/home/forte/users/nishida/outputs/25923-1.png,are the cars parked on the street?,yes,
/home/forte/users/nishida/outputs/25923-1.png,are there many cars?,yes,
/home/forte/users/nishida/outputs/25923-1.png,is this a busy street?,yes,
/home/forte/users/nishida/outputs/25923-1.png,is this a busy or a quiet street?,busy,
/home/forte/users/nishida/outputs/25923-2.png,what type of vehicle is parked on the street?,car,
/home/forte/users/nishida/outputs/25923-2.png,is this a street?,yes,
/home/forte/users/nishida/outputs/25923-2.png,what type of place is this?,street,
/home/forte/users/nishida/outputs/25923-2.png,are the cars parked on the street?,yes,
/home/forte/users/nishida/outputs/25923-2.png,are there many cars?,yes,
/home/forte/users/nishida/outputs/25923-2.png,is this a busy street?,yes,
/home/forte/users/nishida/outputs/25923-2.png,is this a busy or a quiet street?,busy,
/home/forte/users/nishida/outputs/25923-3.png,what type of vehicle is parked on the street?,car,
/home/forte/users/nishida/outputs/25923-3.png,is this a street?,yes,
/home/forte/users/nishida/outputs/25923-3.png,what type of place is this?,street,
/home/forte/users/nishida/outputs/25923-3.png,are the cars parked on the street?,yes,
/home/forte/users/nishida/outputs/25923-3.png,are there many cars?,yes,
/home/forte/users/nishida/outputs/25923-3.png,is this a busy street?,yes,
/home/forte/users/nishida/outputs/25923-3.png,is this a busy or a quiet street?,busy,
/home/forte/users/nishida/outputs/25924-1.png,what type of food is this?,pizza,
/home/forte/users/nishida/outputs/25924-1.png,is there a cutting board?,yes,
/home/forte/users/nishida/outputs/25924-1.png,what type of object is this?,cutting board,
/home/forte/users/nishida/outputs/25924-1.png,is there a table?,yes,
/home/forte/users/nishida/outputs/25924-1.png,what type of furniture is this?,table,
/home/forte/users/nishida/outputs/25924-1.png,is the pizza displayed on the cutting board?,yes,
/home/forte/users/nishida/outputs/25924-1.png,is the pizza small?,yes,
/home/forte/users/nishida/outputs/25924-1.png,is the pizza small or large?,small,
/home/forte/users/nishida/outputs/25924-2.png,what type of food is this?,pizza,
/home/forte/users/nishida/outputs/25924-2.png,is there a cutting board?,yes,
/home/forte/users/nishida/outputs/25924-2.png,what type of object is this?,cutting board,
/home/forte/users/nishida/outputs/25924-2.png,is there a table?,yes,
/home/forte/users/nishida/outputs/25924-2.png,what type of furniture is this?,table,
/home/forte/users/nishida/outputs/25924-2.png,is the pizza displayed on the cutting board?,yes,
/home/forte/users/nishida/outputs/25924-2.png,is the pizza small?,yes,
/home/forte/users/nishida/outputs/25924-2.png,is the pizza small or large?,small,
/home/forte/users/nishida/outputs/25924-3.png,what type of food is this?,pizza,
/home/forte/users/nishida/outputs/25924-3.png,is there a cutting board?,yes,
/home/forte/users/nishida/outputs/25924-3.png,what type of object is this?,cutting board,
/home/forte/users/nishida/outputs/25924-3.png,is there a table?,yes,
/home/forte/users/nishida/outputs/25924-3.png,what type of furniture is this?,table,
/home/forte/users/nishida/outputs/25924-3.png,is the pizza displayed on the cutting board?,yes,
/home/forte/users/nishida/outputs/25924-3.png,is the pizza small?,yes,
/home/forte/users/nishida/outputs/25924-3.png,is the pizza small or large?,small,
/home/forte/users/nishida/outputs/25925-1.png,is this a beach?,yes,
/home/forte/users/nishida/outputs/25925-1.png,what type of place is this?,beach,
/home/forte/users/nishida/outputs/25925-1.png,is there a kayak?,yes,
/home/forte/users/nishida/outputs/25925-1.png,what type of vehicle is this?,kayak,
/home/forte/users/nishida/outputs/25925-1.png,is there water?,yes,
/home/forte/users/nishida/outputs/25925-1.png,what type of liquid is this?,water,
/home/forte/users/nishida/outputs/25925-1.png,are the people pushing the kayak?,yes,
/home/forte/users/nishida/outputs/25925-1.png,is the kayak red?,yes,
/home/forte/users/nishida/outputs/25925-1.png,what color is the kayak?,red,
/home/forte/users/nishida/outputs/25925-1.png,are there two people?,yes,
/home/forte/users/nishida/outputs/25925-1.png,how many people are on the beach?,2,
/home/forte/users/nishida/outputs/25925-2.png,is this a beach?,yes,
/home/forte/users/nishida/outputs/25925-2.png,what type of place is this?,beach,
/home/forte/users/nishida/outputs/25925-2.png,is there a kayak?,yes,
/home/forte/users/nishida/outputs/25925-2.png,what type of vehicle is this?,kayak,
/home/forte/users/nishida/outputs/25925-2.png,is there water?,yes,
/home/forte/users/nishida/outputs/25925-2.png,what type of liquid is this?,water,
/home/forte/users/nishida/outputs/25925-2.png,are the people pushing the kayak?,yes,
/home/forte/users/nishida/outputs/25925-2.png,is the kayak red?,yes,
/home/forte/users/nishida/outputs/25925-2.png,what color is the kayak?,red,
/home/forte/users/nishida/outputs/25925-2.png,are there two people?,yes,
/home/forte/users/nishida/outputs/25925-2.png,how many people are on the beach?,2,
/home/forte/users/nishida/outputs/25925-3.png,is this a beach?,yes,
/home/forte/users/nishida/outputs/25925-3.png,what type of place is this?,beach,
/home/forte/users/nishida/outputs/25925-3.png,is there a kayak?,yes,
/home/forte/users/nishida/outputs/25925-3.png,what type of vehicle is this?,kayak,
/home/forte/users/nishida/outputs/25925-3.png,is there water?,yes,
/home/forte/users/nishida/outputs/25925-3.png,what type of liquid is this?,water,
/home/forte/users/nishida/outputs/25925-3.png,are the people pushing the kayak?,yes,
/home/forte/users/nishida/outputs/25925-3.png,is the kayak red?,yes,
/home/forte/users/nishida/outputs/25925-3.png,what color is the kayak?,red,
/home/forte/users/nishida/outputs/25925-3.png,are there two people?,yes,
/home/forte/users/nishida/outputs/25925-3.png,how many people are on the beach?,2,
/home/forte/users/nishida/outputs/25926-1.png,who is on snow skis?,person,
/home/forte/users/nishida/outputs/25926-1.png,are there snow skis?,yes,
/home/forte/users/nishida/outputs/25926-1.png,what type of vehicle is this?,snow skis,
/home/forte/users/nishida/outputs/25926-1.png,is there snow?,yes,
/home/forte/users/nishida/outputs/25926-1.png,what type of weather is this?,snow,
/home/forte/users/nishida/outputs/25926-1.png,is the person traveling over snow?,yes,
/home/forte/users/nishida/outputs/25926-1.png,what is the person doing on the snow?,traveling over,
/home/forte/users/nishida/outputs/25926-2.png,who is on snow skis?,person,
/home/forte/users/nishida/outputs/25926-2.png,are there snow skis?,yes,
/home/forte/users/nishida/outputs/25926-2.png,what type of vehicle is this?,snow skis,
/home/forte/users/nishida/outputs/25926-2.png,is there snow?,yes,
/home/forte/users/nishida/outputs/25926-2.png,what type of weather is this?,snow,
/home/forte/users/nishida/outputs/25926-2.png,is the person traveling over snow?,yes,
