image_id,question,correct,generate
/home/forte/users/nishida/outputs/25922-3.png,what type of vehicle is this?,trains,motorcycle
/home/forte/users/nishida/outputs/25922-3.png,are there train tracks?,yes,
/home/forte/users/nishida/outputs/25922-3.png,what type of road is this?,train tracks,train
/home/forte/users/nishida/outputs/25922-3.png,are the trains going down the train tracks?,yes,no
/home/forte/users/nishida/outputs/25922-3.png,what are the trains doing?,going down,running
/home/forte/users/nishida/outputs/25923-1.png,what type of vehicle is parked on the street?,car,motorcycle
/home/forte/users/nishida/outputs/25923-1.png,is this a street?,yes,all
/home/forte/users/nishida/outputs/25923-1.png,what type of place is this?,street,urban
/home/forte/users/nishida/outputs/25923-1.png,are the cars parked on the street?,yes,no
/home/forte/users/nishida/outputs/25923-1.png,are there many cars?,yes,all
/home/forte/users/nishida/outputs/25923-1.png,is this a busy street?,yes,all
/home/forte/users/nishida/outputs/25923-1.png,is this a busy or a quiet street?,busy,very
/home/forte/users/nishida/outputs/25923-2.png,what type of vehicle is parked on the street?,car,motorcycle
/home/forte/users/nishida/outputs/25923-2.png,is this a street?,yes,all
/home/forte/users/nishida/outputs/25923-2.png,what type of place is this?,street,urban
/home/forte/users/nishida/outputs/25923-2.png,are the cars parked on the street?,yes,no
/home/forte/users/nishida/outputs/25923-2.png,are there many cars?,yes,all
/home/forte/users/nishida/outputs/25923-2.png,is this a busy street?,yes,all
/home/forte/users/nishida/outputs/25923-2.png,is this a busy or a quiet street?,busy,very
/home/forte/users/nishida/outputs/25923-3.png,what type of vehicle is parked on the street?,car,motorcycle
/home/forte/users/nishida/outputs/25923-3.png,is this a street?,yes,all
/home/forte/users/nishida/outputs/25923-3.png,what type of place is this?,street,urban
/home/forte/users/nishida/outputs/25923-3.png,are the cars parked on the street?,yes,all
/home/forte/users/nishida/outputs/25923-3.png,are there many cars?,yes,all
/home/forte/users/nishida/outputs/25923-3.png,is this a busy street?,yes,all
/home/forte/users/nishida/outputs/25923-3.png,is this a busy or a quiet street?,busy,very
/home/forte/users/nishida/outputs/25924-1.png,what type of food is this?,pizza,baseball
/home/forte/users/nishida/outputs/25924-1.png,is there a cutting board?,yes,all
/home/forte/users/nishida/outputs/25924-1.png,what type of object is this?,cutting board,hand
/home/forte/users/nishida/outputs/25924-1.png,is there a table?,yes,all
/home/forte/users/nishida/outputs/25924-1.png,what type of furniture is this?,table,hands
/home/forte/users/nishida/outputs/25924-1.png,is the pizza displayed on the cutting board?,yes,all
/home/forte/users/nishida/outputs/25924-1.png,is the pizza small?,yes,no
/home/forte/users/nishida/outputs/25924-1.png,is the pizza small or large?,small,small
/home/forte/users/nishida/outputs/25924-2.png,what type of food is this?,pizza,baseball
/home/forte/users/nishida/outputs/25924-2.png,is there a cutting board?,yes,no
/home/forte/users/nishida/outputs/25924-2.png,what type of object is this?,cutting board,hand
/home/forte/users/nishida/outputs/25924-2.png,is there a table?,yes,all
/home/forte/users/nishida/outputs/25924-2.png,what type of furniture is this?,table,hand
/home/forte/users/nishida/outputs/25924-2.png,is the pizza displayed on the cutting board?,yes,no
/home/forte/users/nishida/outputs/25924-2.png,is the pizza small?,yes,no
/home/forte/users/nishida/outputs/25924-2.png,is the pizza small or large?,small,small
/home/forte/users/nishida/outputs/25924-3.png,what type of food is this?,pizza,hand
/home/forte/users/nishida/outputs/25924-3.png,is there a cutting board?,yes,no
/home/forte/users/nishida/outputs/25924-3.png,what type of object is this?,cutting board,hand
/home/forte/users/nishida/outputs/25924-3.png,is there a table?,yes,all
